
[00:00:00.000 --> 00:00:05.480]  回到柴鎮,我就講一個跟柴鎮有關的故事
[00:00:05.480 --> 00:00:09.640]  有一次我去一間教會講道
[00:00:09.640 --> 00:00:15.640]  講完道,那間教會的佈局跟這間差不多
[00:00:15.640 --> 00:00:21.960]  講完坐在這些位置,後面就有師班席
[00:00:21.960 --> 00:00:24.280]  講完道之後就要散會了
[00:00:24.280 --> 00:00:28.440]  突然間有個師班班員就拍一拍我
[00:00:28.440 --> 00:00:31.560]  我看一看他,跟他握手
[00:00:31.560 --> 00:00:36.160]  他看著我,就跟我說
[00:00:36.160 --> 00:00:38.920]  你都不認得我了
[00:00:38.920 --> 00:00:43.680]  我看了一陣子,我說我真的不認得你
[00:00:43.680 --> 00:00:45.520]  你不記得了
[00:00:45.520 --> 00:00:49.080]  三十多年前在柴灣浸信會
[00:00:49.080 --> 00:00:54.760]  你回少年團的時候,我是你的導師
[00:00:54.760 --> 00:00:56.600]  我再看一看他
[00:00:56.600 --> 00:00:59.080]  我都依然是認不到他
[00:00:59.080 --> 00:01:01.360]  後來他講回他的名字
[00:01:01.360 --> 00:01:06.720]  他其實在柴灣浸信會做我們導師不是很長的時間
[00:01:06.720 --> 00:01:11.040]  我真的不好意思,認不到你
[00:01:11.040 --> 00:01:15.440]  突然間他就很感動地看著我
[00:01:15.440 --> 00:01:18.720]  他說我真的很為你感謝神
[00:01:18.720 --> 00:01:20.560]  然後他走了
[00:01:20.560 --> 00:01:24.000]  他走了之後,我整個人呆了一段時間
[00:01:24.000 --> 00:01:26.200]  才走回台上
[00:01:26.200 --> 00:01:28.400]  我離開那間教會的時候
[00:01:28.400 --> 00:01:32.240]  我心裡面有些很沉重的感覺
[00:01:32.240 --> 00:01:38.880]  我想為什麼這個姐妹會這麼感動地說
[00:01:38.880 --> 00:01:41.200]  很為我感謝神
[00:01:41.200 --> 00:01:43.680]  但是那次我講完道
[00:01:43.680 --> 00:01:47.200]  離開我完全沒有什麼感恩的感覺
[00:01:47.200 --> 00:01:50.400]  我肯定的就是,他看到一些東西
[00:01:50.400 --> 00:01:53.960]  就是三十多年前的我
[00:01:53.960 --> 00:01:58.120]  和現在的我是有很大的差別
[00:01:58.120 --> 00:02:02.560]  而他為這些差別去感謝神
[00:02:02.560 --> 00:02:08.080]  他看到,但是我自己感覺不到
[00:02:08.080 --> 00:02:11.880]  他會為這些差別感謝神
[00:02:11.880 --> 00:02:17.200]  但是我竟然沒有絲毫感恩的心
[00:02:17.200 --> 00:02:24.200]  所以在那次之後,我自己有個很深的思考
[00:02:24.200 --> 00:02:28.040]  是不是其實我們在感恩的功課上
[00:02:28.040 --> 00:02:30.080]  還沒有學得好呢?
[00:02:30.080 --> 00:02:35.200]  為什麼我會沒有了這種感恩的觸覺呢?
[00:02:35.200 --> 00:02:37.440]  在這份所書,保羅教導我們
[00:02:37.440 --> 00:02:40.440]  凡事要奉我們主耶穌的名
[00:02:40.440 --> 00:02:43.560]  常常感謝父神
