
[00:00:00.000 --> 00:00:02.420]  好 弟兄姊妹祝你平安
[00:00:02.420 --> 00:00:06.280]  也感激我們在神的家裡再次相見
[00:00:06.280 --> 00:00:08.820]  有很多熟悉的面孔
[00:00:08.820 --> 00:00:11.800]  讓我們能夠藉著神的說話
[00:00:11.800 --> 00:00:16.520]  幫助我們思考神的心意
[00:00:16.520 --> 00:00:21.000]  今天不知道你有沒有留意到我有什麼不同呢
[00:00:21.000 --> 00:00:25.000]  嘩 厲害
[00:00:25.000 --> 00:00:28.240]  天宅街的弟兄姊妹真的很聰明
[00:00:28.240 --> 00:00:31.000]  今天我不同的地方是什麼呢
[00:00:31.000 --> 00:00:33.520]  沒了上個禮拜的那件外套
[00:00:33.520 --> 00:00:37.560]  上個禮拜的那件外套代表了憂慮
[00:00:37.560 --> 00:00:41.040]  今天我沒有穿上憂慮來到神的殿裡
[00:00:41.040 --> 00:00:44.960]  那你有沒有掛著憂慮來到神的殿裡呢
[00:00:44.960 --> 00:00:47.580]  讓我們都去卸下我們的憂慮
[00:00:47.580 --> 00:00:49.920]  歡歡喜喜聆聽上帝的說話
[00:00:49.920 --> 00:00:52.160]  被上帝的說話建立我們
[00:00:52.160 --> 00:00:54.960]  我們一起祈禱
[00:00:54.960 --> 00:00:58.340]  親愛的主我們多謝你因為你是信實的
[00:00:58.340 --> 00:01:01.440]  求主你讓我們能夠藉著你的說話
[00:01:01.440 --> 00:01:07.200]  思考我們生命裡怎樣走一個主你給我們走的方向
[00:01:07.200 --> 00:01:09.200]  以致我們走出來的時候有力
[00:01:09.200 --> 00:01:11.920]  我們走出來的時候能夠討你喜悅
[00:01:11.920 --> 00:01:17.560]  求主你幫助我們逐步明白神你給我們的聖經你的說話
[00:01:17.560 --> 00:01:20.920]  聽我們祈禱奉耶穌名字而求
[00:01:20.920 --> 00:01:22.960]  阿們
[00:01:22.960 --> 00:01:32.560]  證明恩福家的弟兄姊妹都很聰明聰明
[00:01:32.560 --> 00:01:34.800]  還有大家經常記得我說的話
[00:01:34.800 --> 00:01:41.400]  我自己講神的話都很喜歡
[00:01:41.400 --> 00:01:45.040]  希望能夠用一些生活性容易記得的東西
[00:01:45.040 --> 00:01:47.920]  一些片段一些概念一些術語
[00:01:47.920 --> 00:01:50.720]  讓大家很快就記得神的說話
[00:01:50.720 --> 00:01:53.680]  當你有一天離開教會
[00:01:53.680 --> 00:01:55.760]  圓了崇拜的時候
[00:01:55.760 --> 00:01:58.160]  身邊的人問你今天說了什麼
[00:01:58.160 --> 00:02:01.800]  你說今天牧師說了羽絨
[00:02:01.800 --> 00:02:04.600]  牧師說這些怎麼這麼奇怪
[00:02:04.600 --> 00:02:08.000]  你就會聽到那件衣服代表憂慮
[00:02:08.000 --> 00:02:11.400]  這樣就可以成為一個話題可以和別人聊天
[00:02:11.400 --> 00:02:14.240]  說一下原來你回教會那些東西是很生活的
[00:02:14.240 --> 00:02:17.880]  是和你息息相關的又可以聯繫到你的信仰
[00:02:17.880 --> 00:02:19.360]  這樣就非常之好了
[00:02:19.360 --> 00:02:21.680]  我們可以隨時和別人分享上帝的說話
[00:02:21.680 --> 00:02:26.840]  所以很重要的就是要訓練大家要記住我講的一些東西
[00:02:26.840 --> 00:02:31.000]  雖然可能有些人覺得好像很無聊
[00:02:31.000 --> 00:02:33.640]  不過其實你會記得我講過些什麼
[00:02:33.640 --> 00:02:35.840]  所以是時候測試一下大家
[00:02:35.840 --> 00:02:39.000]  在今年記不記得我講過些什麼
[00:02:39.000 --> 00:02:41.400]  好 現在一定記得了
[00:02:41.400 --> 00:02:44.120]  今年的教會主題是什麼呢
[00:02:44.120 --> 00:02:47.080]  是的 厲害了
[00:02:47.080 --> 00:02:51.000]  記住 特別是華里克牧師說
[00:02:51.000 --> 00:02:53.640]  教會的主題起碼要28天要講一次
[00:02:53.640 --> 00:02:57.040]  28天之內要講一次大家才會全年才記得
