
[00:00:00.000 --> 00:00:02.000]  請接我們一起同心祈禱
[00:00:02.000 --> 00:00:06.000]  神父上帝多謝祢恩典
[00:00:06.000 --> 00:00:08.000]  讓我們能夠一同聚集
[00:00:08.000 --> 00:00:10.000]  讓我們相信
[00:00:10.000 --> 00:00:12.000]  祢提醒我們
[00:00:12.000 --> 00:00:14.000]  祢是靈
[00:00:14.000 --> 00:00:16.000]  所以敬拜祢
[00:00:16.000 --> 00:00:18.000]  我們用我們的心靈和誠實
[00:00:18.000 --> 00:00:20.000]  不重要我們在哪個地方
[00:00:20.000 --> 00:00:22.000]  用什麼形式
[00:00:22.000 --> 00:00:24.000]  讓我們的心都歸向祢
[00:00:24.000 --> 00:00:26.000]  如我們今天早上
[00:00:26.000 --> 00:00:28.000]  透過祢自己寶貴的話語
[00:00:28.000 --> 00:00:30.000]  讓聖靈引導我們進入真理
[00:00:30.000 --> 00:00:32.000]  願祢親自帶領我們
[00:00:32.000 --> 00:00:34.000]  明白祢旨意的同時
[00:00:34.000 --> 00:00:36.000]  也活出祢的真理
[00:00:36.000 --> 00:00:38.000]  願祢與我們同在
[00:00:38.000 --> 00:00:40.000]  讓我們在祢面前說的
[00:00:40.000 --> 00:00:42.000]  聽的,我們一同得著建立
[00:00:42.000 --> 00:00:44.000]  幫助,同心禱告
[00:00:44.000 --> 00:00:46.000]  奉耶穌基督的聖名
[00:00:46.000 --> 00:00:48.000]  Amen
[00:00:48.000 --> 00:00:50.000]  我想我們先讀了今天
[00:00:50.000 --> 00:00:52.000]  我要和大家思想的經文
[00:00:52.000 --> 00:00:54.000]  在路加福音第五章的一至十一節
[00:00:54.000 --> 00:00:56.000]  這一段經文
[00:00:56.000 --> 00:00:58.000]  我們一起讀
[00:00:58.000 --> 00:01:00.000]  一段都是我們熟悉的經文
[00:01:00.000 --> 00:01:02.000]  我們一起讀
[00:01:02.000 --> 00:01:04.000]  從第一節讀到第十一節
[00:01:04.000 --> 00:01:06.000]  預備起
[00:01:06.000 --> 00:01:08.000]  耶穌站在
[00:01:08.000 --> 00:01:10.000]  隔離撒勒湖邊
[00:01:10.000 --> 00:01:12.000]  眾人擁擠他
[00:01:12.000 --> 00:01:14.000]  要聽神的道
[00:01:14.000 --> 00:01:16.000]  他見有兩隻船靠在湖邊
[00:01:16.000 --> 00:01:18.000]  打魚的人
[00:01:18.000 --> 00:01:20.000]  卻離開船
[00:01:20.000 --> 00:01:22.000]  駛往去了
[00:01:22.000 --> 00:01:24.000]  有一隻船是西門的
[00:01:24.000 --> 00:01:26.000]  耶穌就上去
[00:01:26.000 --> 00:01:28.000]  請他把船撐開
[00:01:28.000 --> 00:01:30.000]  稍微離岸
[00:01:30.000 --> 00:01:32.000]  就坐下
[00:01:32.000 --> 00:01:34.000]  在船上教導眾人
[00:01:34.000 --> 00:01:36.000]  他說完了
[00:01:36.000 --> 00:01:38.000]  對西門說
[00:01:38.000 --> 00:01:40.000]  把船開到水深的地方
[00:01:40.000 --> 00:01:42.000]  下網打魚
[00:01:42.000 --> 00:01:44.000]  西門說
[00:01:44.000 --> 00:01:46.000]  老師,我們整夜勞累
[00:01:46.000 --> 00:01:48.000]  並沒有打著什麼
[00:01:48.000 --> 00:01:50.000]  但依從你的話
[00:01:50.000 --> 00:01:52.000]  我就下網
[00:01:52.000 --> 00:01:54.000]  西門下了網
[00:01:54.000 --> 00:01:56.000]  圈著許多魚
[00:01:56.000 --> 00:01:58.000]  網險些裂開
[00:01:58.000 --> 00:02:00.000]  就招手
[00:02:00.000 --> 00:02:02.000]  叫另一隻船上的同伴
[00:02:02.000 --> 00:02:04.000]  來幫助
[00:02:04.000 --> 00:02:06.000]  他們就來
[00:02:06.000 --> 00:02:08.000]  把魚裝滿兩隻船
[00:02:08.000 --> 00:02:10.000]  船甚至要沉下去
[00:02:10.000 --> 00:02:12.000]  西門彼得看見
[00:02:12.000 --> 00:02:14.000]  就俯伏在
[00:02:14.000 --> 00:02:16.000]  耶穌室前
[00:02:16.000 --> 00:02:18.000]  說:主啊,離開我
[00:02:18.000 --> 00:02:20.000]  我是個罪人
[00:02:20.000 --> 00:02:22.000]  他和一切
[00:02:22.000 --> 00:02:24.000]  跟他一起的人
[00:02:24.000 --> 00:02:26.000]  對打倒了這一網的魚
[00:02:26.000 --> 00:02:28.000]  都很驚訝
[00:02:28.000 --> 00:02:30.000]  他的夥伴
[00:02:30.000 --> 00:02:32.000]  西比太的兒子
[00:02:32.000 --> 00:02:34.000]  雅各約翰
[00:02:34.000 --> 00:02:36.000]  也是這樣
