
[00:00:00.000 --> 00:00:05.000]  在座其實是多數的教徒
[00:00:05.000 --> 00:00:10.000]  甚至是信耶穌都信了好幾十年
[00:00:10.000 --> 00:00:13.000]  不過有三個問題
[00:00:13.000 --> 00:00:17.000]  你不容易講得清楚
[00:00:17.000 --> 00:00:18.000]  說得明白
[00:00:18.000 --> 00:00:21.000]  你真是能夠很精簡果斷
[00:00:21.000 --> 00:00:23.000]  有說服力去回應
[00:00:23.000 --> 00:00:25.000]  你可不可以懂得回答
[00:00:25.000 --> 00:00:27.000]  第一
[00:00:27.000 --> 00:00:29.000]  你為什麼信耶穌
[00:00:29.000 --> 00:00:32.000]  第二
[00:00:32.000 --> 00:00:35.000]  信耶穌有什麼好
[00:00:35.000 --> 00:00:36.000]  第三
[00:00:36.000 --> 00:00:38.000]  既然講得信耶穌這麼好
[00:00:38.000 --> 00:00:43.000]  為什麼這麼多基督徒都不是這麼好呢
[00:00:43.000 --> 00:00:46.000]  不容易回答
[00:00:46.000 --> 00:00:49.000]  因為中國人去尋求信仰
[00:00:49.000 --> 00:00:51.000]  通常有三個動機
[00:00:51.000 --> 00:00:55.000]  一是趨吉避凶
[00:00:55.000 --> 00:00:58.000]  去除孽障
[00:00:58.000 --> 00:01:01.000]  第二是紅塵避世
[00:01:01.000 --> 00:01:04.000]  清靜無為
[00:01:04.000 --> 00:01:08.000]  第三是福從天降
[00:01:08.000 --> 00:01:10.000]  福入我全家
[00:01:10.000 --> 00:01:14.000]  你發覺早幾年
[00:01:14.000 --> 00:01:17.000]  這三樣東西並沒有自動轉帳
[00:01:17.000 --> 00:01:19.000]  並沒有即時可以見到
[00:01:19.000 --> 00:01:22.000]  一個好靈驗是得到
[00:01:22.000 --> 00:01:25.000]  而我自己作為一個
[00:01:25.000 --> 00:01:27.000]  信了耶穌半個世紀
[00:01:27.000 --> 00:01:31.000]  並且很認真去思考信仰人生問題
[00:01:31.000 --> 00:01:37.000]  並且以一個基督的跟隨者
[00:01:37.000 --> 00:01:39.000]  去尋找信仰人
[00:01:39.000 --> 00:01:43.000]  我聽到基督信仰給我的另一幅圖畫
[00:01:43.000 --> 00:01:45.000]  同樣講三樣東西
[00:01:45.000 --> 00:01:48.000]  一是在破碎的世界當中
[00:01:48.000 --> 00:01:51.000]  與神相遇
[00:01:51.000 --> 00:01:55.000]  二是和基督一起受苦
[00:01:55.000 --> 00:01:58.000]  去經歷什麼叫做救恩
[00:01:58.000 --> 00:02:01.000]  第三是透過教會群體的故事
[00:02:01.000 --> 00:02:05.000]  去見證福音的大悟
[00:02:05.000 --> 00:02:09.000]  似乎如果從宗人的信仰動機來講
[00:02:09.000 --> 00:02:12.000]  這些答案是趕客
[00:02:12.000 --> 00:02:14.000]  受苦
[00:02:14.000 --> 00:02:16.000]  破碎世界
[00:02:16.000 --> 00:02:18.000]  真的
[00:02:18.000 --> 00:02:23.000]  世界真是越來越破碎
[00:02:23.000 --> 00:02:26.000]  香港幾年又會水行一些選舉
[00:02:26.000 --> 00:02:28.000]  每次選舉年
[00:02:28.000 --> 00:02:30.000]  選舉事務處都舉辦一個很大型的講座
[00:02:30.000 --> 00:02:32.000]  在灣仔醫館舉行
[00:02:32.000 --> 00:02:35.000]  就是一些選舉的工作人員
[00:02:35.000 --> 00:02:36.000]  主要是公務員來的
[00:02:36.000 --> 00:02:38.000]  一個大型的講座
[00:02:38.000 --> 00:02:39.000]  一日的
[00:02:39.000 --> 00:02:40.000]  講什麼呢
[00:02:40.000 --> 00:02:42.000]  就講下EQ危機管理
[00:02:42.000 --> 00:02:44.000]  應對下
[00:02:44.000 --> 00:02:49.000]  我是有三屆都未邀請去講的題目
[00:02:49.000 --> 00:02:52.000]  不過我上台都已經說
[00:02:52.000 --> 00:02:55.000]  我做了幾十年媒體
[00:02:55.000 --> 00:02:57.000]  處理新聞幾十年
[00:02:57.000 --> 00:02:59.000]  不過我覺得我
[00:02:59.000 --> 00:03:02.000]  我的經驗我的知識已經無法回應到
[00:03:02.000 --> 00:03:04.000]  現在時代的轉變
[00:03:04.000 --> 00:03:06.000]  所以去年說
[00:03:06.000 --> 00:03:08.000]  今次是我最後一次
[00:03:08.000 --> 00:03:10.000]  出現在灣仔醫館講這個題目
[00:03:10.000 --> 00:03:11.000]  真的
[00:03:11.000 --> 00:03:13.000]  世界變得太快
[00:03:13.000 --> 00:03:15.000]  太快我們無法去控制
[00:03:15.000 --> 00:03:18.000]  無法去預計
