
[00:00:00.000 --> 00:00:03.000]  今天我們來看這一段
[00:00:03.000 --> 00:00:07.400]  從瑞麗立位到使徒馬太
[00:00:07.400 --> 00:00:10.400]  他的呼召還有他的經歷
[00:00:10.400 --> 00:00:19.200]  那這幅圖畫是一般我們對馬太的印象
[00:00:19.200 --> 00:00:22.200]  在經文的當中我們可以看到馬太
[00:00:22.200 --> 00:00:24.200]  他是坐在稅官上
[00:00:24.200 --> 00:00:26.200]  也就是現在的稅務局
[00:00:26.200 --> 00:00:29.600]  或是稅捐基金處的窗口的時候
[00:00:29.600 --> 00:00:33.600]  耶穌經過看見他就呼召了他
[00:00:33.600 --> 00:00:37.600]  那這幅圖畫他的內容就更豐富了
[00:00:37.600 --> 00:00:40.800]  他的背景是在一個辦公室
[00:00:40.800 --> 00:00:42.800]  那在圖畫的右邊
[00:00:42.800 --> 00:00:46.000]  我們可以看到馬太他是穿藍色衣服的那位
[00:00:46.000 --> 00:00:49.000]  他還有另外一位瑞麗戴著眼鏡的
[00:00:49.000 --> 00:00:55.000]  還有另外兩位協助他們去收稅的羅馬的賓士
[00:00:55.000 --> 00:00:57.000]  他們圍在桌子的旁邊
[00:00:57.000 --> 00:01:02.000]  他們一起在清理錢幣還有帳本
[00:01:02.000 --> 00:01:07.000]  那當時瑞麗會在羅馬賓丁的陪同之下
[00:01:07.000 --> 00:01:11.000]  他們一起去向人民強行的去課稅討稅
[00:01:11.000 --> 00:01:14.000]  他們一起出去一起去撞紳士
[00:01:14.000 --> 00:01:16.000]  一起去恐嚇百姓
[00:01:16.000 --> 00:01:19.000]  一起去做這勾當的壞事
[00:01:19.000 --> 00:01:22.000]  他們收了錢回到了辦公室之後
[00:01:22.000 --> 00:01:26.000]  他們就開始一起算帳一起分贓
[00:01:26.000 --> 00:01:30.000]  我們可以看到這個畫面的左上方
[00:01:30.000 --> 00:01:33.000]  有一道光線射進來
[00:01:33.000 --> 00:01:35.000]  這就影射了其實他們這件事情
[00:01:35.000 --> 00:01:39.000]  是在一個地下室裡面所進行的
[00:01:39.000 --> 00:01:42.000]  耶穌在彼得的陪同之下
[00:01:42.000 --> 00:01:46.000]  他們開了門進了房間
[00:01:46.000 --> 00:01:51.000]  那耶穌的右手指著馬太
[00:01:51.000 --> 00:01:55.000]  耶穌的手在畫面上有一個很明顯的位置
[00:01:55.000 --> 00:01:59.000]  而且加上陰影的襯托是十分的明顯
[00:01:59.000 --> 00:02:06.000]  再加上馬太他的右手則是指向自己
[00:02:06.000 --> 00:02:10.000]  好像他問耶穌說:你在招呼我嗎?
[00:02:10.000 --> 00:02:14.000]  這兩隻主要的手再加上其他的羅馬賓丁
[00:02:14.000 --> 00:02:20.000]  還有這些瑞麗的手指著這些的帳本、銀錢
[00:02:20.000 --> 00:02:28.000]  這樣的安排使這個呼召召喚的主題就更加的突出
