
[00:00:00.000 --> 00:00:03.520]  這件事的神蹟是有背景的
[00:00:03.520 --> 00:00:05.520]  我們需要了解一下
[00:00:05.520 --> 00:00:08.400]  整件事你會發覺很特別
[00:00:08.400 --> 00:00:11.960]  耶穌在加拿大行的第二個神蹟
[00:00:11.960 --> 00:00:13.760]  和祂第一個神蹟
[00:00:13.760 --> 00:00:16.080]  你會發覺水變酒
[00:00:16.080 --> 00:00:19.200]  都是一個人的需要
[00:00:19.200 --> 00:00:21.040]  而且是一個迫切的需要
[00:00:21.040 --> 00:00:22.960]  水變酒的時候
[00:00:22.960 --> 00:00:24.440]  婚宴突然間沒有酒
[00:00:24.440 --> 00:00:25.960]  是一件很掃興的事
[00:00:25.960 --> 00:00:28.280]  所以瑪利亞要求主
[00:00:28.280 --> 00:00:31.920]  但主說我的時候還未到
[00:00:31.920 --> 00:00:33.960]  後來我們看到
[00:00:33.960 --> 00:00:36.280]  耶穌行這件事是要彰顯
[00:00:36.280 --> 00:00:38.200]  祂確實是神的兒子
[00:00:38.200 --> 00:00:39.400]  祂有能力
[00:00:39.400 --> 00:00:41.280]  祂也可以選擇
[00:00:41.280 --> 00:00:43.720]  行與不行的一個神蹟
[00:00:43.720 --> 00:00:45.720]  在加拿大第二個神蹟
[00:00:45.720 --> 00:00:48.240]  就是依治大臣的兒子
[00:00:48.240 --> 00:00:50.160]  大臣的想法就是
[00:00:50.160 --> 00:00:52.920]  我兒子快要死了
[00:00:52.920 --> 00:00:55.480]  我需要找耶穌
[00:00:55.480 --> 00:00:57.880]  他聽過耶穌行很大的神蹟
[00:00:57.880 --> 00:00:59.080]  所以祂很相信
[00:00:59.080 --> 00:01:00.760]  耶穌一定有這樣的能力
[00:01:00.760 --> 00:01:02.800]  來醫治祂的兒子
[00:01:02.800 --> 00:01:04.440]  大家不要忘記
[00:01:04.440 --> 00:01:07.680]  在寫約翰福音的時候
[00:01:07.680 --> 00:01:10.160]  第一世紀整個新約裡面
[00:01:10.160 --> 00:01:13.760]  他們起初的書信或福音書
[00:01:13.760 --> 00:01:17.240]  每一卷都不是分了章節
[00:01:17.240 --> 00:01:19.640]  故此我們要明白
[00:01:19.640 --> 00:01:21.480]  就是約翰寫的時候
[00:01:21.480 --> 00:01:24.960]  他需要給我們文學上
[00:01:24.960 --> 00:01:26.480]  一些很清楚的標記
[00:01:26.480 --> 00:01:28.720]  如果大家看這個圖片
[00:01:28.720 --> 00:01:29.560]  你會看到
[00:01:29.560 --> 00:01:32.920]  我們看回前面那一章
[00:01:32.920 --> 00:01:35.560]  加拿大這個前和後
[00:01:35.560 --> 00:01:39.600]  正是由第二章到第四章的結尾
[00:01:39.600 --> 00:01:43.720]  是約翰首先寫了第一章的《道論》之後
[00:01:43.720 --> 00:01:46.720]  他來介紹這位道成肉身的耶穌基督
[00:01:46.720 --> 00:01:48.320]  他就和我們分享
[00:01:48.320 --> 00:01:49.840]  施洗約翰的見證
[00:01:49.840 --> 00:01:52.880]  隨後他就來介紹我們這位主
[00:01:52.880 --> 00:01:55.560]  他在加拿大把水變成酒之後
[00:01:55.560 --> 00:01:57.920]  就下到耶路撒冷
[00:01:57.920 --> 00:02:00.000]  因為他要守如月節
[00:02:00.000 --> 00:02:01.600]  在守節的過程裡面
[00:02:01.600 --> 00:02:02.760]  他進入聖殿
[00:02:02.760 --> 00:02:05.440]  但他也潔淨聖殿
[00:02:05.440 --> 00:02:06.840]  接著他又怎樣呢?
[00:02:06.840 --> 00:02:09.000]  他行了很多的神蹟
[00:02:09.000 --> 00:02:13.520]  在當中有很多人來信他
[00:02:13.520 --> 00:02:16.040]  及後尼哥底姆也是因為
[00:02:16.040 --> 00:02:18.200]  見證過耶穌行這麼大的神蹟
[00:02:18.200 --> 00:02:19.120]  他就說
[00:02:19.120 --> 00:02:20.600]  你當然是從神那裡來的
[00:02:20.600 --> 00:02:21.960]  否則神與你同在
[00:02:21.960 --> 00:02:23.120]  你沒有這樣的能力
[00:02:23.120 --> 00:02:24.800]  可以做這麼大的神蹟
[00:02:24.800 --> 00:02:27.880]  全部都和神蹟好像有關係
[00:02:27.880 --> 00:02:29.720]  唯獨到了第四章
[00:02:29.720 --> 00:02:32.320]  撒瑪利亞這位婦人的時候
[00:02:32.320 --> 00:02:34.880]  耶穌和她談道的過程
[00:02:34.880 --> 00:02:37.280]  就是讓她一步一步
[00:02:37.280 --> 00:02:40.720]  看到自己生命裡的黑暗和需要
[00:02:40.720 --> 00:02:42.240]  她來認識主耶穌
[00:02:42.240 --> 00:02:46.200]  不只是一個普通的夫子或者拉比
[00:02:46.200 --> 00:02:48.240]  祂是神所差來的
[00:02:48.240 --> 00:02:49.840]  莫非祢就是基督
[00:02:49.840 --> 00:02:51.080]  祢就是尼塞亞
[00:02:51.080 --> 00:02:52.560]  所以祂就放下水罐子
[00:02:52.560 --> 00:02:54.880]  入城和那些人分享
[00:02:54.880 --> 00:02:58.200]  這個人可以將我一生裡的事情說出來
[00:02:58.200 --> 00:03:00.520]  結果那些撒瑪利亞人
[00:03:00.520 --> 00:03:02.960]  都來聽耶穌說
[00:03:02.960 --> 00:03:06.720]  接著就是我們剛剛讀的這段經文
[00:03:06.720 --> 00:03:10.240]  神的兒子依次大神的兒子
[00:03:10.240 --> 00:03:14.400]  整個佈局和結構是很完整的
[00:03:14.400 --> 00:03:15.880]  所以我們看的時候
[00:03:15.880 --> 00:03:18.280]  我們看地理的環境
[00:03:18.280 --> 00:03:19.280]  你們也看到
[00:03:19.280 --> 00:03:21.360]  耶穌從北邊的加利利
[00:03:21.360 --> 00:03:24.040]  由迦納的地方到耶路撒冷
[00:03:24.040 --> 00:03:27.320]  然後耶路撒冷回到加利利的時候
[00:03:27.320 --> 00:03:30.240]  祂選擇通過撒瑪利亞
[00:03:30.240 --> 00:03:32.800]  這個過程是讓我們知道
[00:03:32.800 --> 00:03:37.160]  原來約翰擺撒瑪利亞的典故這件事
[00:03:37.160 --> 00:03:38.680]  是有很重要的原因
[00:03:38.680 --> 00:03:40.360]  我稍後會再說
[00:03:40.360 --> 00:03:43.400]  當我們明白這個元素的時候
[00:03:43.400 --> 00:03:47.040]  你看到由迦納到加伯隆
[00:03:47.040 --> 00:03:49.960]  即是大神的兒子住的地方
[00:03:49.960 --> 00:03:52.560]  其實相距有二十英里
[00:03:52.560 --> 00:03:55.680]  我們今天平常人走這段路
[00:03:55.680 --> 00:03:59.600]  一個小時可以走三英里
[00:03:59.600 --> 00:04:01.760]  起碼要六個多小時走
[00:04:01.760 --> 00:04:03.200]  但大家不要忘記
[00:04:03.200 --> 00:04:07.400]  這段路是說在山上的迦納
[00:04:07.400 --> 00:04:09.160]  一個山區的城
[00:04:09.160 --> 00:04:13.960]  到達海邊的加利利海旁的加伯隆
[00:04:13.960 --> 00:04:16.160]  其實要超過六個多小時
[00:04:16.160 --> 00:04:18.040]  因為要經過一些山路
[00:04:18.040 --> 00:04:19.880]  是郊區
[00:04:19.880 --> 00:04:23.480]  所以我們有合理的原因去相信
[00:04:23.480 --> 00:04:27.000]  這段路是要大概七個小時
[00:04:27.000 --> 00:04:28.880]  到達要走慢一點也是十個小時
[00:04:28.880 --> 00:04:30.920]  是需要的
[00:04:30.920 --> 00:04:32.720]  當我們有了這些背景之後
[00:04:32.720 --> 00:04:34.840]  我們再去思想一下
[00:04:34.840 --> 00:04:38.040]  約翰寫到這個段落的時候
[00:04:38.040 --> 00:04:40.920]  他其實已經和我們介紹
[00:04:40.920 --> 00:04:42.480]  我們這位主耶穌
[00:04:42.480 --> 00:04:45.720]  和四個猶太人他們文化習俗的
[00:04:45.720 --> 00:04:47.360]  一個很重要的關係
[00:04:47.360 --> 00:04:50.680]  第一 他在這個迦納的婚宴裏面
[00:04:50.680 --> 00:04:52.760]  他來到是講到
[00:04:52.760 --> 00:04:54.560]  叫那些傭人
[00:04:54.560 --> 00:04:56.680]  因為沒有走
[00:04:56.680 --> 00:04:58.160]  他媽媽就和他說
[00:04:58.160 --> 00:04:59.360]  你們聽耶穌吩咐
[00:04:59.360 --> 00:05:01.240]  他叫你做什麼你就做
[00:05:01.240 --> 00:05:04.560]  好了 耶穌怎樣將水變成酒
[00:05:04.560 --> 00:05:06.720]  他叫那些人找那些水
[00:05:06.720 --> 00:05:09.440]  倒入六個水缸裏
[00:05:09.440 --> 00:05:11.440]  那六個水缸是做什麼的
[00:05:11.440 --> 00:05:13.360]  大家知不知道
[00:05:13.360 --> 00:05:16.080]  是要來行潔淨之禮的
[00:05:16.080 --> 00:05:18.000]  其實就是猶太人
[00:05:18.000 --> 00:05:19.480]  來到現代
[00:05:19.480 --> 00:05:21.720]  本代賓客的時候
[00:05:21.720 --> 00:05:24.040]  他們在門口有這些水
[00:05:24.040 --> 00:05:26.280]  是幫他們來洗腳的
[00:05:26.280 --> 00:05:27.680]  你這樣說
[00:05:27.680 --> 00:05:29.920]  那些是洗腳水嗎?
