
[00:00:00.000 --> 00:00:03.540]  各位弟兄姊妹 新年進步
[00:00:03.540 --> 00:00:06.340]  剛才大家唱詩很投入
[00:00:06.340 --> 00:00:10.240]  Benny牧師帶領我們不單止是唱
[00:00:10.240 --> 00:00:13.840]  唱的時候是有一種感情的
[00:00:13.840 --> 00:00:15.740]  唱詩很重要
[00:00:15.740 --> 00:00:20.340]  每一首詩歌都是神的僕人的創作
[00:00:20.340 --> 00:00:22.440]  我們用心去唱
[00:00:22.440 --> 00:00:24.840]  用情去唱
[00:00:24.840 --> 00:00:27.440]  用靈去唱
[00:00:27.440 --> 00:00:29.900]  好像被主的靈去觸動
[00:00:29.900 --> 00:00:32.240]  因為唱詩本身
[00:00:32.240 --> 00:00:35.700]  神都透過詩歌向我們講說話
[00:00:35.700 --> 00:00:39.140]  讓我們得著提醒 幫助
[00:00:39.140 --> 00:00:42.240]  所以弟兄姊妹 我們能夠唱詩
[00:00:42.240 --> 00:00:46.640]  是神給我們一樣很大很大的恩賜
[00:00:46.640 --> 00:00:51.240]  我們在聆聽主導之先 我們祈禱
[00:00:51.240 --> 00:00:54.700]  掌管時日光陰的天父上帝
[00:00:54.700 --> 00:01:00.160]  在達進2025年 願我們聽到你的話語
[00:01:00.160 --> 00:01:05.440]  明白你的真道 更加聽從你的教導
[00:01:05.440 --> 00:01:09.940]  在新的一年 我們的靈性得到成長
[00:01:09.940 --> 00:01:13.700]  新年進步 奉主的名求
[00:01:13.700 --> 00:01:17.000]  阿們
[00:01:17.000 --> 00:01:19.760]  各位 今天我們要看的經文
[00:01:19.760 --> 00:01:24.200]  是《路加福音》五章一至十一節
[00:01:24.200 --> 00:01:27.840]  這一段的經文是有三個段落的
[00:01:27.840 --> 00:01:31.660]  請大家留意
[00:01:31.660 --> 00:01:35.640]  聖經這樣說 耶穌站在格尼撒湖邊
[00:01:35.640 --> 00:01:40.700]  眾人就擁擠他 要聽神的道
[00:01:40.700 --> 00:01:45.440]  有一艘船是西門的
[00:01:45.440 --> 00:01:50.200]  耶穌就上去 請他們把船撐開
[00:01:50.200 --> 00:01:52.460]  稍微離岸
[00:01:52.460 --> 00:01:58.360]  他們就坐下 在船上教訓眾人
[00:01:58.360 --> 00:02:00.640]  第二幕是說
[00:02:00.640 --> 00:02:05.540]  信從耶穌夫子開到水深之處
[00:02:05.540 --> 00:02:08.800]  是說彼得的信從
[00:02:08.800 --> 00:02:12.000]  耶穌說完了 對西門說
[00:02:12.000 --> 00:02:16.740]  把船開到水深之處 下網打魚
[00:02:16.740 --> 00:02:21.660]  西門就說 夫子啊 我們整夜都努力
[00:02:21.660 --> 00:02:24.140]  但沒有打著什麼
[00:02:24.140 --> 00:02:28.900]  但依從你的話 我就下網
[00:02:28.900 --> 00:02:33.200]  他們下了網 就圈著許多的魚
[00:02:33.200 --> 00:02:37.000]  網險些裂開
[00:02:37.000 --> 00:02:41.840]  便招呼那艘船上的同伴來幫助
[00:02:41.840 --> 00:02:43.740]  他們就來
[00:02:43.740 --> 00:02:46.700]  把船裝滿了兩艘船
[00:02:46.700 --> 00:02:51.700]  甚至船要沉下去
[00:02:51.700 --> 00:02:57.440]  第三幕說 跟從耶穌基督作門徒
[00:02:57.440 --> 00:02:59.700]  西門彼得看見
[00:02:59.700 --> 00:03:02.540]  就苦伏在耶穌的膝前
[00:03:02.540 --> 00:03:05.300]  說 主啊 離開我
[00:03:05.300 --> 00:03:08.340]  我是一個罪人
[00:03:08.340 --> 00:03:10.840]  他和一切同在的人
[00:03:10.840 --> 00:03:14.640]  都驚訝著一網所打的魚
[00:03:14.640 --> 00:03:20.400]  他的夥伴西比泰兒子瓦割約翰
[00:03:20.400 --> 00:03:22.600]  也是這樣
[00:03:22.600 --> 00:03:25.300]  耶穌對西門說 不要怕
[00:03:25.300 --> 00:03:28.800]  從今以後 你要得人了
[00:03:28.800 --> 00:03:32.340]  他們就把兩艘船 龍鳥岸
[00:03:32.340 --> 00:03:37.500]  就撇下所有的 跟從了耶穌
[00:03:37.500 --> 00:03:42.700]  各位弟兄姊妹 這段經文是講到三個的進步
[00:03:42.700 --> 00:03:45.300]  彼得是怎樣不斷進步呢
[00:03:45.300 --> 00:03:50.340]  第一幕是講他 信從耶穌夫子的教訓
[00:03:50.340 --> 00:03:51.900]  第二幕就是講
[00:03:51.900 --> 00:03:55.400]  第一幕是聽從耶穌夫子的教訓
