
[00:00:00.000 --> 00:00:07.000]  我們一起來禱告。主啊,我們求禰吩咐聖靈在我們生命當中來做工,
[00:00:07.000 --> 00:00:14.000]  好讓我們今天真的能夠經歷到神在我們生命中奇妙的工作。
[00:00:14.000 --> 00:00:19.000]  上帝禰真的愛我們,禰真的非常非常愛我們,
[00:00:19.000 --> 00:00:22.000]  禰真的把愛子耶穌基督賜給我們,
[00:00:22.000 --> 00:00:30.000]  叫我們好領受了天父的愛。主啊,今天我們沒有能夠在別的地方回應禰,
[00:00:30.000 --> 00:00:37.000]  我們要在心靈中跟你說,主啊,我們願意用我們的心靈誠實來敬拜禰。
[00:00:37.000 --> 00:00:43.000]  在這個動盪的世代,沒有神的世代,
[00:00:43.000 --> 00:00:47.000]  這個異離的世代,這個移民的世代,
[00:00:47.000 --> 00:00:51.000]  這個沒有身份的世代中,向我們來說話。
[00:00:51.000 --> 00:00:54.000]  讓我們不抓緊了對方的弱點,
[00:00:54.000 --> 00:00:59.000]  我們的親友對我們的這些俗世的這些安慰。
[00:00:59.000 --> 00:01:05.000]  我們要得着的,那是父神在我們身上從不改變的約。
[00:01:05.000 --> 00:01:10.000]  我們永遠是祂的兒女,從不改變。
[00:01:10.000 --> 00:01:13.000]  主啊,給我們這一份的信心來接受今天的話語,
[00:01:13.000 --> 00:01:18.000]  禱告仰望靠耶穌基督得聖的名字。
[00:01:18.000 --> 00:01:21.000]  那麼,好,希望跟大家再次的來讀這個經文,
[00:01:21.000 --> 00:01:25.000]  《出外一集記》的第一章15到22節。
[00:01:25.000 --> 00:01:30.000]  在讀的時候,我希望把當中經文裏面一些比較重要的地方,
[00:01:30.000 --> 00:01:32.000]  跟大家來解釋一下。
[00:01:32.000 --> 00:01:35.000]  然後我們進到今天的講道理裏面。
[00:01:35.000 --> 00:01:38.000]  《出外一集記》的第一章第15節,
[00:01:38.000 --> 00:01:42.000]  在有西伯來的兩個收生婆,
[00:01:42.000 --> 00:01:45.000]  一個名叫斯芙拉,
[00:01:45.000 --> 00:01:48.000]  另外一個叫做普阿。
[00:01:48.000 --> 00:01:52.000]  其實這兩個不是當地的兩個收生婆。
[00:01:52.000 --> 00:01:56.000]  大概據一些的考據說,
[00:01:56.000 --> 00:02:00.000]  當地大概有500個收生婆。
[00:02:00.000 --> 00:02:05.000]  這兩個可能就是當中的這個協會當中的負責人,
[00:02:05.000 --> 00:02:09.000]  兩個沒有結婚的,兩個負責這個工作。
[00:02:09.000 --> 00:02:13.000]  法老王命令對他們說,
[00:02:13.000 --> 00:02:16.000]  說什麼,你們爲西伯來人收生,
[00:02:16.000 --> 00:02:20.000]  看他們臨盆的時候,
[00:02:20.000 --> 00:02:24.000]  臨盆用這個字,就是《閻歷米疏》裏面講到,
[00:02:24.000 --> 00:02:29.000]  用這個籬杖,用籬笆做這個工作,
[00:02:29.000 --> 00:02:31.000]  這個轉,這個轉盆。
[00:02:31.000 --> 00:02:36.000]  聽說那個時候,那一些的西伯來婦人生產的時候,
[00:02:36.000 --> 00:02:40.000]  他們有一個特別的一個大概是個座位,
[00:02:40.000 --> 00:02:42.000]  那個座位是可以轉的。
[00:02:42.000 --> 00:02:45.000]  爲什麼這樣子不曉得,因爲沒有歷史的記載,
[00:02:45.000 --> 00:02:49.000]  大概可能是因爲他們要坐得舒服一點,生產比較方便一點,
[00:02:49.000 --> 00:02:51.000]  所以那個時候是用一個輪盤。
[00:02:51.000 --> 00:02:54.000]  輪盤的意思可能是因爲生的太多了,
[00:02:54.000 --> 00:02:57.000]  所以一個坐下來過了幾個小時,另外一個就上去了。
[00:02:57.000 --> 00:02:59.000]  所以看見神對這些百姓的祝福。
[00:02:59.000 --> 00:03:03.000]  就對這個埃及王,就對這兩個收生婆就說,
[00:03:03.000 --> 00:03:06.000]  臨盆的時候若是男生的,就把他殺了,
[00:03:06.000 --> 00:03:09.000]  要是女生的,就把他樓傳下來。
[00:03:09.000 --> 00:03:14.000]  這個記載好像很清楚,在五十年前的中國好像是這樣子。
[00:03:14.000 --> 00:03:21.000]  十七節就講到這兩個收生婆裏面的對這件事的態度,
[00:03:21.000 --> 00:03:24.000]  這裏有一個很明顯的一個回應,
[00:03:24.000 --> 00:03:31.000]  但是收生婆敬畏神,就不叫埃及王的分腹行,
[00:03:31.000 --> 00:03:36.000]  原文的意思就是拒絕埃及王所要求的,
[00:03:36.000 --> 00:03:39.000]  不是不聽,是拒絕,有分別的,
[00:03:39.000 --> 00:03:42.000]  不聽跟拒絕有很大分別。
[00:03:42.000 --> 00:03:46.000]  就把這個樓下的男孩的性命,
[00:03:46.000 --> 00:03:51.000]  十八節是埃及王第二次分腹這兩個收生婆來,
[00:03:51.000 --> 00:03:56.000]  召了他們來就說,說原文的意思就是要求他們解釋,
[00:03:56.000 --> 00:04:00.000]  你們爲什麼做這個事情傳擾男孩的性命呢?
[00:04:00.000 --> 00:04:04.000]  十九節收生婆就對法老說了一個事情,一個事實,
[00:04:04.000 --> 00:04:09.000]  因爲西班牙的富人與埃及人不同,實在不同,
[00:04:09.000 --> 00:04:10.000]  不同在什麼地方?
[00:04:10.000 --> 00:04:13.000]  西班牙人富人本是賤壯的,
[00:04:13.000 --> 00:04:17.000]  收生婆還沒有到的時候,他們已經生產了。
[00:04:17.000 --> 00:04:21.000]  第一章的二十節很特別的,請大家注意,
[00:04:21.000 --> 00:04:26.000]  在這個文法根當中的記載裏面給我們看見,
[00:04:26.000 --> 00:04:29.000]  神是如何的厚待這兩個收生婆,
[00:04:29.000 --> 00:04:34.000]  神厚待了收生婆。
[00:04:34.000 --> 00:04:38.000]  用這個文字來看,若是神恩待一個人,
[00:04:38.000 --> 00:04:40.000]  根據下來是什麼?
[00:04:40.000 --> 00:04:43.000]  應該這個蒙恩的人就得着好處嗎?
[00:04:43.000 --> 00:04:45.000]  是不是?看見嗎?是不是?
[00:04:45.000 --> 00:04:48.000]  我恩待你,應該你得到神所給你的恩。
[00:04:48.000 --> 00:04:50.000]  但是聖經不是這樣記載,
