
[00:00:00.000 --> 00:00:02.540]  我們開始聆聽神的話語之前
[00:00:02.540 --> 00:00:04.500]  我們一起低頭我們同心的禱告
[00:00:04.500 --> 00:00:07.040]  親愛的主我們感謝祢
[00:00:07.040 --> 00:00:08.500]  今日
[00:00:08.500 --> 00:00:10.640]  一班屬神的人
[00:00:10.640 --> 00:00:12.060]  我們來到
[00:00:12.060 --> 00:00:14.160]  神祢自己的家
[00:00:14.160 --> 00:00:16.860]  我們可以的來到去敬拜祢
[00:00:16.860 --> 00:00:19.480]  我們可以的來到去
[00:00:19.480 --> 00:00:21.700]  聆聽祢的話語
[00:00:21.700 --> 00:00:25.100]  這是何等大的恩典和福氣
[00:00:25.100 --> 00:00:27.740]  神下我們真的為著這個世界
[00:00:27.740 --> 00:00:30.740]  來禱告我們看到最近
[00:00:30.740 --> 00:00:33.800]  這一個多星期以來的戰爭
[00:00:33.800 --> 00:00:36.620]  主我們真的要為著這場戰爭
[00:00:36.620 --> 00:00:39.120]  來禱告神下我們求祢
[00:00:39.120 --> 00:00:41.740]  掌管整個的過程
[00:00:41.740 --> 00:00:44.000]  我們真的好盼望
[00:00:44.000 --> 00:00:46.720]  這個戰爭能夠早日的結束
[00:00:46.720 --> 00:00:49.940]  主我們知道一切都在祢的手裏面
[00:00:49.940 --> 00:00:51.840]  求祢去掌管
[00:00:51.840 --> 00:00:53.740]  也都求祢去幫助
[00:00:53.740 --> 00:00:56.240]  神下我們身處在美國
[00:00:56.240 --> 00:00:58.240]  這一個國家
[00:00:58.240 --> 00:01:01.240]  我們同樣都看到在美國裏面
[00:01:01.240 --> 00:01:03.240]  都有好多好多的問題
[00:01:03.240 --> 00:01:06.240]  主這一個是以祢的名立國
[00:01:06.240 --> 00:01:08.240]  的一個國家
[00:01:08.240 --> 00:01:12.240]  我們求祢親自的來保守
[00:01:12.240 --> 00:01:14.240]  也都親自的來祝福
[00:01:14.240 --> 00:01:16.240]  讓這個國家再一次
[00:01:16.240 --> 00:01:18.240]  來高舉祢的名
[00:01:18.240 --> 00:01:20.240]  去榮耀祢的名
[00:01:20.240 --> 00:01:22.240]  主我們來仰望祢
