
[00:00:00.000 --> 00:00:05.200]  希伯來書,我們相信是一個無名氏的牧師
[00:00:05.200 --> 00:00:14.440]  在耶路撒冷寫給一班在羅馬的猶太信徒
[00:00:14.440 --> 00:00:19.360]  我們相信大概是在公元60年中寫的
[00:00:19.360 --> 00:00:23.360]  如果你知道歷史,這個微錄就知道了
[00:00:23.360 --> 00:00:24.760]  我那時也有這樣想的
[00:00:24.760 --> 00:00:28.760]  我說在保羅寫羅馬書的時候是公元57年
[00:00:28.760 --> 00:00:30.960]  當時在尼祿是上了任的
[00:00:30.960 --> 00:00:34.760]  但尼祿起初那幾年是一個不錯的皇帝
[00:00:34.760 --> 00:00:37.000]  所以一切都平安的
[00:00:37.000 --> 00:00:39.000]  但是一去到六十
[00:00:39.000 --> 00:00:41.840]  Zone D的時候已經在風起雲湧
[00:00:41.840 --> 00:00:44.080]  他開始逼迫這些東西
[00:00:44.080 --> 00:00:45.960]  去到六十四年
[00:00:45.960 --> 00:00:47.640]  羅馬一場大火
[00:00:47.640 --> 00:00:51.600]  然後這個尼祿就要找人做替死鬼
[00:00:51.600 --> 00:00:53.720]  他就說為什麼那場這麼大的火
[00:00:53.720 --> 00:00:57.480]  是因為那些基督徒不肯拜我們的假神
[00:00:57.480 --> 00:01:00.240]  於是他就去逼迫殺了很多基督徒
[00:01:00.240 --> 00:01:03.680]  我們相信有可能比得起那時的公元64年
[00:01:03.680 --> 00:01:05.040]  都是殉道了的
[00:01:05.040 --> 00:01:07.400]  而比保羅是遲他幾年
[00:01:07.400 --> 00:01:09.320]  所以你可以想像
[00:01:09.320 --> 00:01:12.560]  當我們去到希伯來書的時候
[00:01:12.560 --> 00:01:17.640]  逼迫已經在羅馬發生得很厲害了
[00:01:17.640 --> 00:01:21.680]  希伯來書有人說是一個四大階空的書
[00:01:21.680 --> 00:01:23.120]  什麼叫四大階空呢
[00:01:23.120 --> 00:01:24.440]  沒有作者
[00:01:24.440 --> 00:01:25.640]  沒有受信人
[00:01:25.640 --> 00:01:27.040]  沒有日期
[00:01:27.040 --> 00:01:28.200]  沒有背景
[00:01:28.200 --> 00:01:31.320]  我們怎麼知道他這麼多背景呢
[00:01:31.320 --> 00:01:33.520]  就因為感謝主
[00:01:33.520 --> 00:01:36.720]  祂給了我們十三章聖經
[00:01:36.720 --> 00:01:38.680]  希伯來書也算很長的
[00:01:38.680 --> 00:01:39.960]  十三章聖經
[00:01:39.960 --> 00:01:41.480]  但是你覺得很長之餘
[00:01:41.480 --> 00:01:43.280]  其實也不是那麼長
[00:01:43.280 --> 00:01:44.880]  在美國有一個牧師
[00:01:44.880 --> 00:01:47.400]  有一個星期就懶得去
[00:01:47.400 --> 00:01:48.960]  預備那篇講章
[00:01:48.960 --> 00:01:49.960]  那他做什麼呢
[00:01:49.960 --> 00:01:51.600]  那個星期他不講道
[00:01:51.600 --> 00:01:54.000]  他自己背了希伯來書
[00:01:54.000 --> 00:01:56.560]  一章一至至十三章
[00:01:56.560 --> 00:01:59.440]  於是上講台就由第一節開始
[00:01:59.440 --> 00:02:00.160]  第一章就是第一節
[00:02:00.160 --> 00:02:02.160]  他背的,他不是讀的
[00:02:02.160 --> 00:02:05.240]  然後一直背,背到十三章最後那一節
[00:02:05.240 --> 00:02:07.240]  剛剛好四十五分鐘
[00:02:07.240 --> 00:02:09.280]  一篇講道
[00:02:09.280 --> 00:02:10.760]  所以有人說
