
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹,主女平安
[00:00:03.000 --> 00:00:07.000]  看見和看不見
[00:00:07.000 --> 00:00:12.000]  會對我們看事情的判斷有很大的影響
[00:00:12.000 --> 00:00:15.000]  在歐洲某個地方,有一個人上了的士
[00:00:15.000 --> 00:00:18.000]  一上車,司機就問他
[00:00:18.000 --> 00:00:20.000]  你在哪裏來的?
[00:00:20.000 --> 00:00:23.000]  這個人就在猜測,司機想跟他聊天
[00:00:23.000 --> 00:00:25.000]  他就說,我從大城市那邊來的
[00:00:25.000 --> 00:00:27.000]  司機再追問
[00:00:27.000 --> 00:00:31.000]  你即是從哪裏來的人?
[00:00:31.000 --> 00:00:35.000]  他說,我在亞洲來的,怎樣呢?
[00:00:35.000 --> 00:00:40.000]  他心想,司機當然是想跟他聊大家很關注的話題
[00:00:40.000 --> 00:00:42.000]  新冠狀病毒
[00:00:42.000 --> 00:00:44.000]  甚至可能會繼續盤問下去
[00:00:44.000 --> 00:00:47.000]  責怪他為何不戴口罩
[00:00:47.000 --> 00:00:49.000]  於是他就說
[00:00:49.000 --> 00:00:53.000]  司機,我已經兩年沒有回到這個地方
[00:00:53.000 --> 00:00:56.000]  今天我來這個城市出差,你滿意嗎?
[00:00:56.000 --> 00:00:58.000]  其實你才要戴口罩
[00:00:58.000 --> 00:01:00.000]  你們每天都接載不同的人
[00:01:00.000 --> 00:01:02.000]  一直說,一直說,一直說
[00:01:02.000 --> 00:01:04.000]  教訓司機
[00:01:04.000 --> 00:01:08.000]  看不見,眼見的記號
[00:01:08.000 --> 00:01:11.000]  令人有隔閡
[00:01:11.000 --> 00:01:13.000]  看不見的成見
[00:01:13.000 --> 00:01:17.000]  卻是心裏面更大的問題
[00:01:17.000 --> 00:01:19.000]  成見是一種偏執
[00:01:19.000 --> 00:01:22.000]  令我們會行動和判斷錯誤
[00:01:22.000 --> 00:01:24.000]  在我們跟隨耶穌的路上
