
[00:00:00.000 --> 00:00:04.720]  今天我們分享的題目叫做「跟神去跟到底」
[00:00:04.720 --> 00:00:05.840]  我不知道大家有沒有試過
[00:00:05.840 --> 00:00:07.840]  有一些東西你開始了
[00:00:07.840 --> 00:00:09.320]  但是完成不了
[00:00:09.320 --> 00:00:11.440]  最後有一些可惜的呢?
[00:00:11.440 --> 00:00:13.360]  我記得以前收拾房子的時候
[00:00:13.360 --> 00:00:16.360]  都會收拾到這些完成不了的東西
[00:00:16.360 --> 00:00:17.560]  那些是什麼呢?
[00:00:17.560 --> 00:00:19.880]  開始了砌的模型
[00:00:19.880 --> 00:00:21.480]  但是完成不了
[00:00:21.480 --> 00:00:23.400]  有沒有人試過開始砌模型
[00:00:23.400 --> 00:00:25.200]  但是完成不了?
[00:00:25.200 --> 00:00:26.160]  或者呢
[00:00:26.160 --> 00:00:28.600]  開始了砌一幅砌圖
[00:00:28.600 --> 00:00:31.520]  但是最後砌不了
[00:00:31.520 --> 00:00:33.920]  最近我們有一個童工大旅行
[00:00:33.920 --> 00:00:36.840]  我們就回了內地旅行
[00:00:36.840 --> 00:00:39.720]  我們就一起逛商舖
[00:00:39.720 --> 00:00:41.200]  我也很喜歡逛商舖
[00:00:41.200 --> 00:00:42.440]  在商舖裡面
[00:00:42.440 --> 00:00:45.000]  哇!有很多很漂亮的模型
[00:00:45.000 --> 00:00:46.600]  還有很多很漂亮的砌圖
[00:00:46.600 --> 00:00:48.680]  童工不少都會買
[00:00:48.680 --> 00:00:49.680]  他看著我
[00:00:49.680 --> 00:00:51.000]  我很忍手
[00:00:51.000 --> 00:00:53.400]  他說梁牧師你平時不是這麼忍手的
[00:00:53.400 --> 00:00:54.720]  為什麼今天這麼忍手?
[00:00:54.720 --> 00:00:56.520]  我說模型確實很漂亮
[00:00:56.520 --> 00:00:58.080]  砌圖也很漂亮
[00:00:58.080 --> 00:01:00.400]  不過我通常都砌不完的
[00:01:00.400 --> 00:01:02.800]  所以我還是不買了
[00:01:02.800 --> 00:01:05.640]  要不然開始了做不完很可惜的
[00:01:05.640 --> 00:01:07.600]  我有認識一個朋友
[00:01:07.600 --> 00:01:12.000]  他曾經說他很喜歡作歌的
[00:01:12.000 --> 00:01:13.080]  但是他說
[00:01:13.080 --> 00:01:14.920]  作作下一半寫了一半
[00:01:14.920 --> 00:01:15.920]  又沒有完成
[00:01:15.920 --> 00:01:18.440]  我說那真是可惜啊
[00:01:18.440 --> 00:01:21.640]  也有朋友說他以前很喜歡寫劇本的
[00:01:21.640 --> 00:01:23.960]  他找回一本以前讀書的時候
[00:01:23.960 --> 00:01:26.080]  曾經做夢寫過的劇本
[00:01:26.080 --> 00:01:27.320]  但是那個劇本
[00:01:27.320 --> 00:01:29.600]  最後是完成不了的
[00:01:29.600 --> 00:01:31.320]  我問他你會不會想一下
[00:01:31.320 --> 00:01:32.800]  現在再寫劇本
[00:01:32.800 --> 00:01:35.200]  他說現在不寫了
[00:01:35.200 --> 00:01:38.240]  又或者你有沒有看一看你的書架
[00:01:38.240 --> 00:01:39.840]  你有沒有看一看你的書架
[00:01:39.840 --> 00:01:42.120]  有沒有一些是你開始看了
[00:01:42.120 --> 00:01:43.920]  但是看不完的書架
[00:01:43.920 --> 00:01:45.280]  應該也有不少的
[00:01:45.280 --> 00:01:47.400]  因為我們人都很喜歡買東西的
[00:01:47.400 --> 00:01:49.040]  特別如果你去到書展
[00:01:49.040 --> 00:01:50.560]  接著你會說哇
[00:01:50.560 --> 00:01:53.080]  我們通常兩手空空進書展
[00:01:53.080 --> 00:01:54.800]  接著拿很多東西出來
[00:01:54.800 --> 00:01:56.880]  但是究竟是不是真的完成得到呢?
[00:01:56.880 --> 00:01:58.560]  通常都完成不了的
[00:01:58.560 --> 00:01:59.960]  另外作為基督徒
[00:01:59.960 --> 00:02:01.800]  你可能都經歷過有一件事
[00:02:01.800 --> 00:02:03.720]  你立志開始過
[00:02:03.720 --> 00:02:04.720]  但是完成不了的
[00:02:04.720 --> 00:02:05.720]  你會覺得是什麼呢?
[00:02:05.720 --> 00:02:08.160]  哎呀你猜到了
[00:02:08.160 --> 00:02:09.840]  看聖經啊
[00:02:09.840 --> 00:02:11.680]  通常在年頭的時候
