
[00:00:00.000 --> 00:00:03.680]  今天我跟大家繼續講
[00:00:03.680 --> 00:00:06.520]  登山補訓裏面
[00:00:06.520 --> 00:00:10.720]  要勝過法理賽人的義的這個題目裏面
[00:00:10.720 --> 00:00:14.680]  而且是這個系列裏面的最後一段
[00:00:14.680 --> 00:00:20.000]  這個也當愛囚敵
[00:00:20.000 --> 00:00:23.320]  亦都是登山補訓之中
[00:00:23.320 --> 00:00:28.400]  可以說是至尊至高的一道命令
[00:00:29.200 --> 00:00:31.200]  要愛囚敵
[00:00:31.200 --> 00:00:38.200]  我們能夠做到不以牙還牙已經不簡單
[00:00:38.200 --> 00:00:41.480]  但未算是最高
[00:00:41.480 --> 00:00:46.640]  再高一點就是愛囚敵
[00:00:46.640 --> 00:00:52.680]  耶穌自己這樣說
[00:00:52.680 --> 00:00:58.440]  愛神愛人就是律法和先知一切道理的總綱
[00:00:59.200 --> 00:01:06.720]  愛神愛人也是比一切的繁祭和各樣的祭祀好得多
[00:01:06.720 --> 00:01:15.160]  保羅也是同樣有教導
[00:01:15.160 --> 00:01:18.640]  他說愛人就完全了律法
[00:01:18.640 --> 00:01:25.560]  所有的誡命都包含在這個愛人如己的裏面
[00:01:27.000 --> 00:01:30.000]  如果我們細心想想,你會同意
[00:01:30.000 --> 00:01:36.640]  愛人如己亦都是包括愛囚敵
[00:01:36.640 --> 00:01:39.040]  是愛囚敵如己
[00:01:39.040 --> 00:01:41.040]  能夠愛囚敵
[00:01:41.040 --> 00:01:47.040]  我們才是真正明白到領受到神的大愛
[00:01:47.040 --> 00:01:52.680]  今天我就和大家一起學習愛囚敵這個題目
[00:01:52.680 --> 00:01:54.680]  首先我要聲明
[00:01:54.680 --> 00:01:56.680]  在這裏說愛囚敵
[00:01:56.680 --> 00:02:01.880]  今天我不會說在戰場上的囚敵怎樣做
[00:02:01.880 --> 00:02:06.640]  或是國與國之間的戰爭或是仇恨是怎樣
[00:02:06.640 --> 00:02:09.040]  這是另一個層面
[00:02:09.040 --> 00:02:11.040]  今天所說的愛囚敵
[00:02:11.040 --> 00:02:17.040]  是說我們個人私下所結的恩恩怨怨的囚敵
[00:02:17.040 --> 00:02:24.040]  我們看看今天講到的經文
[00:02:24.040 --> 00:02:29.040]  馬太福音五章四十三節
[00:02:29.040 --> 00:02:35.040]  多愛你的鄰舍,恨你的囚敵
[00:02:35.040 --> 00:02:39.040]  這兩句經文
