
[00:00:00.000 --> 00:00:02.000]  丁子母祝你平安
[00:00:02.000 --> 00:00:04.500]  很高興和大家一起再次分享神的話語
[00:00:04.500 --> 00:00:06.500]  容海在開始之前有個祈禱
[00:00:06.500 --> 00:00:08.500]  親愛的阿爸、天父、親愛的主
[00:00:08.500 --> 00:00:09.500]  我們穿在你面前
[00:00:09.500 --> 00:00:11.000]  主我們感恩讚美你
[00:00:11.000 --> 00:00:13.000]  因為你留下你的聖言
[00:00:13.000 --> 00:00:15.500]  你也是讓我們透過你的聖言
[00:00:15.500 --> 00:00:19.000]  能夠去思想、反思
[00:00:19.000 --> 00:00:22.000]  你在我們生命、在我們的教會
[00:00:22.000 --> 00:00:24.500]  在我們的社會、在我們的國家
[00:00:24.500 --> 00:00:27.000]  在我們人類歷史當中的作為
[00:00:27.000 --> 00:00:28.500]  求主你幫助我們
[00:00:28.500 --> 00:00:30.000]  細心聆聽
[00:00:30.000 --> 00:00:31.500]  亦都好好地反思
[00:00:31.500 --> 00:00:32.500]  將現下時間
[00:00:32.500 --> 00:00:34.000]  完全擺上
[00:00:34.000 --> 00:00:36.000]  求主你的靈去光照
[00:00:36.000 --> 00:00:37.000]  簡單地祈禱
[00:00:37.000 --> 00:00:39.000]  奉我主耶穌基督的聖名而求
[00:00:39.000 --> 00:00:41.000]  阿們
[00:00:41.000 --> 00:00:44.000]  不知道大家會不會像我這樣
[00:00:44.000 --> 00:00:46.000]  年紀大了之後
[00:00:46.000 --> 00:00:51.000]  久不久都會回想的人生
[00:00:51.000 --> 00:00:55.000]  有多少人都會回想自己的人生
[00:00:55.000 --> 00:00:57.000]  一生是過去
[00:00:57.000 --> 00:00:59.000]  當你回想人生的時候
[00:00:59.000 --> 00:01:01.000]  我不知道你會回想什麼
[00:01:01.000 --> 00:01:04.000]  可能數算有什麼福氣
[00:01:04.000 --> 00:01:07.000]  或者你會看到有什麼遭遇
[00:01:07.000 --> 00:01:09.000]  我發覺當我看人生的時候
[00:01:09.000 --> 00:01:13.000]  如果有幾個轉捩點拿出來看
[00:01:13.000 --> 00:01:15.500]  為什麼會發生這些轉捩點呢?
[00:01:15.500 --> 00:01:17.000]  當我細心思考
[00:01:17.000 --> 00:01:18.000]  由一個轉捩點
[00:01:18.000 --> 00:01:19.500]  帶到另一個轉捩點
[00:01:19.500 --> 00:01:21.000]  帶到另一個轉捩點
[00:01:21.000 --> 00:01:23.500]  往往人生開始
[00:01:23.500 --> 00:01:25.500]  你不知道怎樣去結束
[00:01:25.500 --> 00:01:27.000]  今天坐在這裡
[00:01:27.000 --> 00:01:28.000]  你要想一想
[00:01:28.000 --> 00:01:31.000]  為什麼我會坐在這裡呢?
[00:01:31.000 --> 00:01:33.000]  你真的細心思考
[00:01:33.000 --> 00:01:35.000]  原來我坐在這裡
[00:01:35.000 --> 00:01:37.000]  豈是偶然呢?
[00:01:37.000 --> 00:01:39.000]  往往人生
[00:01:39.000 --> 00:01:41.000]  我們覺得很多很偶然的事
