
[00:00:00.000 --> 00:00:04.080]  各位在網上參加崇拜的朋友 平安
[00:00:04.080 --> 00:00:09.040]  今天是聖年降臨主日
[00:00:09.040 --> 00:00:12.080]  有一個事情相信大家沒有留意
[00:00:12.080 --> 00:00:13.440]  但我是很留意到的
[00:00:13.440 --> 00:00:20.040]  就是我已經第四次在聖年降臨主日講道
[00:00:20.040 --> 00:00:24.600]  聖年降臨主日的經文
[00:00:24.600 --> 00:00:29.120]  一定是《仕途行傳》第二章一至二十一節
[00:00:30.520 --> 00:00:32.760]  聖誕節的經文仍然可以輪替
[00:00:32.760 --> 00:00:34.680]  因為有寄觀福音書
[00:00:34.680 --> 00:00:38.080]  但聖年降臨主日的經文是不能輪替的
[00:00:38.080 --> 00:00:40.040]  我在這裡思索
[00:00:40.040 --> 00:00:43.200]  如果不重複之前那三次的講道內容
[00:00:43.200 --> 00:00:44.920]  我還有甚麼可以講呢
[00:00:44.920 --> 00:00:48.400]  當我在想的時候
[00:00:48.400 --> 00:00:49.320]  我懷疑到
[00:00:49.320 --> 00:00:53.920]  原來聖年降臨日的中文和英文名字是不同的
[00:00:53.920 --> 00:00:56.280]  中文是聖年降臨主日
[00:00:56.280 --> 00:00:59.080]  英文就是Day of Pentecost
[00:01:00.400 --> 00:01:02.840]  然後我就在想為何會有不同呢
[00:01:02.840 --> 00:01:06.360]  Day of Pentecost即是第五十日
[00:01:06.360 --> 00:01:09.560]  第五十日原來有兩種意義
[00:01:09.560 --> 00:01:15.240]  第一種意義是指耶穌基督復活之後的第五十日
[00:01:15.240 --> 00:01:21.040]  第二種意義是《仕途行傳》第二章所講的五旬節
[00:01:21.040 --> 00:01:26.360]  我們試試看《仕途行傳》第二章今天的經課
[00:01:31.000 --> 00:01:33.040]  第二章第一節說
[00:01:33.040 --> 00:01:36.760]  「五旬節到了,門徒都聚集在一處」
[00:01:36.760 --> 00:01:38.760]  這裡提到五旬節
[00:01:38.760 --> 00:01:40.520]  即是Day of Pentecost
[00:01:40.520 --> 00:01:43.520]  是指事件發生的日期
[00:01:43.520 --> 00:01:44.680]  那個日子
[00:01:44.680 --> 00:01:45.920]  然後第二節開始說
[00:01:45.920 --> 00:01:47.920]  「忽然從天上有響聲下來
[00:01:47.920 --> 00:01:49.720]  好像一陣大風吹過
[00:01:49.720 --> 00:01:51.600]  充滿了他們所在的屋子
[00:01:51.600 --> 00:01:53.840]  又有蝕頭如火焰顯現出來
[00:01:53.840 --> 00:01:55.680]  分開落在他們各人頭上
[00:01:55.680 --> 00:01:57.680]  他們就都被聖靈充滿
[00:01:58.320 --> 00:02:01.040]  按著聖靈所賜的口才說出別國的話來」
[00:02:01.040 --> 00:02:04.080]  這就是事件
[00:02:04.080 --> 00:02:06.560]  第二至第四節
[00:02:06.560 --> 00:02:08.760]  是說那一天
[00:02:08.760 --> 00:02:10.280]  所發生的事情
[00:02:10.280 --> 00:02:14.440]  就是聖靈降臨在門徒身上的情況
