
[00:00:00.000 --> 00:00:04.120]  今日我們竟然要講三章的聖經
[00:00:04.120 --> 00:00:07.160]  第十一章、第十二章和第十三章
[00:00:07.160 --> 00:00:12.480]  但是第十一到第十三章是跟我們的生活有關的
[00:00:12.480 --> 00:00:16.840]  所以要很深的去解釋那些經文就不太多
[00:00:16.840 --> 00:00:20.560]  所以我都有把握今晚會講完的
[00:00:20.560 --> 00:00:23.640]  好,我們開始的時候,先低頭我們祈禱好嗎?
[00:00:23.640 --> 00:00:28.080]  親愛的天父,我們感謝祢,因為祢自己的愛
[00:00:28.080 --> 00:00:31.040]  祢超越一切,祢愛我們
[00:00:31.040 --> 00:00:34.040]  祢的愛都超越了我們可以所想像的
[00:00:34.040 --> 00:00:37.640]  求祢幫助我們來尊重我們所領受、所得著的
[00:00:37.640 --> 00:00:39.920]  叫我們不會輕率、不會隨便
[00:00:39.920 --> 00:00:41.640]  求神祢自己親自帶領
[00:00:41.640 --> 00:00:43.480]  帶領著我們以下的時間
[00:00:43.480 --> 00:00:46.640]  讓我們在最後這一堂裡面都有更多的領受和得著
[00:00:46.640 --> 00:00:48.120]  聽我在面前的祈禱交托
[00:00:48.120 --> 00:00:49.520]  賴奉主的德性的名
[00:00:49.520 --> 00:00:51.320]  Amen
[00:00:51.320 --> 00:00:54.760]  如果我們看第十章的尾的時候
[00:00:54.760 --> 00:00:57.080]  就會講到今天我們要很小心
[00:00:57.080 --> 00:00:59.440]  因為我們領受了這個救恩
[00:00:59.440 --> 00:01:01.640]  如果我們故意犯罪的時候
[00:01:01.640 --> 00:01:05.760]  我們就不會得到神的祝福
[00:01:05.760 --> 00:01:08.800]  甚至會面對一個很重的刑罰
[00:01:08.800 --> 00:01:11.000]  接著他就會講
[00:01:11.000 --> 00:01:16.040]  因為當時不要忘記希伯來的書裡面的壽書人
[00:01:16.040 --> 00:01:17.640]  正在面對很多的逼迫
[00:01:17.640 --> 00:01:21.600]  於是他就用一些人的經歷來鼓勵他
