
[00:00:00.000 --> 00:00:03.960]  我們現在打開舊日聖經的二賽亞書的第六章
[00:00:03.960 --> 00:00:06.040]  二賽亞書的第六章
[00:00:06.040 --> 00:00:08.800]  我們今天讀的經文是只有四節
[00:00:08.800 --> 00:00:11.200]  就是第六章的一到四節
[00:00:11.200 --> 00:00:13.280]  為什麼會讀四節和第六章
[00:00:13.280 --> 00:00:14.720]  一會兒我們才會解釋
[00:00:14.720 --> 00:00:18.000]  在二賽亞書的第六章第一到第四節
[00:00:18.000 --> 00:00:20.080]  如果找到的話請聽我讀出這段經文
[00:00:20.080 --> 00:00:22.240]  二賽亞書的第六章一到四節
[00:00:22.240 --> 00:00:22.720]  它說
[00:00:22.720 --> 00:00:24.960]  當烏西亞黃崩的那一年
[00:00:24.960 --> 00:00:27.520]  我見主坐在高高的寶座上
[00:00:27.520 --> 00:00:30.080]  他衣裳垂下遮滿了聖殿
[00:00:30.080 --> 00:00:32.960]  其上有撒拉弗士納各有六個翅膀
[00:00:32.960 --> 00:00:34.560]  用兩個翅膀遮臉
[00:00:34.560 --> 00:00:36.080]  兩個翅膀遮腳
[00:00:36.080 --> 00:00:38.080]  兩個翅膀是飛牆
[00:00:38.080 --> 00:00:39.440]  彼此呼喊說
[00:00:39.440 --> 00:00:41.200]  聖哉!聖哉!聖哉!
[00:00:41.200 --> 00:00:42.320]  萬軍的搖滑
[00:00:42.320 --> 00:00:44.240]  他的榮光充滿全地
[00:00:44.240 --> 00:00:46.160]  因為呼喊者的聲音
[00:00:46.160 --> 00:00:48.320]  門鑑的根基都震動
[00:00:48.320 --> 00:00:50.480]  殿充滿了煙雲
[00:00:50.480 --> 00:00:51.920]  和你隔壁的朋友說一聲
[00:00:51.920 --> 00:00:53.440]  神是聖潔的
[00:00:55.040 --> 00:00:57.920]  在美國很多的教會
[00:00:57.920 --> 00:01:01.280]  經歷了這十多年的之後
[00:01:01.280 --> 00:01:03.200]  有些調查報告就說
[00:01:03.200 --> 00:01:06.160]  今天教會的信徒的生命
[00:01:06.160 --> 00:01:08.880]  他的信仰生命這麼疲乏
[00:01:08.880 --> 00:01:10.160]  或者這麼薄弱
[00:01:10.160 --> 00:01:11.360]  如果你昨天有上課
[00:01:11.360 --> 00:01:13.120]  那麼淺薄
[00:01:13.120 --> 00:01:14.480]  其中一個原因因為
[00:01:14.480 --> 00:01:16.480]  在崇拜裏面的講道
[00:01:16.480 --> 00:01:21.120]  大部分已經傾側在水平線的信息
[00:01:21.120 --> 00:01:22.560]  什麼叫水平線的信息
[00:01:22.560 --> 00:01:27.840]  就是怎樣強調聖經是應用在我們生活裏面
[00:01:27.840 --> 00:01:29.600]  所以崇拜裏面的講題
[00:01:29.600 --> 00:01:32.560]  會包括基督徒夫婦怎樣相處
[00:01:32.560 --> 00:01:35.760]  如何教導子女
[00:01:35.760 --> 00:01:37.280]  如何管理
[00:01:37.280 --> 00:01:39.040]  如何選擇職業
[00:01:39.040 --> 00:01:41.760]  等等的題目在聽眾來說
[00:01:41.760 --> 00:01:43.040]  是非常受用
[00:01:43.040 --> 00:01:46.240]  以及很貼近他們的生活
[00:01:46.240 --> 00:01:48.480]  但是有一個危機感
[00:01:48.480 --> 00:01:54.640]  就是慢慢將聖經信仰的層面開始稀釋了
[00:01:54.640 --> 00:01:59.440]  而這個聖經差不多去到近乎於外面的管理學
[00:01:59.440 --> 00:02:01.760]  近乎於外面的倫理學
[00:02:01.760 --> 00:02:04.160]  近乎於激勵的講座
[00:02:04.160 --> 00:02:08.480]  信仰的稀釋度越來越濃厚了
[00:02:08.480 --> 00:02:13.440]  接著就發覺沒有了我們基督教獨特的信仰
[00:02:13.440 --> 00:02:18.560]  一個星期天的講道和外面聽過的專題的講座
[00:02:18.560 --> 00:02:19.440]  分別不大
[00:02:19.440 --> 00:02:21.920]  除了有經文和沒有經文之外
[00:02:21.920 --> 00:02:25.440]  慢慢慢慢你會發覺信徒的生命
[00:02:25.440 --> 00:02:27.760]  他不是再連結於上帝
[00:02:27.760 --> 00:02:30.880]  也不是很專注在上帝那裏
[00:02:30.880 --> 00:02:33.680]  反而是強調了聖經怎樣應用
[00:02:33.680 --> 00:02:36.800]  因為日積月累這十幾年的
[00:02:36.800 --> 00:02:38.800]  是美國的教會這麼強調
[00:02:38.800 --> 00:02:43.920]  側重了一邊的一個這樣的講道的情況下
[00:02:43.920 --> 00:02:47.840]  信徒的信仰生命就流於淺薄了
[00:02:47.840 --> 00:02:51.280]  而今天在美國教會裏面也都提倡了
[00:02:51.280 --> 00:02:54.720]  應該有垂直線的信息
[00:02:54.720 --> 00:02:56.640]  垂直線的信息就是在說
[00:02:56.640 --> 00:03:00.400]  我們要看看透過經文去認識這位上帝
