
[00:00:00.000 --> 00:00:05.440]  我們今天繼續要來跟大家分享起訴的信息
[00:00:05.440 --> 00:00:10.540]  我想有一首以前流行的一首歌叫做明天會更好
[00:00:10.540 --> 00:00:13.740]  可能不曉得弟兄姊妹有沒有聽過
[00:00:13.740 --> 00:00:15.800]  這首歌很振奮人心
[00:00:15.800 --> 00:00:17.080]  明天會更好
[00:00:17.080 --> 00:00:21.580]  我想這個在現在新冠疫情
[00:00:21.580 --> 00:00:23.440]  越來越多的人打疫苗
[00:00:23.440 --> 00:00:28.340]  那麼政府告訴我們說現在已經有一億大概五百多萬人打了疫苗
[00:00:28.340 --> 00:00:31.820]  換句話說大概26%左右的人打了疫苗
[00:00:31.820 --> 00:00:35.620]  那麼如果到五月中所有的成年人都可以打疫苗
[00:00:35.620 --> 00:00:37.920]  By the time到我們暑假的時候
[00:00:37.920 --> 00:00:38.960]  我們就可以出國了
[00:00:38.960 --> 00:00:42.040]  我們就可以去這個到世界各地
[00:00:42.040 --> 00:00:43.980]  該做什麼就做什麼了
[00:00:43.980 --> 00:00:47.360]  可能大家心中就有這樣一個期待
[00:00:47.360 --> 00:00:48.920]  所以明天會更好
[00:00:48.920 --> 00:00:50.120]  照這樣子來看的話
[00:00:50.120 --> 00:00:51.740]  真是明天會更好是嗎
[00:00:51.740 --> 00:00:57.520]  但是這個世界是不是明天會更好呢
[00:00:57.520 --> 00:00:59.300]  如果我們看啓示錄
[00:00:59.300 --> 00:01:00.980]  你會發現哦
[00:01:00.980 --> 00:01:05.380]  奇怪了怎麼跟這個這個這個政府說的不太一樣呢
[00:01:05.380 --> 00:01:08.340]  好像跟這個世界所想的不太一樣呢
[00:01:08.340 --> 00:01:11.260]  世界好像並沒有明天會更好啊
[00:01:11.260 --> 00:01:13.420]  我們上個禮拜講到的信息裏面提到說
[00:01:13.420 --> 00:01:15.060]  第五位天使吹號的時候
[00:01:15.060 --> 00:01:16.620]  那個災難就開始了
[00:01:16.620 --> 00:01:20.640]  在這個之前那個音在在天空飛就發出警告
[00:01:20.640 --> 00:01:22.900]  他說獲災獲災獲災
[00:01:22.900 --> 00:01:25.740]  那個音發出這個警告
[00:01:25.740 --> 00:01:28.820]  意思就是說開前面這個前面吹
[00:01:28.820 --> 00:01:30.940]  第前面四號的時候呢
[00:01:30.940 --> 00:01:34.180]  那個災難是隻是傷害了大地
[00:01:34.180 --> 00:01:37.540]  這個日月星辰還有這個海水
[00:01:37.540 --> 00:01:39.940]  河水還有地都受到傷害
[00:01:39.940 --> 00:01:40.500]  對不對
[00:01:40.500 --> 00:01:43.300]  但是呢
[00:01:43.300 --> 00:01:46.380]  到了這個第五號開始的時候呢
[00:01:46.380 --> 00:01:50.420]  那個災難不僅僅是在傷害到這些的這個大地
[00:01:50.420 --> 00:01:51.980]  這些的環境
[00:01:51.980 --> 00:01:54.140]  這個災難開始傷害到人了
[00:01:54.140 --> 00:01:59.300]  所以上個禮拜我們提到信息講到說那個那個那個蝗蟲之災啊
[00:01:59.300 --> 00:02:02.500]  那個會熬人的那個蝗蟲不是一般的蝗蟲
[00:02:02.500 --> 00:02:06.780]  那個蝗蟲是一種一種靈界的啊
[00:02:06.780 --> 00:02:08.860]  這個啓示錄裏面講的這些東西啊
[00:02:08.860 --> 00:02:10.900]  你不需要花太多功夫去仔細研究
[00:02:10.900 --> 00:02:11.300]  哎呀
[00:02:11.300 --> 00:02:13.380]  這個世界上有這種蝗蟲嗎
[00:02:13.380 --> 00:02:15.980]  你他這一這個是象徵的一個東西啊
[00:02:15.980 --> 00:02:18.260]  約翰看見的是一些象徵的
[00:02:18.260 --> 00:02:21.980]  但是裏面很清楚讓我們看見從第五號開始
[00:02:21.980 --> 00:02:27.300]  那個的那個蝗蟲那個那個能力是從靈界來的
[00:02:27.300 --> 00:02:32.540]  那麼今天我們講到了第六號記得第六位天使吹號呢
[00:02:32.540 --> 00:02:36.980]  同樣的在這個地方提到另外一個更大的災難來臨
[00:02:36.980 --> 00:02:40.340]  前面的災難是傷人五個月對不對
