
[00:00:00.000 --> 00:00:03.000]  (音效)
[00:00:03.000 --> 00:00:06.000]  各位親愛的電影主媒平安好
[00:00:06.000 --> 00:00:08.000]  感謝神的恩典
[00:00:08.000 --> 00:00:10.000]  我們每天一起床
[00:00:10.000 --> 00:00:12.000]  其實就在打仗
[00:00:12.000 --> 00:00:14.000]  不單止這個世界在打仗
[00:00:14.000 --> 00:00:16.000]  每天我們都聽見
[00:00:16.000 --> 00:00:18.000]  哈馬斯和以色列的爭竭
[00:00:18.000 --> 00:00:20.000]  在亞洲
[00:00:20.000 --> 00:00:22.000]  又有北韓的緊張
[00:00:22.000 --> 00:00:24.000]  其實在南美洲
[00:00:24.000 --> 00:00:26.000]  有一些國家
[00:00:26.000 --> 00:00:28.000]  在非洲有一些國家
[00:00:28.000 --> 00:00:30.000]  很多民族與民族之間
[00:00:30.000 --> 00:00:32.000]  那種的鬥爭
[00:00:32.000 --> 00:00:34.000]  殘殺彼此的殺害
[00:00:34.000 --> 00:00:36.000]  其實不單止
[00:00:36.000 --> 00:00:38.000]  外面有爭竭
[00:00:38.000 --> 00:00:40.000]  我們自己都很多爭竭
[00:00:40.000 --> 00:00:42.000]  由你起身開始
[00:00:42.000 --> 00:00:44.000]  你要跟自己
[00:00:44.000 --> 00:00:46.000]  很多的脾氣
[00:00:46.000 --> 00:00:48.000]  自己很多的習慣
[00:00:48.000 --> 00:00:50.000]  自己很多
[00:00:50.000 --> 00:00:52.000]  壞的想法來爭竭
[00:00:52.000 --> 00:00:54.000]  特別人呢
[00:00:54.000 --> 00:00:56.000]  很多時候有很多的貪慾
[00:00:56.000 --> 00:00:58.000]  我挺喜歡吃東西的
[00:00:58.000 --> 00:01:00.000]  所以那天一起床
[00:01:00.000 --> 00:01:02.000]  就會想今天有什麼好吃呢
[00:01:02.000 --> 00:01:06.000]  下午要去哪裡吃東西好呢
[00:01:06.000 --> 00:01:08.000]  或者有人約了我吃東西
[00:01:08.000 --> 00:01:10.000]  哇 真的開心
[00:01:10.000 --> 00:01:12.000]  他請我吃大餐
[00:01:12.000 --> 00:01:14.000]  然後不單止自己與自己爭竭
[00:01:14.000 --> 00:01:16.000]  更加我們與家人爭竭
[00:01:16.000 --> 00:01:18.000]  你是不是每天
[00:01:18.000 --> 00:01:20.000]  都與家人吵架呢
[00:01:20.000 --> 00:01:22.000]  其實很多時候我與師母
[00:01:22.000 --> 00:01:24.000]  都有很多爭執的
[00:01:24.000 --> 00:01:26.000]  我會不服她
[00:01:26.000 --> 00:01:28.000]  她又會有時候
[00:01:28.000 --> 00:01:30.000]  針對著我
[00:01:30.000 --> 00:01:32.000]  所以裏面有很多
[00:01:32.000 --> 00:01:34.000]  這些的鬥爭
[00:01:34.000 --> 00:01:36.000]  其實不單止夫妻之間
[00:01:36.000 --> 00:01:38.000]  丈夫
[00:01:38.000 --> 00:01:40.000]  與兒女
[00:01:40.000 --> 00:01:42.000]  兒女與爸爸媽媽之間
[00:01:42.000 --> 00:01:44.000]  都有
[00:01:44.000 --> 00:01:46.000]  很多彼此的爭鬥
[00:01:46.000 --> 00:01:48.000]  不信服
[00:01:48.000 --> 00:01:50.000]  很多的兒女
[00:01:50.000 --> 00:01:52.000]  不聽父母的話
[00:01:52.000 --> 00:01:54.000]  都會罵我
[00:01:54.000 --> 00:01:56.000]  於是父母就很生氣
[00:01:56.000 --> 00:01:58.000]  當看到子女這樣的時候
[00:01:58.000 --> 00:02:00.000]  又會火上加油
[00:02:00.000 --> 00:02:02.000]  就發怒
[00:02:02.000 --> 00:02:04.000]  特別有時候
[00:02:04.000 --> 00:02:06.000]  我們真的與年長的父母
[00:02:06.000 --> 00:02:08.000]  有時候都會氣憤他們
[00:02:08.000 --> 00:02:10.000]  為什麼人會
[00:02:10.000 --> 00:02:12.000]  這麼多的爭竭呢
[00:02:12.000 --> 00:02:14.000]  更加當你回到公司
[00:02:14.000 --> 00:02:16.000]  不用問了
[00:02:16.000 --> 00:02:18.000]  你與同事之間
[00:02:18.000 --> 00:02:20.000]  有很多的爭竭
[00:02:20.000 --> 00:02:22.000]  有人說
[00:02:22.000 --> 00:02:24.000]  我最難防的是什麼
[00:02:24.000 --> 00:02:26.000]  就是那些背後
[00:02:26.000 --> 00:02:28.000]  射過來的箭
[00:02:28.000 --> 00:02:30.000]  在後面插傷你的
[00:02:30.000 --> 00:02:32.000]  真的你沒有
[00:02:32.000 --> 00:02:34.000]  辦法預防
[00:02:34.000 --> 00:02:36.000]  今天人與人之間
[00:02:36.000 --> 00:02:38.000]  充滿了各樣的鬥爭
