
[00:00:00.000 --> 00:00:02.000]  我們帶着一個祈禱的心
[00:00:02.000 --> 00:00:06.600]  求神的愛,臨在每一個地圖
[00:00:06.600 --> 00:00:12.000]  需要祂醫治、祂安慰、祂去前果的地方
[00:00:12.000 --> 00:00:14.400]  因爲有愛,帶給我們盼望
[00:00:14.400 --> 00:00:16.400]  帶給這個世界改變
[00:00:16.400 --> 00:00:18.000]  求主一念,臨在
[00:00:18.000 --> 00:00:20.000]  上一次,一月尾的時候
[00:00:20.000 --> 00:00:23.400]  我講第一篇道,講菲律賓書
[00:00:23.400 --> 00:00:26.000]  可能大家都不太記得
[00:00:26.000 --> 00:00:27.200]  菲律賓書第一章
[00:00:27.200 --> 00:00:29.600]  保羅就提醒菲律賓的教會
[00:00:29.600 --> 00:00:32.000]  他們要同心合意,興旺福音
[00:00:32.000 --> 00:00:36.200]  那次年宵,所以又很前提
[00:00:36.200 --> 00:00:37.400]  同心合意,興旺福音
[00:00:37.400 --> 00:00:39.600]  無論你在順境、逆境
[00:00:39.600 --> 00:00:40.400]  你都要傳
[00:00:40.400 --> 00:00:43.600]  就好像保羅在監獄裏面,他都要傳
[00:00:43.600 --> 00:00:46.000]  同時我們不單止用口去講
[00:00:46.000 --> 00:00:47.200]  用我們的生命
[00:00:47.200 --> 00:00:52.400]  我們要去見證福音的真實
[00:00:52.400 --> 00:00:53.600]  來到第二章
[00:00:53.600 --> 00:00:56.200]  保羅再一次提醒
[00:00:56.200 --> 00:00:59.200]  不單止是同心合意,興旺福音
[00:00:59.200 --> 00:01:02.200]  是要合一
[00:01:02.200 --> 00:01:03.800]  菲律賓教會要合一
[00:01:03.800 --> 00:01:05.800]  是因爲當時有很多紛爭
[00:01:05.800 --> 00:01:07.600]  很多結黨
[00:01:07.600 --> 00:01:11.800]  但是合一是一個很難學的功課
[00:01:11.800 --> 00:01:14.200]  這個詞語其實在這一章經文
[00:01:14.200 --> 00:01:16.400]  你找不到
[00:01:16.400 --> 00:01:19.000]  但是正正就是保羅要對教會
[00:01:19.000 --> 00:01:20.800]  一個的教導
[00:01:20.800 --> 00:01:24.600]  是盼望信徒在基督裏面合一
[00:01:24.600 --> 00:01:26.200]  首先我們先看這兩節
[00:01:26.200 --> 00:01:29.200]  我請大家幫我讀,預備起
[00:01:29.200 --> 00:01:51.200]  第二章一開始用了一個鎖語
[00:01:51.200 --> 00:01:54.200]  來連接第一章尾所講的東西
[00:01:54.200 --> 00:01:56.200]  剛纔我講的是他講什麼呢
[00:01:56.200 --> 00:02:00.200]  他說我們要去同心合意,興旺福音
[00:02:00.200 --> 00:02:03.600]  所以這個詞是帶出來上一節
[00:02:03.600 --> 00:02:05.000]  即是上一段經文
[00:02:05.000 --> 00:02:06.600]  譬如我說我最近
[00:02:06.600 --> 00:02:09.000]  我發覺我好像血壓有點問題
[00:02:09.000 --> 00:02:11.800]  所以我就買了一個血壓計
[00:02:11.800 --> 00:02:13.000]  當我量度的時候
[00:02:13.000 --> 00:02:14.800]  真的原來有點高
