
[00:00:00.000 --> 00:00:05.120]  大家好,生命樹宣教網絡又跟大家看聖經人士
[00:00:05.120 --> 00:00:10.240]  最重要是讀聖經看到背後認識上帝更多
[00:00:10.240 --> 00:00:12.040]  神在不懈地工作
[00:00:12.040 --> 00:00:14.440]  今天這個人物
[00:00:14.440 --> 00:00:17.760]  就是拿俄米做今天的主角
[00:00:17.760 --> 00:00:20.600]  因為他講了一些很重要的話
[00:00:20.600 --> 00:00:23.800]  拿俄米講了什麼呢?
[00:00:23.800 --> 00:00:25.800]  2.5號,拿俄米說
[00:00:25.800 --> 00:00:28.600]  「只管安坐等候」
[00:00:28.600 --> 00:00:31.200]  這六個字很寶貴
[00:00:31.200 --> 00:00:33.480]  「只管安坐等候」
[00:00:33.480 --> 00:00:34.800]  我鼓勵大家
[00:00:34.800 --> 00:00:37.160]  只管安坐等候
[00:00:37.160 --> 00:00:40.080]  等候誰?等候上帝的工作
[00:00:40.080 --> 00:00:42.320]  等候事情發生
[00:00:42.320 --> 00:00:44.320]  路德記第三章
[00:00:44.320 --> 00:00:49.320]  路德便從他腳下躺到天快亮
[00:00:49.320 --> 00:00:53.240]  人彼此不能辨認的時候就起來了
[00:00:53.240 --> 00:00:58.480]  波亞斯說:不可使人知道有女子到牆上來
[00:00:58.480 --> 00:01:00.480]  先解釋一下背景
[00:01:00.480 --> 00:01:02.720]  昨天大家還記得
[00:01:02.720 --> 00:01:03.800]  雖然只是昨天
[00:01:03.800 --> 00:01:05.200]  我都講解一點
[00:01:05.200 --> 00:01:12.680]  上文是路德去到聽他婆婆拿俄米講
[00:01:12.680 --> 00:01:14.680]  去到這個禾場
[00:01:14.680 --> 00:01:18.840]  就知道,看準了波亞斯睡在哪裡
[00:01:18.840 --> 00:01:23.520]  他在波亞斯睡著後
[00:01:23.520 --> 00:01:29.560]  就在他的腳皮上拿一點俄米來掩蓋自己
[00:01:29.560 --> 00:01:31.760]  然後就睡覺了
[00:01:31.760 --> 00:01:34.640]  半夜波亞斯驚醒
[00:01:34.640 --> 00:01:35.840]  什麼因素呢?
[00:01:35.840 --> 00:01:38.400]  可能波亞斯睡了一會
[00:01:38.400 --> 00:01:40.320]  可能睡了一會就縮起來了
[00:01:40.320 --> 00:01:41.520]  睡了一會就伸直
[00:01:41.520 --> 00:01:43.800]  「哎呀!怎麼突然有東西?」
[00:01:43.800 --> 00:01:45.120]  「好像有人」
[00:01:45.120 --> 00:01:47.120]  一下子驚醒
[00:01:47.120 --> 00:01:48.720]  「是誰?」
[00:01:48.720 --> 00:01:52.840]  路德說「是我,路德」
[00:01:52.840 --> 00:01:55.080]  「什麼事?」
[00:01:55.080 --> 00:01:59.920]  「求你用你的衣襟遮蔽我」
[00:01:59.920 --> 00:02:04.240]  「我是你的親屬,求你用你的衣襟遮蔽我」
[00:02:04.240 --> 00:02:06.240]  這句說話的意思是
[00:02:06.240 --> 00:02:13.920]  親屬要承接盡兄弟義務
[00:02:13.920 --> 00:02:18.440]  「求你用你的衣襟遮蔽我」
[00:02:18.440 --> 00:02:19.360]  即是說
[00:02:19.360 --> 00:02:24.320]  「你可不可以為我盡你親屬的責任」
