
[00:00:00.000 --> 00:00:02.000]  吉隆子妹,平安!
[00:00:02.000 --> 00:00:06.000]  很高興我們逐日可以大家一起在這裡敬拜祖。
[00:00:06.000 --> 00:00:09.000]  吉隆子妹,我們想到敬拜的時候,
[00:00:09.000 --> 00:00:16.000]  我不曉得你會不會想到大家唱首詩歌,
[00:00:16.000 --> 00:00:20.000]  在這邊禮拜天聚一聚。
[00:00:20.000 --> 00:00:26.000]  吉隆子妹,我盼望我們在這裡講啟示錄裡面,
[00:00:26.000 --> 00:00:28.000]  講到敬拜非常重要。
[00:00:28.000 --> 00:00:32.000]  你知道啟示錄裡面一共有七場的敬拜。
[00:00:32.000 --> 00:00:36.000]  你想想看,啟示錄裡面講到很多的事情,
[00:00:36.000 --> 00:00:40.000]  但是這個當中有七次的講到敬拜,
[00:00:40.000 --> 00:00:44.000]  可見這個是很重要的一件事情。
[00:00:44.000 --> 00:00:49.000]  在啟示錄的第七場的敬拜裡面,
[00:00:49.000 --> 00:00:52.000]  第一場的是在第四章,
[00:00:52.000 --> 00:00:55.000]  就是我們上禮拜講到的第四章,
[00:00:55.000 --> 00:00:58.000]  講到創造的上帝。
[00:00:58.000 --> 00:01:01.000]  第五章啟示錄的第二場敬拜,
[00:01:01.000 --> 00:01:05.000]  就是在敬拜這位救贖的羔羊。
[00:01:05.000 --> 00:01:11.000]  所以我們上禮拜講到誰配開那個書卷呢?
[00:01:11.000 --> 00:01:15.000]  那個書卷是關乎以後必成的事情,
[00:01:15.000 --> 00:01:20.000]  那個書卷關乎了將來整個世界人類的命運。
[00:01:20.000 --> 00:01:24.000]  這麼重要的一個書卷,誰可以打開它呢?
[00:01:24.000 --> 00:01:28.000]  誰可以去把這個奧祕解出來呢?
[00:01:28.000 --> 00:01:31.000]  當約翰知道說沒有人的時候,
[00:01:31.000 --> 00:01:33.000]  天上地上地底下都沒有人的時候,
[00:01:33.000 --> 00:01:37.000]  他就在神面前大哭啊!
[00:01:37.000 --> 00:01:39.000]  所以我們上禮拜講到說,
[00:01:39.000 --> 00:01:42.000]  約翰他真是關心神的國度,
[00:01:42.000 --> 00:01:44.000]  他發現這麼重要的一個書卷,
[00:01:44.000 --> 00:01:45.000]  竟然沒有人可以。
[00:01:45.000 --> 00:01:48.000]  但是長老當中有一位就告訴他說,
[00:01:48.000 --> 00:01:51.000]  他說不要哭,因為那尤大的獅子,
[00:01:51.000 --> 00:01:54.000]  大衛的根,他可以展開的書卷。
[00:01:54.000 --> 00:01:56.000]  哈雷路亞,弟兄姊妹,
[00:01:56.000 --> 00:01:59.000]  天上地下沒有一個人可以打開那個書卷,
[00:01:59.000 --> 00:02:01.000]  但是誰可以打開呢?
[00:02:01.000 --> 00:02:04.000]  耶穌基督可以打開。
[00:02:04.000 --> 00:02:06.000]  所以在那裡講到說,
[00:02:06.000 --> 00:02:08.000]  當他可以打開這個書卷的時候,
[00:02:08.000 --> 00:02:10.000]  今天我們就要講到,
[00:02:10.000 --> 00:02:14.000]  當他從這個坐寶座的拿到那個書卷,
[00:02:14.000 --> 00:02:18.000]  要打開那個書卷的時候,
[00:02:18.000 --> 00:02:21.000]  這時候發生什麼事情?
[00:02:21.000 --> 00:02:22.000]  這時候發生什麼事情?
[00:02:22.000 --> 00:02:23.000]  剛才我們讀了這一段聖經,
[00:02:23.000 --> 00:02:25.000]  我們大家來看一下,
[00:02:25.000 --> 00:02:28.000]  我們看一下第八節,
[00:02:28.000 --> 00:02:31.000]  第五章第八節,
[00:02:31.000 --> 00:02:32.000]  在這個地方,
[00:02:32.000 --> 00:02:37.000]  當他把這個書卷從坐寶座那邊拿過來的時候,
[00:02:37.000 --> 00:02:39.000]  要打開這個書卷,
[00:02:39.000 --> 00:02:42.000]  然後接著這裡就說,
[00:02:42.000 --> 00:02:45.000]  他們唱新歌。
[00:02:45.000 --> 00:02:48.000]  你來看,在這裡提到說,
[00:02:48.000 --> 00:02:49.000]  他拿了這個書卷,
[00:02:49.000 --> 00:02:51.000]  四活悟,
[00:02:51.000 --> 00:02:53.000]  還有二十四位長老,
[00:02:53.000 --> 00:03:02.000]  他們就在那個地方開始唱新歌。
[00:03:02.000 --> 00:03:05.000]  弟兄姊妹,
[00:03:05.000 --> 00:03:09.000]  他們在那邊唱新歌,
[00:03:09.000 --> 00:03:10.000]  你看到沒有,
[00:03:10.000 --> 00:03:14.000]  從那個悲傷開始轉為歡笑了。
[00:03:14.000 --> 00:03:16.000]  二十四位長老,
[00:03:16.000 --> 00:03:18.000]  還有這四個活悟,
[00:03:18.000 --> 00:03:19.000]  他們都在那個地方,
[00:03:19.000 --> 00:03:22.000]  在那個地方歡呼的,
[00:03:22.000 --> 00:03:23.000]  在那邊大聲的說什麼?
[00:03:23.000 --> 00:03:24.000]  他說,
[00:03:24.000 --> 00:03:26.000]  成被殺的羔羊,
[00:03:26.000 --> 00:03:28.000]  是配得權柄,
[00:03:28.000 --> 00:03:30.000]  豐富智慧,
[00:03:30.000 --> 00:03:31.000]  能力,
[00:03:31.000 --> 00:03:32.000]  尊貴,
[00:03:32.000 --> 00:03:33.000]  榮耀,
[00:03:33.000 --> 00:03:36.000]  頌讚的。
[00:03:36.000 --> 00:03:37.000]  我們今天沒有時間,
[00:03:37.000 --> 00:03:39.000]  其實這一段聖經非常豐富,
[00:03:39.000 --> 00:03:41.000]  我今天沒有時間仔細的講,
[00:03:41.000 --> 00:03:42.000]  單單這七個,
[00:03:42.000 --> 00:03:45.000]  每一個都可以講一篇信息了。
[00:03:45.000 --> 00:03:47.000]  因為我們平常就這樣念過去就算了,
[00:03:47.000 --> 00:03:49.000]  其實裡面有很豐富的涵義。
[00:03:49.000 --> 00:03:50.000]  弟兄姊妹,
[00:03:50.000 --> 00:03:52.000]  但是我今天要讓你看見一件事情,
[00:03:52.000 --> 00:03:54.000]  為什麼這些四活悟,
[00:03:54.000 --> 00:03:56.000]  還有二十四位長老,
[00:03:56.000 --> 00:03:57.000]  他們在那個地方,
[00:03:57.000 --> 00:03:59.000]  在那邊大聲的唱新歌的時候,
[00:03:59.000 --> 00:04:01.000]  唱出的內容是說,
[00:04:01.000 --> 00:04:03.000]  他是配得權柄,
[00:04:03.000 --> 00:04:04.000]  豐富智慧,
[00:04:04.000 --> 00:04:05.000]  能力,
[00:04:05.000 --> 00:04:05.000]  尊貴,
[00:04:05.000 --> 00:04:06.000]  榮耀的呢?
[00:04:06.000 --> 00:04:07.000]  這是在十一節,
[00:04:07.000 --> 00:04:09.000]  十二節裡面所提到的。
[00:04:09.000 --> 00:04:11.000]  一共講了七個,
[00:04:11.000 --> 00:04:13.000]  有七個特質,
[00:04:13.000 --> 00:04:15.000]  七代表完全,
[00:04:15.000 --> 00:04:17.000]  所以其實在這裡,
[00:04:17.000 --> 00:04:20.000]  沒有辦法把它完全的一個一個列出來,
[00:04:20.000 --> 00:04:23.000]  他只能用七項代表是一個完全,
[00:04:23.000 --> 00:04:25.000]  來表明這位高陽,
[00:04:25.000 --> 00:04:29.000]  他配得我們完全的稱頌和讚美。
[00:04:29.000 --> 00:04:37.000]  那麼這個高陽為什麼配得我們讚美?
[00:04:37.000 --> 00:04:39.000]  請你注意,
[00:04:39.000 --> 00:04:43.000]  他這裡提說那曾被殺的高陽,
[00:04:43.000 --> 00:04:46.000]  你很奇怪,
[00:04:46.000 --> 00:04:48.000]  也許我們今天信主已經比較久了,
