
[00:00:00.000 --> 00:00:02.000]  摩西生命中的女子
[00:00:02.000 --> 00:00:07.280]  本來是想說應該叫摩西生命中的女人
[00:00:07.280 --> 00:00:08.360]  不好聽
[00:00:08.360 --> 00:00:10.360]  女人好像是小三一樣
[00:00:10.360 --> 00:00:13.440]  但是是摩西生命中的女子
[00:00:13.440 --> 00:00:17.200]  這是影響她的一生
[00:00:17.200 --> 00:00:20.220]  我們每一個人的生命中
[00:00:20.220 --> 00:00:22.220]  都有
[00:00:22.220 --> 00:00:24.760]  那女人 婦女
[00:00:24.760 --> 00:00:26.760]  她影響你的一生 不是嗎
[00:00:28.600 --> 00:00:31.600]  所以我們要來稍微介紹一下
[00:00:31.600 --> 00:00:33.900]  這個故事的來龍去脈
[00:00:33.900 --> 00:00:36.740]  那麼 當然了
[00:00:36.740 --> 00:00:38.740]  要從
[00:00:38.740 --> 00:00:42.480]  以色列帶著全家七十個人下到埃及
[00:00:42.480 --> 00:00:43.980]  帶過去
[00:00:43.980 --> 00:00:45.980]  然後四百年後
[00:00:45.980 --> 00:00:48.180]  那個埃及新的王
[00:00:48.180 --> 00:00:49.680]  不認識他們了
[00:00:49.680 --> 00:00:51.140]  不知道他們了
[00:00:51.140 --> 00:00:53.140]  不知道約瑟了
[00:00:53.140 --> 00:00:55.140]  結果就苦帶他們
[00:00:55.140 --> 00:00:57.140]  然後就在這個時候
[00:00:57.140 --> 00:00:59.140]  以色列百姓
[00:00:59.140 --> 00:01:01.900]  就向神呼求 哀求 痛哭
[00:01:01.900 --> 00:01:03.900]  那麼神
[00:01:03.900 --> 00:01:05.900]  就讓摩西出生
[00:01:05.900 --> 00:01:08.900]  那摩西出生呢
[00:01:08.900 --> 00:01:10.900]  他一生有五個女子
[00:01:10.900 --> 00:01:13.560]  是他生命中最重要的
[00:01:13.560 --> 00:01:17.800]  那麼我們會一個一個來講
[00:01:17.800 --> 00:01:19.800]  各位認為
[00:01:19.800 --> 00:01:21.800]  當摩西生下來
[00:01:21.800 --> 00:01:23.800]  如果是他睜開眼看到第一位是誰啊
[00:01:25.800 --> 00:01:27.800]  各位覺得
[00:01:27.800 --> 00:01:31.800]  周生婆是對的
[00:01:31.800 --> 00:01:33.800]  沒錯
[00:01:33.800 --> 00:01:35.800]  好的
[00:01:35.800 --> 00:01:37.800]  讓我們來讀一段
[00:01:37.800 --> 00:01:39.800]  就是前言
[00:01:39.800 --> 00:01:41.800]  初埃及記一章一到七節
[00:01:41.800 --> 00:01:43.800]  來 請
[00:01:43.800 --> 00:01:45.800]  以色列的眾子
[00:01:45.800 --> 00:01:47.800]  各帶家眷和雅各
[00:01:47.800 --> 00:01:49.800]  一同來到埃及
[00:01:49.800 --> 00:01:51.800]  他們共有七十人
[00:01:51.800 --> 00:01:54.800]  約瑟已經在埃及
[00:01:54.800 --> 00:01:56.800]  約瑟和他的弟兄
[00:01:56.800 --> 00:01:58.800]  並那一帶的人
[00:01:58.800 --> 00:02:00.800]  都死了
[00:02:00.800 --> 00:02:02.800]  以色列人生養眾多
[00:02:02.800 --> 00:02:04.800]  並且繁茂
[00:02:04.800 --> 00:02:06.800]  極其強盛
[00:02:06.800 --> 00:02:08.800]  滿了那地
[00:02:08.800 --> 00:02:10.800]  看到沒有
[00:02:10.800 --> 00:02:12.800]  神的子民生養眾多
[00:02:12.800 --> 00:02:14.800]  極其繁茂
[00:02:14.800 --> 00:02:16.800]  而且是強盛
[00:02:16.800 --> 00:02:18.800]  滿了那地
[00:02:18.800 --> 00:02:20.800]  這就是經上說的
[00:02:20.800 --> 00:02:22.800]  那神賜福的人
[00:02:22.800 --> 00:02:24.800]  好像箭袋裡面滿了箭一樣
[00:02:24.800 --> 00:02:26.800]  以色列人也是一樣
[00:02:26.800 --> 00:02:28.800]  各位
[00:02:28.800 --> 00:02:30.800]  你要注意到
[00:02:30.800 --> 00:02:32.800]  在一向
[00:02:32.800 --> 00:02:34.800]  一向來
[00:02:34.800 --> 00:02:36.800]  當這個國家這個民族
[00:02:36.800 --> 00:02:38.800]  當他年輕人多
[00:02:38.800 --> 00:02:40.800]  壯丁多的時候
[00:02:40.800 --> 00:02:42.800]  那麼他們要強盛起來
[00:02:42.800 --> 00:02:44.800]  當這個國家這個民族
[00:02:44.800 --> 00:02:46.800]  開始老化的時候
[00:02:46.800 --> 00:02:48.800]  都是老先生老太太的時候
[00:02:48.800 --> 00:02:50.800]  這國家就要開始衰弱
[00:02:50.800 --> 00:02:52.800]  像埃及
[00:02:52.800 --> 00:02:54.800]  他那個王朝那個時候
[00:02:54.800 --> 00:02:56.800]  他們
[00:02:56.800 --> 00:02:58.800]  不太流行生育
[00:02:58.800 --> 00:03:00.800]  甚至於他們
[00:03:00.800 --> 00:03:02.800]  那個身體有許多的拘束
[00:03:02.800 --> 00:03:04.800]  或者是
[00:03:04.800 --> 00:03:06.800]  都不怎麼會生
[00:03:06.800 --> 00:03:08.800]  但是
[00:03:08.800 --> 00:03:10.800]  不管怎麼樣
[00:03:10.800 --> 00:03:12.800]  他們在四百年之後呢
[00:03:12.800 --> 00:03:14.800]  以色列人已經好幾百萬
[00:03:14.800 --> 00:03:16.800]  七十個人
[00:03:16.800 --> 00:03:18.800]  變到好幾百萬
[00:03:18.800 --> 00:03:20.800]  變到好幾百萬
[00:03:20.800 --> 00:03:22.800]  有沒有可能
[00:03:22.800 --> 00:03:24.800]  有可能
[00:03:24.800 --> 00:03:26.800]  我算給你聽
[00:03:26.800 --> 00:03:28.800]  一代
[00:03:28.800 --> 00:03:30.800]  是一個generation
[00:03:30.800 --> 00:03:32.800]  是三十年
[00:03:32.800 --> 00:03:34.800]  基本上人口就要加倍
[00:03:34.800 --> 00:03:36.800]  譬如說
[00:03:36.800 --> 00:03:38.800]  夫妻兩個生兩個小孩
[00:03:38.800 --> 00:03:40.800]  那以前的人生更多
[00:03:40.800 --> 00:03:42.800]  那不管怎麼樣
[00:03:42.800 --> 00:03:44.800]  就算說一直這樣的加倍加倍
[00:03:44.800 --> 00:03:46.800]  四百年
[00:03:46.800 --> 00:03:48.800]  也就是有多少
[00:03:48.800 --> 00:03:50.800]  一百三十個generation
[00:03:50.800 --> 00:03:52.800]  十三個generation
[00:03:52.800 --> 00:03:54.800]  也就是二的十三次方
[00:03:54.800 --> 00:03:56.800]  對不對
[00:03:56.800 --> 00:03:58.800]  不是七十的十三次方
[00:03:58.800 --> 00:04:00.800]  你想是多少人
[00:04:00.800 --> 00:04:02.800]  有沒有好幾百萬
[00:04:02.800 --> 00:04:04.800]  當然我們還要扣掉死的人
[00:04:04.800 --> 00:04:06.800]  二的十三次方
[00:04:06.800 --> 00:04:08.800]  二四八十六三十二
[00:04:08.800 --> 00:04:10.800]  六十四一百二十八
[00:04:10.800 --> 00:04:12.800]  兩百五十六
[00:04:12.800 --> 00:04:14.800]  這是他的八次方
[00:04:14.800 --> 00:04:16.800]  一二四二零四八
[00:04:16.800 --> 00:04:18.800]  這是他的十次方
[00:04:18.800 --> 00:04:20.800]  所以光是二的話
[00:04:20.800 --> 00:04:22.800]  就已經有
[00:04:22.800 --> 00:04:24.800]  四零九六
[00:04:24.800 --> 00:04:26.800]  就已經有五千多個人了
[00:04:26.800 --> 00:04:28.800]  光是兩個人
[00:04:28.800 --> 00:04:30.800]  那更何況七十個人
[00:04:30.800 --> 00:04:32.800]  更何況他們是一個人生好幾個
[00:04:32.800 --> 00:04:34.800]  那不管怎麼樣
[00:04:34.800 --> 00:04:36.800]  四百年後他們
