
[00:00:00.000 --> 00:00:05.000]  大家好 今天我們一起在主日崇拜的時候
[00:00:05.000 --> 00:00:08.240]  思想到一個題目也是非常有趣
[00:00:08.240 --> 00:00:11.040]  也非常關切我們生活的
[00:00:11.040 --> 00:00:13.520]  就是基督徒的自由的問題
[00:00:13.520 --> 00:00:16.960]  而事實上在我們做基督徒的時候
[00:00:16.960 --> 00:00:19.800]  有些是很清楚是黑與白的
[00:00:19.800 --> 00:00:21.000]  我們當然知道
[00:00:21.000 --> 00:00:23.840]  但事實上也有很多灰色地帶的問題
[00:00:23.840 --> 00:00:26.000]  我們今天思想這一段經文
[00:00:26.000 --> 00:00:27.920]  就是帶我們去思想
[00:00:27.920 --> 00:00:30.280]  究竟我們在灰色地帶的問題的時候
[00:00:30.280 --> 00:00:31.760]  我們要怎樣做抉擇呢?
[00:00:31.760 --> 00:00:37.120]  我們開始之前首先做一個低頭的禱告
[00:00:37.120 --> 00:00:38.200]  天父我們感謝祢
[00:00:38.200 --> 00:00:39.880]  因為祢愛我們
[00:00:39.880 --> 00:00:42.680]  祢不僅給聖經成為我們的指引
[00:00:42.680 --> 00:00:45.360]  祢也將聖靈賜給我們
[00:00:45.360 --> 00:00:48.520]  讓我們在世上行事為人的時候
[00:00:48.520 --> 00:00:50.840]  我們有祢自己的引導
[00:00:50.840 --> 00:00:52.400]  可以做合宜的事情
[00:00:52.400 --> 00:00:53.560]  蒙祢的月立
[00:00:53.560 --> 00:00:55.360]  不至做一個糊塗人
[00:00:55.360 --> 00:00:57.160]  願祢幫助帶領我們
[00:00:57.160 --> 00:00:59.160]  我們這樣祷告奉耶穌基督甘願祈求
[00:00:59.160 --> 00:01:00.160]  阿們
[00:01:00.160 --> 00:01:04.800]  當我們做了基督徒的時候
[00:01:04.800 --> 00:01:06.320]  事實上有很多的事情
[00:01:06.320 --> 00:01:08.000]  其實就不只是黑與白
[00:01:08.000 --> 00:01:09.440]  黑與白的意思就是說
[00:01:09.440 --> 00:01:10.920]  有很多的事情
[00:01:10.920 --> 00:01:15.240]  我們在聖經當中很清楚地說的
[00:01:15.240 --> 00:01:17.320]  我們就稱為黑與白
[00:01:17.320 --> 00:01:19.240]  就是聖經清楚地說
[00:01:19.240 --> 00:01:20.560]  譬如不可姦淫
[00:01:20.560 --> 00:01:21.160]  不可偷渡
[00:01:21.160 --> 00:01:21.880]  不可殺人
[00:01:21.880 --> 00:01:25.760]  這些是沒有討論的空間的
[00:01:25.760 --> 00:01:28.800]  黑與白是非常清楚的
[00:01:28.800 --> 00:01:32.280]  我們知道什麼是應該做
[00:01:32.280 --> 00:01:33.280]  什麼是不應該做
