
[00:00:00.000 --> 00:00:02.000]  我記得我小時候
[00:00:02.000 --> 00:00:06.000]  爸爸媽媽帶我第一次去銀行
[00:00:06.000 --> 00:00:07.000]  開一個戶口
[00:00:07.000 --> 00:00:09.000]  你們有沒有記得這件事
[00:00:09.000 --> 00:00:11.000]  第一次開銀行戶口
[00:00:11.000 --> 00:00:18.000]  以前小時候在香港還有銀行寶
[00:00:18.000 --> 00:00:19.000]  現在沒有銀行寶了
[00:00:19.000 --> 00:00:21.000]  有沒有哪個銀行現在還有銀行寶
[00:00:21.000 --> 00:00:23.000]  好像沒有了
[00:00:23.000 --> 00:00:24.000]  有沒有啊
[00:00:24.000 --> 00:00:26.000]  有沒有中國的銀行還有銀行寶
[00:00:26.000 --> 00:00:28.000]  這個我不太知道
[00:00:28.000 --> 00:00:29.000]  好像沒有了
[00:00:29.000 --> 00:00:31.000]  有時候去到打張紙給你
[00:00:31.000 --> 00:00:33.000]  現在很多都在網上
[00:00:33.000 --> 00:00:36.000]  我也不知道多久沒去過銀行了
[00:00:36.000 --> 00:00:38.000]  但是小時候開銀行
[00:00:38.000 --> 00:00:40.000]  一個全接銀行寶
[00:00:40.000 --> 00:00:41.000]  還有一樣東西很有趣
[00:00:41.000 --> 00:00:42.000]  因爲是小錢
[00:00:42.000 --> 00:00:44.000]  所以他怎麼樣
[00:00:44.000 --> 00:00:48.000]  他就送一個豬仔錢罐給你
[00:00:48.000 --> 00:00:51.000]  那爲什麼豬仔錢罐
[00:00:51.000 --> 00:00:54.000]  就是提醒你儲蓄
[00:00:54.000 --> 00:00:56.000]  儲完錢又怎麼樣
[00:00:56.000 --> 00:00:58.000]  就拿去銀行打保
[00:00:58.000 --> 00:01:00.000]  可以存進去
[00:01:00.000 --> 00:01:02.000]  那時候很開心
[00:01:02.000 --> 00:01:05.000]  特別有些卡通人物
[00:01:05.000 --> 00:01:07.000]  那些豬仔錢罐
[00:01:07.000 --> 00:01:10.000]  迪士尼 米奇老鼠
