
[00:00:00.000 --> 00:00:03.000]  請我們低頭我們一起祈禱
[00:00:03.000 --> 00:00:05.000]  親愛的天父求你原諒我們
[00:00:05.000 --> 00:00:07.000]  我們真的很笨拙
[00:00:07.000 --> 00:00:09.000]  我們聽你的話聽了很多次
[00:00:09.000 --> 00:00:11.000]  但是我們還不明白
[00:00:11.000 --> 00:00:13.000]  我們沒有get it
[00:00:13.000 --> 00:00:15.000]  我們沒有得着你的感動
[00:00:15.000 --> 00:00:18.000]  求聖靈在我們教會當中工作
[00:00:18.000 --> 00:00:20.000]  讓今年得人年
[00:00:20.000 --> 00:00:24.000]  我們真的每一個人都去得人
[00:00:24.000 --> 00:00:27.000]  不是等人家去傳福音
[00:00:27.000 --> 00:00:29.000]  是我們自己要去傳福音
[00:00:29.000 --> 00:00:32.000]  我們還有那麼多親戚朋友
[00:00:32.000 --> 00:00:34.000]  家人都沒信主
[00:00:34.000 --> 00:00:36.000]  誰帶他們信主
[00:00:36.000 --> 00:00:41.000]  求你讓我們都成爲熱愛你的門徒
[00:00:41.000 --> 00:00:44.000]  讀你的話緊緊跟隨
[00:00:44.000 --> 00:00:47.000]  求你又拉我們出去
[00:00:47.000 --> 00:00:50.000]  就在我們的職場爲你作見證
[00:00:50.000 --> 00:00:52.000]  如果我們在職場見證
[00:00:52.000 --> 00:00:54.000]  誰來見證
[00:00:54.000 --> 00:00:58.000]  如果我們在職場爲你去建立
[00:00:58.000 --> 00:01:01.000]  傳揚你的名誰去傳揚
[00:01:01.000 --> 00:01:03.000]  要求你讓我們有感動
[00:01:03.000 --> 00:01:05.000]  我們願意回內地
[00:01:05.000 --> 00:01:06.000]  去到東南亞
[00:01:06.000 --> 00:01:10.000]  去到更遠的地方去宣教
[00:01:10.000 --> 00:01:13.000]  以至福音能夠傳遍天下
[00:01:13.000 --> 00:01:15.000]  然後主耶穌就回來
[00:01:15.000 --> 00:01:17.000]  求你憐憫我們
[00:01:17.000 --> 00:01:19.000]  憐憫我們這一間教會
[00:01:19.000 --> 00:01:22.000]  求聖靈在我們當中工作
[00:01:22.000 --> 00:01:24.000]  奉耶穌基督的名祈禱
[00:01:24.000 --> 00:01:26.000]  阿們
[00:01:26.000 --> 00:01:29.000]  今天我講到的題目很多人害怕
[00:01:29.000 --> 00:01:32.000]  因爲你的三圍是多少
[00:01:32.000 --> 00:01:34.000]  曾經有同工勸我
[00:01:34.000 --> 00:01:36.000]  他說你不如改個第二個名
[00:01:36.000 --> 00:01:38.000]  因爲這個題目
[00:01:38.000 --> 00:01:41.000]  對一些女性有少少冒犯
[00:01:41.000 --> 00:01:43.000]  所以如果我冒犯了你
[00:01:43.000 --> 00:01:45.000]  請你先原諒我
[00:01:45.000 --> 00:01:48.000]  這個題目在十二月初
[00:01:48.000 --> 00:01:52.000]  我是在雲南昆明一間很大的教會
[00:01:52.000 --> 00:01:55.000]  叫做雲南三一國際禮拜堂
[00:01:55.000 --> 00:01:57.000]  已經講過一次
[00:01:57.000 --> 00:01:59.000]  我做過一些功夫
[00:01:59.000 --> 00:02:01.000]  當然問當地的牧師
[00:02:01.000 --> 00:02:04.000]  甚至我問雲南聖經學院的院長
[00:02:04.000 --> 00:02:06.000]  我講這條題目
[00:02:06.000 --> 00:02:08.000]  特別在國內行不行
[00:02:08.000 --> 00:02:10.000]  我得到的答案
[00:02:10.000 --> 00:02:12.000]  竟然全部都說開綠燈
[00:02:12.000 --> 00:02:13.000]  你可以講
[00:02:13.000 --> 00:02:16.000]  我這條題目在昆明講還激點
[00:02:16.000 --> 00:02:20.000]  請問你的三圍是多少
[00:02:20.000 --> 00:02:22.000]  後面一個問號
[00:02:22.000 --> 00:02:25.000]  我今天已經很客氣
[00:02:25.000 --> 00:02:27.000]  保守一點
[00:02:27.000 --> 00:02:30.000]  三圍是確實的
[00:02:30.000 --> 00:02:32.000]  所以這個是一個
[00:02:32.000 --> 00:02:34.000]  很奇怪
[00:02:34.000 --> 00:02:36.000]  又不敢開口的問題
