
[00:00:00.000 --> 00:00:02.860]  各位來賓 主禮和弟兄姊妹平安
[00:00:02.860 --> 00:00:07.120]  很高興今天繼續可以在這個主日的清晨
[00:00:07.120 --> 00:00:09.720]  可以繼續和大家分享神的話語
[00:00:09.720 --> 00:00:13.240]  我們今天 剛才大家所讀的經文
[00:00:13.240 --> 00:00:18.240]  就看到是《撒慕爾記》上的十六章
[00:00:18.240 --> 00:00:20.200]  一至三節
[00:00:20.200 --> 00:00:22.000]  我看回剛才所讀的經文
[00:00:22.000 --> 00:00:26.160]  當中有些兒童只會看英文 沒辦法
[00:00:26.160 --> 00:00:33.080]  所以我用英文可以有句子在下面給他們看
[00:00:33.080 --> 00:00:35.280]  我們看到十六章的時候
[00:00:35.280 --> 00:00:36.980]  我們過去那十四個禮拜
[00:00:36.980 --> 00:00:40.440]  我們一直看《撒慕爾記》
[00:00:40.440 --> 00:00:43.620]  《撒慕爾記》上來到十六章的時候
[00:00:43.620 --> 00:00:45.320]  是一個很特別的時候
[00:00:45.320 --> 00:00:46.880]  就大衛出現了
[00:00:46.880 --> 00:00:54.000]  大衛這個很出名的以色列的軍王
[00:00:54.000 --> 00:00:59.400]  我們看到這個蘇羅轉接到猶大的時候
[00:00:59.400 --> 00:01:01.280]  今天我們就看到
[00:01:01.280 --> 00:01:06.020]  原來這個軍王就是撒慕爾在找他
[00:01:06.020 --> 00:01:07.040]  找這個軍王
[00:01:07.040 --> 00:01:09.420]  我們一直都在看一個主題
[00:01:09.420 --> 00:01:13.160]  究竟我們是什麼一個合神心意的僕人
[00:01:13.160 --> 00:01:19.200]  我們這次 剛剛這個禮拜一就是情人節
[00:01:19.200 --> 00:01:24.460]  大家都有機會去看到很多
[00:01:24.460 --> 00:01:27.360]  去到超級市場或者去到摩的時侯
[00:01:27.360 --> 00:01:29.760]  都很多情人節的佈置
[00:01:29.760 --> 00:01:35.300]  包括我們就看到原來神在他揀選的當中
[00:01:35.300 --> 00:01:38.100]  在《史獨行傳》都有揀選
[00:01:38.100 --> 00:01:42.520]  揀選了他合他心意的一個僕人
[00:01:42.520 --> 00:01:50.160]  在《史獨行傳》保羅講述以色列的僕人的歷史
[00:01:50.160 --> 00:01:54.460]  就提到說神是廢了蘇羅
[00:01:54.460 --> 00:01:56.780]  納了大衛做他的王
[00:01:56.780 --> 00:01:58.720]  又為他作見證說
[00:01:58.720 --> 00:02:03.720]  我找到耶西的兒子大衛
[00:02:03.720 --> 00:02:08.000]  他是合我心意的人
[00:02:08.000 --> 00:02:12.180]  因為凡事他都遵行我的話
[00:02:12.180 --> 00:02:14.780]  這個合神心意是很特別的
[00:02:14.780 --> 00:02:24.320]  我們去摩的商場看到很多巧克力
[00:02:24.320 --> 00:02:28.200]  這些巧克力看起來有很多不同的款式
[00:02:28.200 --> 00:02:30.860]  有時候我揀選巧克力時
[00:02:30.860 --> 00:02:35.660]  我就在猜猜裡面是什麼餡
[00:02:35.660 --> 00:02:41.080]  你真的不知道有時候有些盒子介紹有什麼味道
[00:02:41.080 --> 00:02:43.220]  但有時候看到有這麼多不同的款式
[00:02:43.220 --> 00:02:47.860]  你就開始想裡面的巧克力餡是什麼呢?
[00:02:47.860 --> 00:02:50.480]  我們每個人有不同的喜好
[00:02:50.480 --> 00:02:55.320]  但我們的主耶穌、我們的神都有他的所揀選的
[00:02:55.320 --> 00:02:57.260]  他的味道是什麼呢?
[00:02:57.260 --> 00:02:58.960]  我們今個星期五
[00:02:58.960 --> 00:03:02.200]  我們青年團體、學生團體在做巧克力
[00:03:02.200 --> 00:03:05.160]  在放餡料在巧克力上
[00:03:05.160 --> 00:03:06.760]  我們在預備巧克力來吃
[00:03:06.760 --> 00:03:12.240]  那些巧克力裡面的餡是什麼樣的餡是合神心意呢?
[00:03:12.240 --> 00:03:15.040]  我們今天就去看這個主題
[00:03:15.040 --> 00:03:20.340]  我們在開始之前有個示範給大家看
[00:03:20.340 --> 00:03:22.340]  我不知道大家喜不喜歡喝茶
[00:03:22.340 --> 00:03:25.220]  有很多不同款式的茶包
[00:03:25.220 --> 00:03:26.920]  你拆開之後
[00:03:26.920 --> 00:03:29.320]  我拆開其中一款
[00:03:29.320 --> 00:03:32.320]  這個是Jasmine Green Tea
[00:03:32.320 --> 00:03:33.460]  拆開看看
[00:03:33.460 --> 00:03:35.500]  差點弄壞
[00:03:35.500 --> 00:03:37.100]  這個茶包
[00:03:37.100 --> 00:03:39.660]  如果你拆了包裝
[00:03:39.660 --> 00:03:43.260]  每個茶包都差不多的樣子
[00:03:43.260 --> 00:03:47.200]  但是裡面裝著什麼餡料呢?
[00:03:47.200 --> 00:03:50.200]  很多時候我們遇到一些困難的時候
[00:03:50.200 --> 00:03:53.880]  遇到一些好像我們生命上的挫折
[00:03:53.880 --> 00:03:55.940]  無論職場上
[00:03:55.940 --> 00:03:59.020]  找工作、老闆很壞
[00:03:59.020 --> 00:04:01.580]  好像熱水一樣滾我們
[00:04:01.580 --> 00:04:02.920]  煎熬我們
[00:04:02.920 --> 00:04:05.060]  我們在這個環境當中
[00:04:05.060 --> 00:04:07.420]  我們怎樣去生存呢?
[00:04:07.420 --> 00:04:09.460]  你就浸泡一下
[00:04:09.460 --> 00:04:11.300]  我們的餡料就會出來
[00:04:11.300 --> 00:04:12.560]  浸泡一下
[00:04:12.560 --> 00:04:13.460]  味道呢?
[00:04:13.460 --> 00:04:17.840]  究竟我們內心的味道
[00:04:17.840 --> 00:04:20.300]  就在這個環境煎熬之下
[00:04:20.300 --> 00:04:23.440]  無論是家庭裡面的子女或者家人
[00:04:23.440 --> 00:04:27.080]  患了絕症、患了癌症或者怎樣也好
[00:04:27.080 --> 00:04:28.240]  很多時候的困難
[00:04:28.240 --> 00:04:30.440]  給我們很多壓力
[00:04:30.440 --> 00:04:31.680]  很多困難的時候
[00:04:31.680 --> 00:04:33.460]  我們各樣的重擔的時候
[00:04:33.460 --> 00:04:35.620]  那些我們內心上面的
[00:04:35.620 --> 00:04:37.360]  究竟的味道
[00:04:37.360 --> 00:04:39.460]  是怎樣在這個環境之下
[00:04:39.460 --> 00:04:43.500]  我們就會鮮明出來
[00:04:43.500 --> 00:04:44.600]  遮都遮不了
[00:04:44.600 --> 00:04:46.200]  我們內心的境況
[00:04:46.200 --> 00:04:47.500]  在這些情況下鮮明出來
[00:04:47.500 --> 00:04:49.740]  究竟是神
[00:04:49.740 --> 00:04:53.480]  我們在揀選祂的僕人的時候
[00:04:53.480 --> 00:05:00.220]  祂是有什麼的性質在當中呢?
[00:05:00.220 --> 00:05:02.380]  這班合神心意的僕人
[00:05:02.380 --> 00:05:06.360]  大衛祂的內心世界
[00:05:06.360 --> 00:05:08.520]  和素羅的內心世界
[00:05:08.520 --> 00:05:10.160]  是有什麼分別?
[00:05:10.160 --> 00:05:13.860]  為什麼神會喜悅大衛
[00:05:13.860 --> 00:05:15.960]  會繼續給他延續那個王位
[00:05:15.960 --> 00:05:19.040]  但是就廢掉素羅呢?
[00:05:19.040 --> 00:05:21.880]  我們就今天從第十六章
[00:05:21.880 --> 00:05:23.800]  我們繼續開始看
[00:05:23.800 --> 00:05:27.720]  這個是撒慕爾記上的一個轉折點
[00:05:27.720 --> 00:05:30.980]  素羅、大衛的比較
[00:05:30.980 --> 00:05:33.820]  其實之後的十六章打下去
[00:05:33.820 --> 00:05:37.360]  就算是去和哥利亞比賽的時候
[00:05:37.360 --> 00:05:39.360]  競技的時候
[00:05:39.360 --> 00:05:40.560]  打仗的時候
[00:05:40.560 --> 00:05:44.860]  都是在對比著素羅和大衛
[00:05:44.860 --> 00:05:46.800]  他們的這個分別
[00:05:46.800 --> 00:05:48.400]  他們的內心世界
[00:05:48.400 --> 00:05:51.340]  他們的心意的特質
[00:05:51.340 --> 00:05:53.040]  究竟是有什麼分別?
[00:05:53.040 --> 00:05:57.400]  為什麼神會喜歡大衛
[00:05:57.400 --> 00:05:59.880]  我們一起低頭祈禱
[00:05:59.880 --> 00:06:02.320]  我們的天父上帝我們感謝祢
[00:06:02.320 --> 00:06:04.480]  我們感謝祢赐下聖經
[00:06:04.480 --> 00:06:06.180]  祢寶貴的話語
[00:06:06.180 --> 00:06:07.740]  好使我們能夠繼續去
[00:06:07.740 --> 00:06:09.360]  謹心去認識神
[00:06:09.360 --> 00:06:11.480]  求聖靈幫助我們
[00:06:11.480 --> 00:06:13.620]  使我們能夠清楚看到
[00:06:13.620 --> 00:06:15.460]  祢給我們所提出的
