
[00:00:00.000 --> 00:00:04.000]  第二次世界大戰可說是人類歷史以來
[00:00:04.000 --> 00:00:08.000]  一場死傷人數最多的戰爭
[00:00:08.000 --> 00:00:12.000]  接近六千萬人死亡
[00:00:12.000 --> 00:00:16.000]  受傷的人也有一億三千萬
[00:00:16.000 --> 00:00:21.000]  加起來死傷人數是一億九千萬
[00:00:21.000 --> 00:00:25.000]  在這場殘酷的戰爭中
[00:00:25.000 --> 00:00:29.000]  仍然有溫馨的場面
[00:00:29.000 --> 00:00:33.000]  在1944年的聖誕夜
[00:00:33.000 --> 00:00:38.000]  在德國一個森林裡有幾個士兵
[00:00:38.000 --> 00:00:42.000]  其中一個敲一道木屋的門
[00:00:42.000 --> 00:00:46.000]  開門的是一個女人
[00:00:46.000 --> 00:00:50.000]  女人一開門就看到三個美國士兵
[00:00:50.000 --> 00:00:55.000]  其中一個還滿身鮮血躺在地上
[00:00:55.000 --> 00:01:00.000]  原來他們和自己的部隊失散了
[00:01:00.000 --> 00:01:04.000]  他們在森林裡已經被困三天
[00:01:04.000 --> 00:01:08.000]  走投無路 飢寒交迫 所以要找人幫忙
[00:01:08.000 --> 00:01:11.000]  雖然言語不通 但女人很清楚
[00:01:11.000 --> 00:01:14.000]  這些士兵需要的是什麼
[00:01:14.000 --> 00:01:16.000]  她也不計較對方是敵人
[00:01:16.000 --> 00:01:20.000]  就接待他們進自己的屋裡給他們食物
[00:01:20.000 --> 00:01:24.000]  沒多久又有人敲門
[00:01:24.000 --> 00:01:28.000]  這次是四個德軍
[00:01:28.000 --> 00:01:33.000]  於是他們很害怕 兒子怕得渾身發抖
[00:01:33.000 --> 00:01:37.000]  女人雖然害怕 但仍然固作鎮定地打開門
[00:01:37.000 --> 00:01:40.000]  還說了一聲「聖誕快樂」
[00:01:40.000 --> 00:01:43.000]  其中一個德軍說
[00:01:43.000 --> 00:01:47.000]  「我們和自己的部隊失散了」
[00:01:47.000 --> 00:01:51.000]  「請問你可不可以讓我們進來休息一下」
[00:01:51.000 --> 00:01:54.000]  女人說「當然可以」
[00:01:54.000 --> 00:01:57.000]  「歡迎你進來和我們一起慶祝聖誕」
[00:01:57.000 --> 00:02:01.000]  「不過在我這裡已經有三位客人」
[00:02:01.000 --> 00:02:04.000]  「可能你不會當他們是朋友」
[00:02:04.000 --> 00:02:08.000]  「不過今晚是聖誕夜」
[00:02:08.000 --> 00:02:13.000]  「請你們無論如何都不可以在這裡開槍」
[00:02:13.000 --> 00:02:22.000]  德軍馬上意識到裡面的應該是美國的士兵
[00:02:22.000 --> 00:02:27.000]  這個女人很義正詞嚴地說
[00:02:27.000 --> 00:02:33.000]  「你們幾位和裡面幾位今晚都要做我的兒子」
[00:02:33.000 --> 00:02:36.000]  「我們一起來慶祝聖誕」
[00:02:36.000 --> 00:02:40.000]  「讓我們一起來忘記這場戰爭」
[00:02:40.000 --> 00:02:48.000]  「我們在這裡請你們把手上的槍放在地上」
[00:02:48.000 --> 00:02:52.000]  「然後進來準備開槍」
[00:02:52.000 --> 00:03:00.000]  那四個德軍嚇得呆了
[00:03:00.000 --> 00:03:05.000]  但都很聽話地把手上的槍放在地上
[00:03:05.000 --> 00:03:11.000]  那些美兵也照樣跟著做
[00:03:11.000 --> 00:03:15.000]  在晚上在那間小小的房子裡
[00:03:15.000 --> 00:03:22.000]  有三個美兵和四個德軍聚在一起
[00:03:22.000 --> 00:03:25.000]  氣氛相當尷尬
[00:03:25.000 --> 00:03:34.000]  直至其中一位德軍開始檢查受傷美兵的傷勢
[00:03:34.000 --> 00:03:38.000]  氣氛才緩和下來
[00:03:38.000 --> 00:03:42.000]  這一刻他們彷彿是一家人
[00:03:42.000 --> 00:03:48.000]  第二天早上他們各自朝著相反的方向
[00:03:48.000 --> 00:03:51.000]  走回自己的陣營裡
[00:03:51.000 --> 00:03:54.000]  這件事讓我們看到
[00:03:54.000 --> 00:03:58.000]  在一場這麼慘惡的戰爭裡
[00:03:58.000 --> 00:04:02.000]  即使自己都是打仗的士兵
[00:04:02.000 --> 00:04:05.000]  其實他們都是渴望和平的
[00:04:05.000 --> 00:04:11.000]  特別是在聖誕這個象徵著和平的日子
[00:04:11.000 --> 00:04:15.000]  不過2000年前第一個的聖誕
[00:04:15.000 --> 00:04:18.000]  是不是真的這麼和平呢?
[00:04:18.000 --> 00:04:22.000]  雖然我們世人都是渴求聖誕會帶來和平
[00:04:22.000 --> 00:04:24.000]  或者是普世歡騰
[00:04:24.000 --> 00:04:25.000]  好像詩歌一樣
[00:04:25.000 --> 00:04:27.000]  但其實2000年前的聖誕夜
[00:04:27.000 --> 00:04:29.000]  第一個的聖誕夜
[00:04:29.000 --> 00:04:32.000]  其實是一幅完全不同的圖畫
[00:04:32.000 --> 00:04:36.000]  甚至可以說是顛覆我們世人的想像
[00:04:36.000 --> 00:04:40.000]  而第一方面的馬太福音的家譜
[00:04:40.000 --> 00:04:45.000]  就是帶來第一個顛覆性的訊息
[00:04:45.000 --> 00:04:49.000]  馬太福音第一章一開始就是家譜
[00:04:49.000 --> 00:04:54.000]  其實家譜是很有作用的
[00:04:54.000 --> 00:04:57.000]  它不單只是記載歷史
[00:04:57.000 --> 00:05:00.000]  很多時候處理家事
[00:05:00.000 --> 00:05:03.000]  例如增產案就知道很有用
[00:05:03.000 --> 00:05:08.000]  或者處理一些政治、法律、宗教的事務
[00:05:08.000 --> 00:05:10.000]  家譜都很有作用
[00:05:10.000 --> 00:05:12.000]  我們試想像
[00:05:12.000 --> 00:05:20.000]  今天如果Henry翻查自己的家譜
[00:05:20.000 --> 00:05:24.000]  發現自己的祖先是新界原居民
[00:05:24.000 --> 00:05:27.000]  你猜他會怎樣?
[00:05:27.000 --> 00:05:29.000]  發達吧
[00:05:29.000 --> 00:05:33.000]  可以有丁屋
[00:05:33.000 --> 00:05:35.000]  雖然他已經很發達
[00:05:35.000 --> 00:05:40.000]  但多一間都不區的
[00:05:40.000 --> 00:05:43.000]  馬太福音的家譜都很有用
[00:05:43.000 --> 00:05:46.000]  路加福音的家譜是很不同的
[00:05:46.000 --> 00:05:52.000]  路加福音是由耶穌開始追溯到亞當
[00:05:52.000 --> 00:05:56.000]  但馬太福音是剛剛調轉
[00:05:56.000 --> 00:06:02.000]  馬太福音是由亞伯拉罕開始的
[00:06:02.000 --> 00:06:06.000]  其實要突出耶穌是亞伯拉罕的子孫
[00:06:06.000 --> 00:06:12.000]  在神與亞伯拉罕的約裏是有份的
[00:06:12.000 --> 00:06:15.000]  作者馬太這樣記載
[00:06:15.000 --> 00:06:19.000]  其實就是要將耶穌的身份合理化
[00:06:19.000 --> 00:06:23.000]  不過這個家譜最顛覆性的不是這個
