
[00:00:00.000 --> 00:00:07.600]  丁姐妹,早晨!在復活之前的一個星期,我們繼續有崇拜的時間
[00:00:07.600 --> 00:00:14.400]  我們一直看《尼希米記》,由以斯拉記看到《尼希米記》
[00:00:14.400 --> 00:00:20.800]  說到這班以色列人由秘魯歸回的裏面,回到耶路撒冷
[00:00:20.800 --> 00:00:28.800]  在裏面重建聖殿,恢復祭禮,後來又重建聖城
[00:00:28.800 --> 00:00:33.400]  在裏面有很多工作,但也遇到很多艱難和拆毀
[00:00:33.400 --> 00:00:40.600]  上次牧師跟我們說到,尼希米一直帶領著以色列人重建耶路撒冷
[00:00:40.600 --> 00:00:47.600]  他們分工合作下建立了不同的城牆,又安好了城門
[00:00:47.600 --> 00:00:50.400]  各樣東西都準備就緒
[00:00:50.400 --> 00:01:00.800]  上次聽的時候,耶路撒冷的城已經重建得差不多
[00:01:00.800 --> 00:01:07.400]  去到《尼希米記》第八章的時候,城已經建立完成
[00:01:07.400 --> 00:01:10.800]  進入另外一個階段,一個新的環節
[00:01:10.800 --> 00:01:24.800]  這個新的環節裏面,尼希米不單止自己帶領著這班以色列人重建聖城
[00:01:24.800 --> 00:01:30.800]  而且他還邀請了當時跟他一起,即同一階段裏面
[00:01:30.800 --> 00:01:35.200]  回到以色列地的另外一個領袖,以斯拉
[00:01:35.200 --> 00:01:39.200]  我們先看《尼希米記》第八章第一節
[00:01:39.200 --> 00:01:41.200]  可以聽我讀
[00:01:41.200 --> 00:01:46.000]  那時中百姓如同一人聚集在水門前的廣場
[00:01:46.000 --> 00:01:53.200]  請以斯拉民士將耶和華吩咐以色列的摩西的律法書帶來
[00:01:53.200 --> 00:02:02.000]  在《尼希米記》裏面主要記載著尼希米如何帶領著以色列人重建聖城
[00:02:02.000 --> 00:02:09.600]  《尼希米記》裏面,他遇到很多困難,有敵人的仇敵的攻擊
[00:02:09.600 --> 00:02:17.600]  但在神的恩手下,一一帶領他們經過,也完成了聖城的重建
[00:02:17.600 --> 00:02:22.600]  到了這裏,一個新的階段裏面,他請了以斯拉來
[00:02:22.600 --> 00:02:30.000]  一起恢復神的說話,律法書的頒布
[00:02:30.000 --> 00:02:34.600]  在《尼希米記》裏面,以斯拉第一次在這裏出現
[00:02:34.600 --> 00:02:40.600]  以斯拉,如果你有印象,我們之前講以斯拉記,聖經特別這樣去形容
[00:02:40.600 --> 00:02:46.000]  他說以斯拉是一個立志,考究,遵行耶和華的律法
[00:02:46.000 --> 00:02:51.000]  又將律例典章教導以色列人
[00:02:51.000 --> 00:03:00.400]  在《尼希米記》裏面,可以這樣說,因為他是省長,我們可以形容他為一個政治的領袖
[00:03:00.400 --> 00:03:08.000]  他帶領著以色列人重建了外在的環境,他們有合適的環境在裏面居住
[00:03:08.000 --> 00:03:12.000]  如果你有印象的話,在《尼希米記》七章尾尾的時候
[00:03:12.000 --> 00:03:19.000]  他們說因為城已經建好了,大家居住在自己的城裏面
[00:03:19.000 --> 00:03:24.000]  在裏面有比較安全舒適的環境
[00:03:24.000 --> 00:03:30.000]  在這個安全舒適的環境裏面,他們進入另外一個階段
[00:03:30.000 --> 00:03:35.000]  就是恢復神的說話,神的律法在裏面去頒布
[00:03:35.000 --> 00:03:40.000]  所以我想,當時的尼希米或者當時的以色列人都覺得
[00:03:40.000 --> 00:03:47.000]  如果要再重新去講耶和華的律法的時候,要請一個適合的人來講解
[00:03:47.000 --> 00:03:57.000]  他們可能想起在他們當中,已經將神的律法一直教導
[00:03:57.000 --> 00:04:02.000]  差不多十三年的日子,有另外一個宗教上的領袖,以斯拉在裏面
[00:04:02.000 --> 00:04:08.000]  以斯拉是一個很特別的人,當時我們講以斯拉記的時候
[00:04:08.000 --> 00:04:14.000]  你記得他是一個立志、考究、遵行耶和華的律法
[00:04:14.000 --> 00:04:19.000]  他有一個心智就是要去尋求神的律法
[00:04:19.000 --> 00:04:25.000]  不知道我們有沒有一個這樣的心智,很想去認識神的律法
[00:04:25.000 --> 00:04:31.000]  以斯拉他就是立定了心智之後,一直去研究、去考察
[00:04:31.000 --> 00:04:37.000]  如果是從裏正宗業本裏面那個立志、考究
[00:04:37.000 --> 00:04:44.000]  他翻譯成立定了心意,新業本他說是專心尋求
[00:04:44.000 --> 00:04:49.000]  他是一個旨志尋求神律法的人
[00:04:49.000 --> 00:04:53.000]  在今天這個時代,不知道我們還有多少個
[00:04:53.000 --> 00:04:58.000]  好像以斯拉一樣願意這樣去尋求神的說話的人
[00:04:58.000 --> 00:05:05.000]  我記得我信主的時候,第一件事是很喜歡去讀聖經
[00:05:05.000 --> 00:05:10.000]  不知道你是不是一樣,我中學的時候信耶穌
[00:05:10.000 --> 00:05:15.000]  喜歡到一個地步,家人其實不太喜歡我信耶穌
[00:05:15.000 --> 00:05:21.000]  所以看聖經是要躲在被窩裏面去看
[00:05:21.000 --> 00:05:27.000]  但是那種很想知道、很想去研究的心
[00:05:27.000 --> 00:05:31.000]  帶動自己一直去讀聖經
[00:05:31.000 --> 00:05:37.000]  最深印象是每一天躲在被窩裏面去看約翰一書
[00:05:37.000 --> 00:05:40.000]  那裏說神就是愛、神就是光
[00:05:40.000 --> 00:05:47.000]  從來在家裏面成長,或者在中國偶像的傳統底下
[00:05:47.000 --> 00:05:51.000]  偶像從來都不是愛、也不是光
[00:05:51.000 --> 00:05:57.000]  但是一讀聖經裏面,說到神是愛、神是光的時候
[00:05:57.000 --> 00:06:02.000]  其實這個神是怎樣的呢? 耶穌是一個怎樣的神呢?
[00:06:02.000 --> 00:06:07.000]  裏面有一份很大的渴求,很想去認識
[00:06:07.000 --> 00:06:10.000]  所以當時就立志,雖然很多東西
[00:06:10.000 --> 00:06:14.000]  你問我當時看過些什麼,約翰一書其實很難明白的
[00:06:14.000 --> 00:06:17.000]  但是最記得的就是神就是愛、神就是光
[00:06:17.000 --> 00:06:26.000]  但是那個心智就帶著自己一直去尋求神的律法
[00:06:26.000 --> 00:06:30.000]  有人這樣說,如果基督徒、愛神
[00:06:30.000 --> 00:06:34.000]  或者你很渴望去看聖經裏面
[00:06:34.000 --> 00:06:37.000]  好像在讀一本情書一樣
[00:06:37.000 --> 00:06:40.000]  你現在不寫了,是不是?
[00:06:40.000 --> 00:06:45.000]  那些情書信,多數都是WhatsApp
[00:06:45.000 --> 00:06:51.000]  但是你看那些文字的時候,心裏面覺得甜絲絲一樣
[00:06:51.000 --> 00:06:54.000]  你會一直很想去追,一直很想去看
[00:06:54.000 --> 00:06:59.000]  不知道我們有沒有這份心智去看神的說話
[00:06:59.000 --> 00:07:02.000]  好像是生命的一部份一樣
[00:07:02.000 --> 00:07:07.000]  希臘人去說這份追求的心智
[00:07:07.000 --> 00:07:14.000]  好像追求的心智,蘇格拉底用了另外一個故事
[00:07:14.000 --> 00:07:17.000]  去說這個追求的心
[00:07:17.000 --> 00:07:21.000]  他說在希臘文化裏面有一次
[00:07:21.000 --> 00:07:26.000]  有個年輕人問蘇格拉底怎樣可以尋求知識
[00:07:26.000 --> 00:07:28.000]  怎樣可以追尋一些知識
[00:07:28.000 --> 00:07:31.000]  那個追求的心是怎樣的呢?
[00:07:31.000 --> 00:07:34.000]  然後蘇格拉底看著這個年輕人的時候
[00:07:34.000 --> 00:07:41.000]  他想了一會,把這個年輕人帶到海邊
[00:07:41.000 --> 00:07:44.000]  然後就說我們一起下水
[00:07:44.000 --> 00:07:48.000]  然後年輕人就不知道為什麼要下水
[00:07:48.000 --> 00:07:53.000]  到了海邊的時候,就是在水裏面的時候
[00:07:53.000 --> 00:07:59.000]  蘇格拉底就一手把這個年輕人的頭按在水裏面
[00:07:59.000 --> 00:08:02.000]  這個年輕人拼命地掙扎
[00:08:02.000 --> 00:08:06.000]  但是蘇格拉底就不放他,一直掙扎
[00:08:06.000 --> 00:08:11.000]  後來隔了幾分鐘之後,就把這個年輕人放上來
[00:08:11.000 --> 00:08:17.000]  他就問他,你剛才在水裏面最想得到的是什麼?
[00:08:17.000 --> 00:08:21.000]  那個年輕人就說,最想的當然是呼吸
[00:08:21.000 --> 00:08:23.000]  因為呼吸不了
[00:08:23.000 --> 00:08:29.000]  他說你就憑著這份這麼想得到空氣的心
[00:08:29.000 --> 00:08:32.000]  去追求知識,你就會得到
[00:08:32.000 --> 00:08:36.000]  我們對神的說話是否有這份的愛慕
[00:08:36.000 --> 00:08:38.000]  這份的熱切呢?
[00:08:38.000 --> 00:08:43.000]  相信當時的伊斯拉
[00:08:43.000 --> 00:08:48.000]  聖經說他定自考究遵行神的謠言的律法
[00:08:48.000 --> 00:08:53.000]  那個渴慕的心,那份堅忍的心
[00:08:53.000 --> 00:09:00.000]  相信跟蘇格拉底所形容的追求知識的心是一樣的
[00:09:00.000 --> 00:09:05.000]  我們追求神的律法,或者我們讀神的說話的時候
[00:09:05.000 --> 00:09:07.000]  是否有這份的心呢?
[00:09:07.000 --> 00:09:12.000]  是否很渴慕去追尋神的說話呢?
[00:09:12.000 --> 00:09:16.000]  我記得那段《初信者日子》裏面
[00:09:16.000 --> 00:09:18.000]  有時間就會打開聖經看看
[00:09:18.000 --> 00:09:21.000]  現在更方便了,你打開你自己的APP
[00:09:21.000 --> 00:09:24.000]  就已經可以看得到
[00:09:24.000 --> 00:09:28.000]  有時候等車,有時候躲在床的一角
[00:09:28.000 --> 00:09:31.000]  去讀聖經的說話
[00:09:31.000 --> 00:09:34.000]  不知道我們有沒有這份的心智呢?
[00:09:34.000 --> 00:09:38.000]  我相信伊斯拉除了這份的渴慕之外
[00:09:38.000 --> 00:09:40.000]  他也有一份的堅忍
[00:09:40.000 --> 00:09:44.000]  因為聖經說他是立志去考究
[00:09:44.000 --> 00:09:47.000]  這個志向幫助他能夠持之以恆
[00:09:47.000 --> 00:09:50.000]  一直去研讀神的說話
[00:09:50.000 --> 00:09:54.000]  教會今年的裏面,我們有讀經計劃
[00:09:54.000 --> 00:09:57.000]  讀新約,一年裏面讀完新約
[00:09:57.000 --> 00:10:01.000]  不知道大家去到哪裏
[00:10:01.000 --> 00:10:05.000]  我記得我自己第一次要讀完一次聖經
[00:10:05.000 --> 00:10:07.000]  常常都覺得很難
[00:10:07.000 --> 00:10:10.000]  讀《創世紀》是可以的
[00:10:10.000 --> 00:10:13.000]  全院聖經,不是新約
[00:10:13.000 --> 00:10:15.000]  通常由《創世紀》開始
[00:10:15.000 --> 00:10:17.000]  一邊讀下去的時候
[00:10:17.000 --> 00:10:21.000]  你猜到哪一個位置會死了呢?
[00:10:21.000 --> 00:10:24.000]  大概去到《出一局記》
[00:10:24.000 --> 00:10:27.000]  《出一局記》第十九二十章的時候
[00:10:27.000 --> 00:10:29.000]  就死在曠野裏
[00:10:29.000 --> 00:10:32.000]  是很難的
