
[00:00:00.000 --> 00:00:07.800]  在超市和購物中心裏會有一隻很大的兔子
[00:00:07.800 --> 00:00:10.480]  很多的蛋
[00:00:10.480 --> 00:00:13.440]  但是今天復活節
[00:00:13.440 --> 00:00:16.480]  這個崇拜
[00:00:16.480 --> 00:00:21.160]  其實是為了什麼?
[00:00:21.160 --> 00:00:26.440]  想和大家分享一件事
[00:00:26.440 --> 00:00:30.320]  "Who died on the cross?" 剛才大家也看到,是嗎?
[00:00:30.320 --> 00:00:35.160]  剛才大家也看到那個影像
[00:00:35.160 --> 00:00:40.200]  有一塊木頭
[00:00:40.200 --> 00:00:43.160]  有一口釘
[00:00:43.160 --> 00:00:45.200]  我想和大家說的是
[00:00:45.200 --> 00:00:49.640]  每一個人都會去敬拜
[00:00:49.640 --> 00:00:53.600]  去worship一些東西
[00:00:53.600 --> 00:00:56.320]  可能那些是錢
[00:00:56.320 --> 00:00:59.080]  是安全感
[00:00:59.080 --> 00:01:01.640]  是一些工作裏面的achievement
[00:01:01.640 --> 00:01:04.280]  一些榮耀
[00:01:04.280 --> 00:01:08.960]  或者一些慾望
[00:01:08.960 --> 00:01:12.480]  敬拜
[00:01:12.480 --> 00:01:18.680]  有一個意思是要去尊敬這件事
[00:01:18.680 --> 00:01:21.080]  去show我們的respect
[00:01:21.080 --> 00:01:26.400]  我們也是在告訴我們自己
[00:01:26.400 --> 00:01:32.600]  這件事是多麼重要
[00:01:32.600 --> 00:01:36.600]  在聖經裏面保羅說到
[00:01:36.600 --> 00:01:42.960]  去到雅典和一群希臘人傳道
[00:01:42.960 --> 00:01:45.680]  一群雅典人是不知道
[00:01:45.680 --> 00:01:50.000]  他們要怎樣才能討好一個神
[00:01:50.000 --> 00:01:54.920]  或者可能眾神
[00:01:54.920 --> 00:01:58.080]  他說到
[00:01:58.080 --> 00:02:03.720]  創造宇宙獲其中萬物的神
[00:02:03.720 --> 00:02:06.440]  既是天地的主
[00:02:06.440 --> 00:02:11.520]  就不住在手所做的點
[00:02:11.520 --> 00:02:16.240]  也不用人手去服侍
[00:02:16.240 --> 00:02:21.160]  很像缺少些甚麼
[00:02:21.160 --> 00:02:24.200]  但他自己保障生命
[00:02:24.200 --> 00:02:25.400]  氣息
[00:02:25.400 --> 00:02:27.360]  萬物
[00:02:27.360 --> 00:02:32.080]  次級萬人
[00:02:32.080 --> 00:02:36.960]  並且預先定了
[00:02:36.960 --> 00:02:41.520]  這一群人
[00:02:41.520 --> 00:02:45.520]  在這個世界裏面
[00:02:45.520 --> 00:02:47.560]  就是要叫他們
[00:02:47.560 --> 00:02:49.040]  叫我們
[00:02:49.040 --> 00:02:57.440]  去尋求神
[00:02:57.440 --> 00:02:59.360]  我們也好像他們一樣
[00:02:59.360 --> 00:03:01.400]  我們也好像雅典人一樣
[00:03:01.400 --> 00:03:05.640]  中國人會拜黃大仙
[00:03:05.640 --> 00:03:07.440]  會見到關公很厲害
[00:03:07.440 --> 00:03:09.760]  所以拜關公
[00:03:09.760 --> 00:03:14.280]  或者有菩薩等等
[00:03:14.280 --> 00:03:15.800]  但這裡會說到
[00:03:15.800 --> 00:03:16.640]  保羅繼續說
[00:03:16.640 --> 00:03:20.080]  我們既是神所生的
[00:03:20.080 --> 00:03:30.480]  就不當以為神的神聖像人用手的工藝
[00:03:30.480 --> 00:03:37.400]  心思或者是雕刻的金銀石
[00:03:37.400 --> 00:03:40.440]  今日我們的神
[00:03:40.440 --> 00:03:43.120]  不是在一個廟宇裏面
[00:03:43.120 --> 00:03:48.280]  不是在一個很大的銅像鐵像
[00:03:48.280 --> 00:03:55.560]  這是我們所認識的神
[00:03:55.560 --> 00:03:57.840]  但神現在把這個恩典給我們
[00:03:57.840 --> 00:04:02.640]  叫我們去學武祂
