
[00:00:00.000 --> 00:00:06.140]  各位頂子妹,早上,讓我們開始的時候,我們先來一個禱告
[00:00:06.140 --> 00:00:14.080]  主啊,當我們來到你面前的時候,就求你開啟我們的眼睛
[00:00:14.080 --> 00:00:19.460]  讓我們能夠看見你的欣典和你的榮美
[00:00:19.460 --> 00:00:25.600]  求你打開我們的心,能夠領受你話語的真理
[00:00:25.600 --> 00:00:30.200]  並且賜給我們有力量可以行出來
[00:00:30.200 --> 00:00:35.080]  禱告奉主耶穌基督聖名,阿們
[00:00:35.080 --> 00:00:41.720]  最近,OpenAI,那個新城市人工智能公司
[00:00:41.720 --> 00:00:47.880]  那個創辦人兼CEO,Sam Ordman
[00:00:47.880 --> 00:00:49.920]  被開除了
[00:00:49.920 --> 00:00:55.800]  根據OpenAI的一份聲明,當然是最初的聲明
[00:00:55.800 --> 00:01:00.680]  這個總裁就和董事會
[00:01:00.680 --> 00:01:05.800]  在這個溝通過程裏面,說他不坦白
[00:01:05.800 --> 00:01:09.880]  就妨礙了董事會的行使職權
[00:01:09.880 --> 00:01:12.700]  其實真正的問題是什麼呢
[00:01:12.700 --> 00:01:16.280]  外面的人根本上是沒有辦法了解
[00:01:16.280 --> 00:01:22.680]  但是據一些了解該公司的結構的人士來指出
[00:01:22.680 --> 00:01:27.540]  他說公司的使命和它的利潤
[00:01:27.540 --> 00:01:30.620]  是存在著明顯的差異
[00:01:30.620 --> 00:01:34.720]  本來就說,就是說公司發展人工智能
[00:01:34.720 --> 00:01:39.320]  主要的目的是要為人類來謀幸福
[00:01:39.320 --> 00:01:42.400]  而賺錢就是其次
[00:01:42.400 --> 00:01:48.540]  但這個阿爾特曼卻是隱藏了很多有關於確保
[00:01:48.540 --> 00:01:54.180]  怎樣可以使人工智能可以安全發展的信息
[00:01:54.180 --> 00:02:01.340]  因此,董事會覺得他和公司的使命是有矛盾的
[00:02:01.340 --> 00:02:06.460]  但是後來,當然發展是峰迴路轉
[00:02:06.460 --> 00:02:10.040]  因為董事會裏面有人是倒窩
[00:02:10.040 --> 00:02:12.860]  以及很多員工說要辭職
[00:02:12.860 --> 00:02:14.900]  在這種種的壓力之下
[00:02:14.900 --> 00:02:21.560]  公司最後還是同意CEO恢復崗位
[00:02:21.560 --> 00:02:25.400]  但是公司裏面的董事
[00:02:25.400 --> 00:02:30.520]  有很多就要包袱了
[00:02:30.520 --> 00:02:34.620]  當然,繼續下去是怎樣發展我們不知道
[00:02:34.620 --> 00:02:38.460]  但是和剛才的一份公司的聲明裏面
[00:02:38.460 --> 00:02:43.060]  看得到引發這次事件的罪魁禍首
[00:02:43.060 --> 00:02:46.660]  其實就是他們董事局之間的成員
[00:02:46.660 --> 00:02:49.720]  在溝通上發生了問題
[00:02:49.720 --> 00:02:55.100]  因此聲譽受到很大的關注
[00:02:55.100 --> 00:02:57.660]  原來人與人之間的相交
[00:02:57.660 --> 00:03:00.480]  其實是要有原則的
[00:03:00.480 --> 00:03:03.040]  不能夠隨便破壞
[00:03:03.040 --> 00:03:08.920]  今天我們會就相交的問題,看看聖經是怎樣和我們說的
[00:03:08.920 --> 00:03:14.060]  《約翰一書》是新約裏面比較後期的書卷
[00:03:14.060 --> 00:03:19.680]  大概是寫於主後九十年左右
[00:03:19.680 --> 00:03:23.520]  作者也是仕途約翰
[00:03:23.520 --> 00:03:26.600]  也就是耶穌的十二個門徒之一
[00:03:26.600 --> 00:03:29.660]  自從耶穌復活升天
[00:03:29.660 --> 00:03:35.300]  直到教會開始以來,已經經過了一段很長的時間
[00:03:35.300 --> 00:03:37.600]  這次約翰的時代
[00:03:37.600 --> 00:03:40.680]  那時那些第二三代的信徒
[00:03:40.680 --> 00:03:44.000]  其實很多人根本就沒有見過耶穌
[00:03:44.000 --> 00:03:46.820]  關於耶穌的身份的問題
[00:03:46.820 --> 00:03:50.400]  在教會裏面有些假教師就起來
[00:03:50.400 --> 00:03:52.180]  他們扭曲福音
[00:03:52.180 --> 00:03:57.060]  是要將當時很盛行的哲學思想
[00:03:57.060 --> 00:04:00.380]  有人說這是諾斯底主義的前身
[00:04:00.380 --> 00:04:01.920]  是加了進來的
[00:04:01.920 --> 00:04:03.460]  他們主張什麼呢?
[00:04:03.460 --> 00:04:06.020]  他們說物質是邪惡的
[00:04:06.020 --> 00:04:09.340]  所以肉體就是邪惡的
[00:04:09.340 --> 00:04:12.940]  神是零,零當然是聖潔
[00:04:12.940 --> 00:04:17.280]  因此他們是否認道成肉身這件事的
[00:04:17.280 --> 00:04:22.400]  他們更加是會引誘信徒離開教會
[00:04:22.400 --> 00:04:25.220]  第二章你會看到的
[00:04:25.220 --> 00:04:28.040]  約翰當時已經很老了
[00:04:28.040 --> 00:04:29.580]  幾十歲了
[00:04:29.580 --> 00:04:33.160]  但他仍然試圖在他有生之年
[00:04:33.160 --> 00:04:35.980]  要將這些謊言來澄清
[00:04:35.980 --> 00:04:41.860]  讓這個信徒能夠更加認識耶穌
[00:04:41.860 --> 00:04:44.160]  今天我們讀這段經文
[00:04:44.160 --> 00:04:48.000]  其實是約翰一書的開始
[00:04:48.000 --> 00:04:50.300]  約翰在這裏要告訴信徒
[00:04:50.300 --> 00:04:51.840]  耶穌是誰
[00:04:51.840 --> 00:04:56.960]  信徒應該怎樣來與神、與人相交
[00:04:56.960 --> 00:05:01.060]  我會分三點和大家一起分享
[00:05:01.060 --> 00:05:05.160]  首先,第一點是相交的源起
[00:05:05.160 --> 00:05:06.940]  神是誰呢?
[00:05:06.940 --> 00:05:09.760]  不是人可以測度出來的
[00:05:09.760 --> 00:05:13.600]  而是神向人啟示祂自己
[00:05:13.600 --> 00:05:15.640]  神怎樣告訴人呢?
[00:05:15.640 --> 00:05:18.980]  就是透過祂的兒子耶穌基督
[00:05:18.980 --> 00:05:23.340]  對於約翰來說,生命之道是甚麼呢?
[00:05:23.340 --> 00:05:26.660]  就是祂所聽見、所看見
[00:05:26.660 --> 00:05:30.500]  親眼看過、親手摸過
[00:05:30.500 --> 00:05:32.800]  應該說,耶穌基督是一位
[00:05:32.800 --> 00:05:36.140]  有血有肉的歷史上的人物
[00:05:36.140 --> 00:05:39.460]  是真實的,不是虛構的
[00:05:39.460 --> 00:05:43.300]  而事實上,約翰和耶穌基督
[00:05:43.300 --> 00:05:46.380]  亦都生活了一段時間
[00:05:46.380 --> 00:05:50.720]  他親眼目睹耶穌基督所行的神蹟
[00:05:50.720 --> 00:05:52.020]  例如甚麼呢?
[00:05:52.020 --> 00:05:55.860]  水面酒,五餅二魚,吃飽五千人
[00:05:55.860 --> 00:06:00.080]  在水面行酒,使病人得醫治
[00:06:00.080 --> 00:06:03.020]  更加使死人復活
[00:06:03.020 --> 00:06:05.320]  以及他一起生活,更加了解到
[00:06:05.320 --> 00:06:07.360]  他那種奧罪的生活
[00:06:07.360 --> 00:06:08.920]  這些確是證實到
[00:06:08.920 --> 00:06:12.500]  他就是那位道成肉身的耶穌
[00:06:12.500 --> 00:06:15.060]  他是那位真神
[00:06:15.060 --> 00:06:17.620]  而更加在這個登山變象裏面
[00:06:17.620 --> 00:06:22.740]  他更加是親眼見過耶穌基督的榮耀
[00:06:22.740 --> 00:06:25.040]  而耶穌基督在復活之後
[00:06:25.040 --> 00:06:28.880]  他亦都是親自向門徒顯現
[00:06:28.880 --> 00:06:32.980]  當時約翰亦都在場
[00:06:32.980 --> 00:06:36.060]  他是親手摸過復活的耶穌
[00:06:36.060 --> 00:06:38.360]  大家都記得,多瑪更加用手指
[00:06:38.360 --> 00:06:42.960]  探進去耶穌的肋膀
[00:06:42.960 --> 00:06:45.260]  從約翰他觀察得知
[00:06:45.260 --> 00:06:51.920]  耶穌基督其實就是這位永恆生命的源頭
[00:06:51.920 --> 00:06:55.240]  進到只有通過耶穌基督
[00:06:55.240 --> 00:06:59.860]  才能夠找到生命的目的和意義
[00:06:59.860 --> 00:07:01.660]  這個永恆的生命
[00:07:01.660 --> 00:07:04.220]  本來就是與父親同在
