
[00:00:00.000 --> 00:00:07.280]  原來這個應用在羅馬書第六章已經出過來
[00:00:07.280 --> 00:00:13.040]  羅馬書十二章基本上是帶你回到羅馬書第六章
[00:00:13.040 --> 00:00:15.960]  然後繼續延伸
[00:00:15.960 --> 00:00:17.720]  羅馬書第六章第十三節這樣說
[00:00:17.720 --> 00:00:20.840]  要將從死人中活着的人
[00:00:20.840 --> 00:00:23.360]  從死裏復活 我們與基督同死同復活
[00:00:23.360 --> 00:00:28.240]  要把你們的肢體獻給神作異的工具
[00:00:28.240 --> 00:00:34.800]  第十九節要照樣將肢體獻給異作奴僕以至於成性
[00:00:34.800 --> 00:00:43.360]  我們要將我們自己一生所有的一切獻給上帝作爲異的奴僕
[00:00:43.360 --> 00:00:44.520]  什麼叫奴僕
[00:00:44.520 --> 00:00:47.520]  香港人不會明白什麼叫奴僕
[00:00:47.520 --> 00:00:51.720]  無論你老闆多苛刻你都可以炒你老闆魷魚
[00:00:51.720 --> 00:00:54.640]  但是當你做一個奴僕的時候
[00:00:54.640 --> 00:00:57.440]  你是失去了自己的自主權
[00:00:57.440 --> 00:01:01.080]  保羅說我們是上帝的奴僕
[00:01:01.080 --> 00:01:02.280]  我們是公義的奴僕
[00:01:02.280 --> 00:01:05.760]  但是我們這個奴僕不是因爲被強權所逼的奴僕
[00:01:05.760 --> 00:01:10.080]  而是因爲被愛所融化的愛奴
[00:01:10.080 --> 00:01:12.440]  因着上帝的慈悲
[00:01:12.440 --> 00:01:14.000]  因着上帝的憐憫
[00:01:14.000 --> 00:01:15.360]  因着上帝的恩典
[00:01:15.360 --> 00:01:17.920]  今天我們成爲上帝的愛奴
[00:01:17.920 --> 00:01:20.760]  這我就告訴你
[00:01:20.760 --> 00:01:24.280]  他可以用一兩句很簡單的英文來總結
[00:01:24.280 --> 00:01:29.960]  保羅對基督徒生命的異象
[00:01:29.960 --> 00:01:32.920]  很簡單的英文
[00:01:32.920 --> 00:01:34.120]  兩句
[00:01:34.120 --> 00:01:37.240]  Not to make some sacrifices
[00:01:37.240 --> 00:01:41.480]  But to be a sacrifice
[00:01:41.480 --> 00:01:43.160]  作基督徒的呼召
[00:01:43.160 --> 00:01:44.800]  一個基督徒是什麼
[00:01:44.800 --> 00:01:46.840]  不是叫你在教會
[00:01:46.840 --> 00:01:48.000]  在生活上面
[00:01:48.000 --> 00:01:49.040]  在社會上面
[00:01:49.040 --> 00:01:54.720]  做少少的獻祭或者少少的犧牲
[00:01:54.720 --> 00:01:56.800]  不是你有空來教會
[00:01:56.800 --> 00:01:59.680]  有空給少少十一奉獻
[00:01:59.680 --> 00:02:01.720]  不是你有空來祀奉
[00:02:01.720 --> 00:02:06.080]  而是你整個人成爲一個祭物
[00:02:06.080 --> 00:02:09.000]  Not to make some sacrifices
