
[00:00:00.000 --> 00:00:01.640]  今天是聖誕節
[00:00:01.640 --> 00:00:05.880]  我先祝大家聖誕平安新年 蒙福
[00:00:05.880 --> 00:00:07.400]  說起福氣
[00:00:07.400 --> 00:00:10.200]  我相信人人都想要的
[00:00:10.200 --> 00:00:12.400]  有沒有人不想要福氣的?
[00:00:12.400 --> 00:00:13.400]  沒有吧?
[00:00:13.400 --> 00:00:16.280]  不過在這麼多福氣的裡面
[00:00:16.280 --> 00:00:19.880]  你覺得哪一種福氣是你最想要的呢?
[00:00:19.880 --> 00:00:24.680]  雨玲你最想要什麼福氣?
[00:00:24.680 --> 00:00:27.680]  上面的福氣
[00:00:27.680 --> 00:00:30.680]  P 7 P 8 不是
[00:00:30.680 --> 00:00:32.680]  天上的福氣
[00:00:32.680 --> 00:00:38.680]  有一次我在餐廳裡吃飯
[00:00:38.680 --> 00:00:40.680]  為什麼不行?
[00:00:40.680 --> 00:00:42.680]  我看到一副對聯
[00:00:42.680 --> 00:00:46.680]  其中一邊寫了這七個字
[00:00:46.680 --> 00:00:49.680]  它說平安義字值千金
[00:00:49.680 --> 00:00:52.680]  所以我想平安應該是每一個人
[00:00:52.680 --> 00:00:55.680]  都覺得很想要和很重要
[00:00:55.680 --> 00:00:57.680]  特別是我們中國人
[00:00:57.680 --> 00:00:59.680]  在新年裡
[00:00:59.680 --> 00:01:02.680]  我們會經常看到這樣的揮春
[00:01:02.680 --> 00:01:09.680]  出入平安 四季平安
[00:01:09.680 --> 00:01:11.680]  平安大吉
[00:01:11.680 --> 00:01:13.680]  在我們日常生活裡
[00:01:13.680 --> 00:01:16.680]  我們經常聽到這些祝福
[00:01:16.680 --> 00:01:19.680]  旅途平安 平安是福
[00:01:19.680 --> 00:01:20.680]  弟子們
[00:01:20.680 --> 00:01:24.680]  我相信你也很想得到平安
[00:01:24.680 --> 00:01:26.680]  不過我想問問大家
[00:01:26.680 --> 00:01:29.680]  對你們來說 什麼才是平安?
[00:01:29.680 --> 00:01:31.680]  你現在平不平安?
[00:01:31.680 --> 00:01:36.680]  平安的點點頭來看看
[00:01:36.680 --> 00:01:38.680]  好像不是每個人都一樣
[00:01:38.680 --> 00:01:40.680]  什麼原因呢?
[00:01:40.680 --> 00:01:41.680]  我們中國人
[00:01:41.680 --> 00:01:44.680]  平安意味著順順利利
[00:01:44.680 --> 00:01:46.680]  沒有困難 沒有煩惱
[00:01:46.680 --> 00:01:49.680]  不過說來很簡單
[00:01:49.680 --> 00:01:52.680]  但似乎也沒什麼可能
[00:01:52.680 --> 00:01:54.680]  事實上是現實告訴我們
[00:01:54.680 --> 00:01:57.680]  有太多令人不安的事情
[00:01:57.680 --> 00:01:59.680]  我們回顧一下香港社會
[00:01:59.680 --> 00:02:02.680]  過去兩年發生了什麼事
[00:02:02.680 --> 00:02:04.680]  我們經歷了有佔中
[00:02:04.680 --> 00:02:08.680]  有公屋的食水含鉛事件
[00:02:08.680 --> 00:02:11.680]  有立法會議員宣誓引起的風波
[00:02:11.680 --> 00:02:13.680]  人大釋法
[00:02:13.680 --> 00:02:14.680]  很多的風風雨雨
[00:02:14.680 --> 00:02:16.680]  令到整個社會充斥著
[00:02:16.680 --> 00:02:19.680]  一股又一股的淚氣
[00:02:19.680 --> 00:02:23.680]  2016年有一個全球快樂報告
[00:02:23.680 --> 00:02:24.680]  公佈了結果
[00:02:24.680 --> 00:02:27.680]  它說我們香港人的快樂指數
