
[00:00:00.000 --> 00:00:03.080]  今天說一個我們比較少說的題目
[00:00:03.080 --> 00:00:04.340]  是說什麼呢?
[00:00:04.340 --> 00:00:05.380]  就是
[00:00:05.380 --> 00:00:07.440]  怎樣去掙脫
[00:00:07.440 --> 00:00:11.140]  邪情惡慾的束縛
[00:00:11.140 --> 00:00:13.180]  那麼我記得呢
[00:00:13.180 --> 00:00:15.720]  我小時候第一次見電視機
[00:00:15.720 --> 00:00:19.300]  就是我爸爸買了一個黑白電視機回我家
[00:00:19.300 --> 00:00:20.740]  那當然是很久之前了
[00:00:20.740 --> 00:00:22.860]  我小時候嘛 是不是?
[00:00:22.860 --> 00:00:24.680]  所以那時候是很震驚的
[00:00:24.680 --> 00:00:27.440]  不需要去涼茶店喝一杯涼茶
[00:00:27.440 --> 00:00:28.880]  然後出去看一會電視
[00:00:28.880 --> 00:00:30.320]  然後就離開了
[00:00:30.320 --> 00:00:31.320]  家裡有個電視機
[00:00:31.320 --> 00:00:33.320]  不過黑白電視機很小
[00:00:33.320 --> 00:00:34.580]  那時候呢
[00:00:34.580 --> 00:00:36.440]  其中一個我們很震驚的呢
[00:00:36.440 --> 00:00:38.980]  就是看到一些魔術師
[00:00:38.980 --> 00:00:40.180]  玩魔術 是不是?
[00:00:40.180 --> 00:00:41.560]  很震驚
[00:00:41.560 --> 00:00:42.780]  那麼其中一個呢
[00:00:42.780 --> 00:00:44.120]  就是我現在都記得的
[00:00:44.120 --> 00:00:47.720]  一個那時候很出名的人
[00:00:47.720 --> 00:00:50.320]  他做了一個很特別的事
[00:00:50.320 --> 00:00:52.520]  是很多人都很驚訝的
[00:00:52.520 --> 00:00:56.640]  那麼我們先看看吧 好嗎?
[00:00:56.640 --> 00:01:01.160]  你跟我說吧!
[00:01:01.160 --> 00:01:03.160]  我看到了! 看到了! 看到了!
[00:01:27.640 --> 00:01:29.640]  這個誰? 認不認識?
[00:01:56.640 --> 00:01:58.640]  這個誰? 認不認識?
[00:02:27.640 --> 00:02:36.640]  這個誰? 認不認識?
[00:02:36.640 --> 00:02:37.640]  這個誰? 認不認識?
[00:02:37.640 --> 00:02:38.640]  這個誰? 認不認識?
[00:02:38.640 --> 00:02:39.640]  這個誰? 認不認識?
[00:02:39.640 --> 00:02:40.640]  這個誰? 認不認識?
[00:02:40.640 --> 00:02:41.640]  這個誰? 認不認識?
[00:02:41.640 --> 00:02:42.640]  這個誰? 認不認識?
[00:02:42.640 --> 00:02:43.640]  這個誰? 認不認識?
[00:02:43.640 --> 00:02:44.640]  這個誰? 認不認識?
[00:02:44.640 --> 00:02:45.640]  這個誰? 認不認識?
[00:02:45.640 --> 00:02:46.640]  這個誰? 認不認識?
[00:02:46.640 --> 00:02:47.640]  這個誰? 認不認識?
[00:02:47.640 --> 00:02:48.640]  這個誰? 認不認識?
[00:02:48.640 --> 00:02:49.640]  這個誰? 認不認識?
[00:02:49.640 --> 00:02:50.640]  這個誰? 認不認識?
[00:02:50.640 --> 00:02:51.640]  這個誰? 認不認識?
[00:02:51.640 --> 00:02:52.640]  這個誰? 認不認識?
