
[00:00:00.000 --> 00:00:04.600]  今早我想和各位一齊思想的題目就是「普世歡騰」
[00:00:04.600 --> 00:00:12.800]  剛才我們也有師班先為我們獻上敬拜
[00:00:12.800 --> 00:00:15.600]  唱「普世歡騰」這首聖誕詩歌
[00:00:15.600 --> 00:00:23.000]  我今天就想用這首詩歌和各位一齊思想
[00:00:23.000 --> 00:00:25.600]  為甚麼我們要「普世歡騰」
[00:00:25.600 --> 00:00:28.000]  以及我們怎樣可以「普世歡騰」
[00:00:30.000 --> 00:00:32.000]  為甚麼我們要「普世歡騰」
[00:00:32.000 --> 00:00:34.000]  以及我們怎樣可以「普世歡騰」
[00:00:34.000 --> 00:00:40.000]  「普世歡騰」這首歌的材料是來自詩篇第98篇
[00:00:40.000 --> 00:00:48.000]  作詩歌的詩人是叫Isaac Watts
[00:00:48.000 --> 00:00:52.000]  是十七世紀英國的一個牧師和神學家
[00:00:58.000 --> 00:01:04.000]  為甚麼他會作這首這麼好的聖誕歌建基於詩篇第98篇呢?
[00:01:04.000 --> 00:01:12.000]  因為當我們看路加福音的時候
[00:01:12.000 --> 00:01:17.000]  特別是路加福音第1章46至55節的時候
[00:01:22.000 --> 00:01:28.000]  第1章46至55節是講到瑪麗亞她自己作的歌
[00:01:28.000 --> 00:01:30.000]  叫做「瑪麗亞的頌歌」
[00:01:30.000 --> 00:01:35.000]  就是當天使跟瑪麗亞說
[00:01:35.000 --> 00:01:41.000]  瑪麗亞上帝要使用千萬代都因為你蒙恩的時候
[00:01:41.000 --> 00:01:43.000]  她作的詩歌
[00:01:48.000 --> 00:01:52.000]  他們發覺當瑪麗亞她寫的那個瑪麗亞的頌歌
[00:01:52.000 --> 00:01:56.000]  裡面的歌詞跟詩篇第98篇是相似的
[00:01:56.000 --> 00:02:03.000]  會不會瑪麗亞在這裡有感而發的時候
[00:02:03.000 --> 00:02:07.000]  她的心裡面其實就在思想著這一首讚美神
[00:02:07.000 --> 00:02:10.000]  團首是讚美神的詩篇第98篇呢?
[00:02:15.000 --> 00:02:18.000]  所以我們今天一起同樣的去思想
[00:02:18.000 --> 00:02:21.000]  我們為什麼和怎麼樣可以普世歡騰
[00:02:21.000 --> 00:02:30.000]  今天天父要透過這些詩歌和透過聖經
[00:02:30.000 --> 00:02:32.000]  是對每一位弟兄姊妹
[00:02:32.000 --> 00:02:35.000]  特別是每一位來賓朋友講說話
[00:02:35.000 --> 00:02:42.000]  我們今天的經文剛才已經讀了
[00:02:44.000 --> 00:02:47.000]  今天的講道大綱在各位的秩序表的後面
[00:02:47.000 --> 00:02:49.000]  各位可以跟著來看
[00:02:49.000 --> 00:02:54.000]  普世歡騰讓我們一起來思想
[00:02:54.000 --> 00:02:58.000]  為什麼我們要普世歡騰呢?
[00:02:58.000 --> 00:03:02.000]  什麼叫做歡騰呢?
[00:03:02.000 --> 00:03:06.000]  歡騰不是一種情緒
[00:03:06.000 --> 00:03:09.000]  歡騰不是來自情緒
[00:03:13.000 --> 00:03:16.000]  歡騰是來自因為我們深知道
[00:03:16.000 --> 00:03:21.000]  我自己所有的所體重的東西是不會失去的
[00:03:21.000 --> 00:03:30.000]  歡騰是來自自己深深的知道
[00:03:30.000 --> 00:03:34.000]  我所愛的,我所要的,我所捍衛重要的
[00:03:34.000 --> 00:03:37.000]  沒有人能夠從我的手裡面掉去的
[00:03:42.000 --> 00:03:45.000]  究竟是什麼東西讓我們能夠這麼歡騰
[00:03:45.000 --> 00:03:49.000]  有什麼東西是不會失去,沒有人能夠搶去的呢?
[00:03:49.000 --> 00:03:56.000]  就是上帝天父的愛
[00:03:56.000 --> 00:04:01.000]  天父愛我們每一個
[00:04:01.000 --> 00:04:06.000]  由我們接受祂,由我們得著祂的愛
[00:04:08.000 --> 00:04:14.000]  我們跟祂的關係是永遠不會改變的,沒有人能夠將我們這些東西奪去的
[00:04:14.000 --> 00:04:23.000]  所以當我們能夠在認識神的時候,能夠有這個關係,明白祂的愛的時候
[00:04:23.000 --> 00:04:33.000]  我們就永遠都能夠歡騰,特別在聖誕之日我們更能夠歡騰
[00:04:36.000 --> 00:04:41.000]  由我們看一下,根據聖經裡面講的詩篇九十八篇
[00:04:41.000 --> 00:04:43.000]  我們為什麼可以歡騰呢?
[00:04:43.000 --> 00:04:52.000]  聖經告訴我們三個原因我們可以歡騰,並且常常都可以歡騰
[00:04:52.000 --> 00:04:59.000]  第一個原因就是因為耶穌基督降世
[00:04:59.000 --> 00:05:03.000]  是來做世人的救主去施行救恩
[00:05:07.000 --> 00:05:11.000]  在聖誕的時候,上帝差祂的兒子降世為人的時候
[00:05:11.000 --> 00:05:17.000]  來到地上,為我們死在十字架上,為我們的罪而死而復活
[00:05:17.000 --> 00:05:27.000]  祂就是做我們的救主去拯救我們
[00:05:27.000 --> 00:05:35.000]  有一段聖經大家都熟悉的,讓我們一起中英讀都可以,提摩太前書第一章第十五節
[00:05:37.000 --> 00:05:44.000]  聖經說,基督耶穌降世,一起讀,基督耶穌降世,為要拯救罪人
