
[00:00:00.000 --> 00:00:04.000]  感謝主有機會和大家分享上帝的話語
[00:00:04.000 --> 00:00:09.000]  今天我們會繼續看《試堂傳》
[00:00:09.000 --> 00:00:22.000]  《試堂傳》的經文是在4章32至5章11節
[00:00:22.000 --> 00:00:24.000]  我們決定聖經
[00:00:24.000 --> 00:00:27.000]  因為我們是在說聖靈的工作
[00:00:27.000 --> 00:00:31.000]  繼續說聖靈在初代教會的工作
[00:00:31.000 --> 00:00:37.000]  但願孩子能夠說出聖靈自己的奇妙
[00:00:37.000 --> 00:00:40.000]  在預備的時候孩子真的感到
[00:00:40.000 --> 00:00:43.000]  我沒辦法在短短的時間
[00:00:43.000 --> 00:00:48.000]  能夠將聖靈自己的奇妙的工作來透徹
[00:00:48.000 --> 00:00:53.000]  為了懇求聖靈自己在國人心裡面動工
[00:00:53.000 --> 00:00:55.000]  所以我們揭開聖經之後
[00:00:55.000 --> 00:00:58.000]  我們一起祈禱仰望上帝
[00:00:58.000 --> 00:00:59.000]  我們的三一神
[00:00:59.000 --> 00:01:04.000]  特別懇求聖靈自己在你們的心裡面運行
[00:01:04.000 --> 00:01:06.000]  以致祂自己的能力
[00:01:06.000 --> 00:01:09.000]  藉著祂的話不是我的話
[00:01:09.000 --> 00:01:11.000]  來和大家分享
[00:01:11.000 --> 00:01:12.000]  我們一起禱告
[00:01:12.000 --> 00:01:14.000]  親愛的父上帝多謝你
[00:01:14.000 --> 00:01:16.000]  今天有機會讓我們聚集
[00:01:16.000 --> 00:01:18.000]  在你面前聆聽你的話語
[00:01:18.000 --> 00:01:21.000]  我們特別在《試堂傳》裡面
[00:01:21.000 --> 00:01:25.000]  再思想三一神聖靈自己的工作
[00:01:25.000 --> 00:01:29.000]  聖靈在初代教會的工作是奇妙的
[00:01:29.000 --> 00:01:32.000]  上帝求你自己的靈臨到我們當中
[00:01:32.000 --> 00:01:34.000]  孩子的說話有缺乏
[00:01:34.000 --> 00:01:37.000]  孩子的說話有不足的時候
[00:01:37.000 --> 00:01:40.000]  我求你開啟弟兄姊妹的心靈
[00:01:40.000 --> 00:01:42.000]  叫我們在裡面謙卑的
[00:01:42.000 --> 00:01:44.000]  叫我們在裡面誠實的
[00:01:44.000 --> 00:01:47.000]  叫我們在裡面聽你的話的時候
[00:01:47.000 --> 00:01:49.000]  能夠有懂得的
[00:01:49.000 --> 00:01:52.000]  能夠明白的,聽道而行道的
[00:01:52.000 --> 00:01:54.000]  成為合神心意的人
[00:01:54.000 --> 00:01:56.000]  成為我們的教會
[00:01:56.000 --> 00:01:59.000]  成為上帝你所喜悅的教會
[00:01:59.000 --> 00:02:00.000]  聽我們的祈禱
[00:02:00.000 --> 00:02:02.000]  奉基督耶穌的名
[00:02:02.000 --> 00:02:03.000]  阿們
[00:02:03.000 --> 00:02:05.000]  今天我講題就是
[00:02:05.000 --> 00:02:10.000]  活在聖靈監察中的教會
[00:02:10.000 --> 00:02:15.000]  活在聖靈監察中的教會
[00:02:15.000 --> 00:02:19.000]  我會分三段的說話跟大家講
[00:02:19.000 --> 00:02:21.000]  第一段就是
[00:02:21.000 --> 00:02:24.000]  《士郎傳》的四章三十二至到尾
[00:02:24.000 --> 00:02:25.000]  三十七節
[00:02:25.000 --> 00:02:29.000]  就是活在聖靈監察中的教會
[00:02:29.000 --> 00:02:31.000]  顯出見證
[00:02:31.000 --> 00:02:34.000]  活在聖靈監察中的教會
[00:02:34.000 --> 00:02:37.000]  顯出見證
[00:02:37.000 --> 00:02:41.000]  第二就是五章一至十
[00:02:41.000 --> 00:02:44.000]  活在聖靈監察中的教會
[00:02:44.000 --> 00:02:47.000]  顯露隱惡
