
[00:00:00.000 --> 00:00:04.000]  各位親愛的弟兄姊妹主內平安
[00:00:04.000 --> 00:00:07.000]  很感謝高牧師的邀請
[00:00:07.000 --> 00:00:14.000]  讓我再有機會與崇基禮拜堂眾弟兄姊妹一同聚集
[00:00:14.000 --> 00:00:16.000]  一同敬拜上帝
[00:00:16.000 --> 00:00:22.000]  祝願上帝的恩惠和慈愛常與我們同在
[00:00:22.000 --> 00:00:27.000]  今早的福音經課
[00:00:27.000 --> 00:00:31.000]  記載了一個核子得醫治的故事
[00:00:31.000 --> 00:00:35.000]  當耶穌在耶利哥城的時候
[00:00:35.000 --> 00:00:38.000]  有一個核子知道祂經過
[00:00:38.000 --> 00:00:40.000]  就哭著說
[00:00:40.000 --> 00:00:43.000]  大衛的子孫耶穌說
[00:00:43.000 --> 00:00:45.000]  可憐我爸
[00:00:45.000 --> 00:00:47.000]  有些人責備祂
[00:00:47.000 --> 00:00:49.000]  不准祂開聲
[00:00:49.000 --> 00:00:53.000]  耶穌卻停下來問祂
[00:00:53.000 --> 00:00:57.000]  祢要我為祢做什麼呢
[00:00:57.000 --> 00:00:58.000]  核子說
[00:00:58.000 --> 00:00:59.000]  夫子
[00:00:59.000 --> 00:01:02.000]  我要能看見
[00:01:02.000 --> 00:01:05.000]  耶穌於是讓祂能夠看見
[00:01:05.000 --> 00:01:09.000]  核子就立即跟隨了耶穌
[00:01:09.000 --> 00:01:12.000]  這個故事很簡單
[00:01:12.000 --> 00:01:15.000]  核子知道自己需要什麼
[00:01:15.000 --> 00:01:17.000]  他大聲的呼喊
[00:01:17.000 --> 00:01:19.000]  求耶穌幫助
[00:01:19.000 --> 00:01:22.000]  耶穌於是幫助了他
[00:01:22.000 --> 00:01:25.000]  讓祂能夠看見
[00:01:25.000 --> 00:01:28.000]  今天我們來到上主的面前
[00:01:28.000 --> 00:01:31.000]  我們需要什麼呢
[00:01:31.000 --> 00:01:33.000]  我們會不會放膽
[00:01:33.000 --> 00:01:37.000]  開聲的祈求上主的幫助
[00:01:37.000 --> 00:01:41.000]  說我要能看見
[00:01:41.000 --> 00:01:43.000]  今天講到的題目
[00:01:43.000 --> 00:01:47.000]  是聖靈引導教會進入真理
[00:01:47.000 --> 00:01:50.000]  耶穌曾經應許說
[00:01:50.000 --> 00:01:53.000]  只等聖靈來
[00:01:53.000 --> 00:01:55.000]  祂要引導你們
[00:01:55.000 --> 00:01:58.000]  明白一切的真理
[00:01:58.000 --> 00:02:01.000]  我們能不能夠放膽的
[00:02:01.000 --> 00:02:03.000]  祈求上主施恩
[00:02:03.000 --> 00:02:06.000]  開啟我們的心眼
[00:02:06.000 --> 00:02:08.000]  讓我們可以看見
[00:02:08.000 --> 00:02:12.000]  更多更大的真理嗎
[00:02:12.000 --> 00:02:15.000]  我最近又思考一個問題
[00:02:15.000 --> 00:02:20.000]  到底我們需要明白什麼是真理
[00:02:20.000 --> 00:02:22.000]  司徒行主記載
[00:02:22.000 --> 00:02:25.000]  五秦節聖靈降臨
[00:02:25.000 --> 00:02:28.000]  帶來教會很大的改變
[00:02:28.000 --> 00:02:33.000]  引導教會明白很多的真理
[00:02:33.000 --> 00:02:35.000]  初期教會
[00:02:35.000 --> 00:02:38.000]  保留著猶太教的傳統
[00:02:38.000 --> 00:02:42.000]  嚴守國禮和摩西律法
[00:02:42.000 --> 00:02:45.000]  歧視外邦人
[00:02:45.000 --> 00:02:48.000]  認為外邦人是不信上帝的人
[00:02:48.000 --> 00:02:50.000]  是不能救的
[00:02:50.000 --> 00:02:54.000]  聖靈卻是引導門徒
[00:02:54.000 --> 00:02:57.000]  明白上帝愛世人
[00:02:57.000 --> 00:03:00.000]  是愛世上所有的人
[00:03:00.000 --> 00:03:03.000]  耶穌曾經吩咐門徒
[00:03:03.000 --> 00:03:05.000]  要往普天下
[00:03:05.000 --> 00:03:08.000]  傳福音給萬民聽
[00:03:08.000 --> 00:03:10.000]  包括外邦人
[00:03:10.000 --> 00:03:14.000]  可惜門徒只是聚集在耶路撒冷
[00:03:14.000 --> 00:03:18.000]  並沒有向外邦人傳福音
[00:03:18.000 --> 00:03:23.000]  於是耶穌親自出馬找保羅
[00:03:23.000 --> 00:03:26.000]  說 蘇羅 蘇羅
[00:03:26.000 --> 00:03:29.000]  你為什麼逼迫我
[00:03:29.000 --> 00:03:33.000]  蘇羅說 主啊 你是誰
[00:03:33.000 --> 00:03:38.000]  耶穌說 我就是你所逼迫的耶穌
[00:03:38.000 --> 00:03:42.000]  耶穌於是吩咐保羅
[00:03:42.000 --> 00:03:45.000]  要他做外邦人的使徒
[00:03:45.000 --> 00:03:49.000]  要把福音傳給外邦人
[00:03:49.000 --> 00:03:54.000]  上帝又給彼得見到異象
[00:03:54.000 --> 00:03:58.000]  引導彼得把福音傳給哥利留
[00:03:58.000 --> 00:04:02.000]  帶領哥利留全家得救
[00:04:02.000 --> 00:04:06.000]  使彼得也開口說
[00:04:06.000 --> 00:04:12.000]  我真的看到上帝是不偏待人的
[00:04:12.000 --> 00:04:14.000]  結果初期教會
[00:04:14.000 --> 00:04:18.000]  在第一次的耶路撒冷大會上
[00:04:18.000 --> 00:04:22.000]  正式准許外邦人入教
[00:04:22.000 --> 00:04:26.000]  這就是教會需要明白的
[00:04:26.000 --> 00:04:29.000]  一個重要的真理
[00:04:29.000 --> 00:04:31.000]  或許在我們的心目中
[00:04:31.000 --> 00:04:33.000]  也有一些外邦人
[00:04:33.000 --> 00:04:38.000]  我們會認為他們是在教會之外的人
[00:04:38.000 --> 00:04:40.000]  我們不需要關心
[00:04:40.000 --> 00:04:44.000]  也不會主動向他們傳福音
[00:04:44.000 --> 00:04:47.000]  因為他們是教外人
[00:04:47.000 --> 00:04:51.000]  但原來上帝是不偏待人的
[00:04:51.000 --> 00:04:56.000]  他也是愛那些我們不喜歡的外邦人
[00:04:56.000 --> 00:04:59.000]  我們可不可以祈求耶穌
[00:04:59.000 --> 00:05:01.000]  開啟我們的心眼
[00:05:01.000 --> 00:05:04.000]  讓我們能夠看見
[00:05:04.000 --> 00:05:06.000]  祈求聖靈引導我們
[00:05:06.000 --> 00:05:11.000]  明白這個重要的真理
[00:05:11.000 --> 00:05:14.000]  我有一個親身的經歷
[00:05:14.000 --> 00:05:17.000]  當我祈求上主幫助的時候
[00:05:17.000 --> 00:05:21.000]  聖靈就打開我的心眼
[00:05:21.000 --> 00:05:27.000]  讓我看見更多更大的真理
[00:05:27.000 --> 00:05:31.000]  香港回歸中國27年
[00:05:31.000 --> 00:05:36.000]  我發覺很多弟兄姊妹仍然在掙扎
[00:05:36.000 --> 00:05:42.000]  到底怎樣才能夠又愛國又愛教呢
[00:05:42.000 --> 00:05:47.000]  我感謝上帝過去這30多年來
[00:05:47.000 --> 00:05:52.000]  我有很多機會回國訪問旅遊
[00:05:52.000 --> 00:05:56.000]  遇到很多愛主的弟兄姊妹
[00:05:56.000 --> 00:06:01.000]  我有機會去英國美國的地方生活
[00:06:01.000 --> 00:06:06.000]  認識了不少英國美國的基督徒
[00:06:06.000 --> 00:06:12.000]  我發現絕大多數的英國和美國的基督徒
[00:06:12.000 --> 00:06:16.000]  都是愛自己的國家
[00:06:16.000 --> 00:06:19.000]  不管那些當權的政府
[00:06:19.000 --> 00:06:21.000]  或者是英國的保守黨
[00:06:21.000 --> 00:06:23.000]  或者是工黨
[00:06:23.000 --> 00:06:27.000]  或者是美國的民主黨共和黨
[00:06:27.000 --> 00:06:31.000]  他們都不管這些當權的政府
[00:06:31.000 --> 00:06:35.000]  是否真心信靠上帝
[00:06:35.000 --> 00:06:39.000]  有沒有按聖經的教導去執政
[00:06:39.000 --> 00:06:43.000]  他們很少因為信仰不同
[00:06:43.000 --> 00:06:49.000]  而反對他們的國家和政府
[00:06:49.000 --> 00:06:53.000]  我因此發現原來上帝愛世人
[00:06:53.000 --> 00:06:58.000]  是包括我們的國家和政府
[00:06:58.000 --> 00:07:03.000]  我又學會了原來愛國愛教兩樣東西
[00:07:03.000 --> 00:07:06.000]  並不是對立的
[00:07:06.000 --> 00:07:13.000]  愛國愛教是可以共融共存的
[00:07:13.000 --> 00:07:17.000]  我開始和外地的弟兄姊妹分享
[00:07:17.000 --> 00:07:20.000]  我在香港一些獨特的經驗
[00:07:20.000 --> 00:07:23.000]  我告訴他們我兩個月大
[00:07:23.000 --> 00:07:28.000]  已經被父母帶到聖公會諸聖堂
[00:07:28.000 --> 00:07:30.000]  接受嬰兒洗禮
[00:07:30.000 --> 00:07:36.000]  所以我自幼就接受了聖公宗的宗教教育
[00:07:36.000 --> 00:07:39.000]  我的愛國的觀念
[00:07:39.000 --> 00:07:46.000]  其實是從宗教教育愛教培育出來的
[00:07:46.000 --> 00:07:49.000]  聖公宗我們早土崇拜
[00:07:49.000 --> 00:07:52.000]  是採用公土書
[00:07:52.000 --> 00:07:54.000]  我們崇拜的時候
[00:07:54.000 --> 00:07:57.000]  是重讀為國家討民
