
[00:00:00.000 --> 00:00:02.000]  在這裡祈禱
[00:00:02.000 --> 00:00:09.000]  Tiff我們很感謝你,因為你設下你的話語
[00:00:09.000 --> 00:00:14.000]  我們感謝你,因為你讓我們有一個另類的群體,就是教會的群體
[00:00:14.000 --> 00:00:19.000]  你讓我們有一個很特殊的身份,就是被你所救贖的子民
[00:00:19.000 --> 00:00:23.000]  我們要活出跟這個世界不一樣的生命
[00:00:23.000 --> 00:00:26.000]  願你的話語,藉著聖靈感動我們
[00:00:26.000 --> 00:00:29.000]  叫我們能夠聽見你想要我們聽見的
[00:00:29.000 --> 00:00:34.000]  可能我們每個人都不同,但我們知道聖靈會跟我們每一個人都說話
[00:00:34.000 --> 00:00:40.000]  願你感動我們的心,願你藉著聖經,透過聖靈去感動我們
[00:00:40.000 --> 00:00:43.000]  以致我們能夠活出與世界不一樣的生命
[00:00:43.000 --> 00:00:45.000]  多謝鳳尊命求,阿們
[00:00:45.000 --> 00:00:51.000]  我還記得我在美國讀神學的時候
[00:00:51.000 --> 00:00:57.000]  有一位老師說他有一位會友有一天做了一個很突然的決定
[00:00:57.000 --> 00:01:04.000]  就是決定要買飛機票,乘飛機
[00:01:04.000 --> 00:01:07.000]  為什麼會這樣呢?為什麼這麼突然呢?
[00:01:07.000 --> 00:01:13.000]  原因是那天早上起床,他就想上帝有什麼要跟我說呢?
[00:01:13.000 --> 00:01:17.000]  他看到那個鐘就知道上帝要他乘飛機了
[00:01:17.000 --> 00:01:21.000]  為什麼呢?因為那個是電子鐘
[00:01:21.000 --> 00:01:24.000]  他突然自己起床,不是鬧鐘來的
[00:01:24.000 --> 00:01:29.000]  自己起床去看,看到那個鐘是七點四十七分
[00:01:29.000 --> 00:01:33.000]  七四七,所以我要乘飛機
[00:01:33.000 --> 00:01:35.000]  於是他就買了一張七四七的機票
[00:01:35.000 --> 00:01:39.000]  我不知道他去了哪裡,我也沒有追究去問那位老師之後他怎樣了
[00:01:39.000 --> 00:01:43.000]  但事實上有不少基督徒的思維模式是這樣的
[00:01:43.000 --> 00:01:49.000]  他會很靈異地去看很多這些東西,我們可能會覺得很無知
[00:01:49.000 --> 00:01:53.000]  但確實是反映了我們基督徒的實況
[00:01:53.000 --> 00:01:58.000]  一方面的極端可能就是什麼都靈異化,說是神的訊息
[00:01:58.000 --> 00:02:02.000]  總之任何東西一看到就會有些什麼遐想
[00:02:02.000 --> 00:02:04.000]  所謂七點四十七分變成七四七
[00:02:04.000 --> 00:02:10.000]  又或者另一個就是可能根本聖經歸聖經,我歸我,完全不關事
[00:02:10.000 --> 00:02:15.000]  到底我們基督徒在世的思考模式,或者我們怎樣去做決定呢?
[00:02:15.000 --> 00:02:17.000]  有沒有一些很獨特的想法呢?
[00:02:17.000 --> 00:02:21.000]  我們今天就去看一下保羅的思維模式是怎樣
[00:02:21.000 --> 00:02:26.000]  在正式進入這段經文之前,首先我們要明白哥倫多後書的處境
[00:02:26.000 --> 00:02:32.000]  哥倫多後書可以說是保羅這麼多書信裡面最痛苦的書信
[00:02:32.000 --> 00:02:36.000]  如果你看字裡行間,你會感受到他的個人色彩很濃烈
[00:02:36.000 --> 00:02:38.000]  很多情感在當中
[00:02:38.000 --> 00:02:41.000]  他又不像肥勒比書那麼溫情
[00:02:41.000 --> 00:02:44.000]  也不像加爾泰書那種很憤怒
[00:02:44.000 --> 00:02:48.000]  你看加爾泰書就會知道他憤怒到好像有時候字都寫得亂來
[00:02:48.000 --> 00:02:53.000]  但是在哥倫多後書,你絕對會感受到保羅那種痛苦
[00:02:53.000 --> 00:03:01.000]  如果我們說哥倫多前書是保羅要處理哥倫多教會的所謂壞事或者問題的話
[00:03:01.000 --> 00:03:05.000]  後書他簡直是要平定叛亂
[00:03:05.000 --> 00:03:10.000]  我們不太清楚確實知道兩封信之間發生什麼事
[00:03:10.000 --> 00:03:16.000]  但明顯地這封信是保羅默會以來最嚴峻的考驗
[00:03:16.000 --> 00:03:22.000]  因為哥倫多裡面的人,在哥倫多後書裡面是不相信他
[00:03:22.000 --> 00:03:24.000]  直接跟他翻臉
[00:03:24.000 --> 00:03:27.000]  所以這封信是很不容易的
[00:03:27.000 --> 00:03:29.000]  他要處理三班的人
[00:03:29.000 --> 00:03:32.000]  頭兩班就是分裂了的哥倫多人
[00:03:32.000 --> 00:03:36.000]  一班就是因哥倫多前書所寫完之後
[00:03:36.000 --> 00:03:38.000]  他悔改,他仍然相信保羅
[00:03:38.000 --> 00:03:40.000]  另一班是什麼人呢?
[00:03:40.000 --> 00:03:43.000]  就是完全不相信他,跟他翻臉
[00:03:43.000 --> 00:03:45.000]  質疑他是不是使徒
[00:03:45.000 --> 00:03:49.000]  質疑他的品性是不是屬神
[00:03:49.000 --> 00:03:51.000]  他是不是一個騙子
[00:03:51.000 --> 00:03:54.000]  有一班這樣的哥倫多的信徒
[00:03:54.000 --> 00:04:01.000]  第三班就是他要回應這班在前書和後書中間來的一班
[00:04:01.000 --> 00:04:03.000]  之後會見到的超級使徒
