
[00:00:00.000 --> 00:00:08.360]  經文來自《以塞亞書》第43章第18至19節
[00:00:08.360 --> 00:00:11.760]  我們在座位裡讀一讀
[00:00:11.760 --> 00:00:16.760]  「你們不要記念從前的事,也不要思想古時的事。
[00:00:16.760 --> 00:00:20.760]  看啊!我要作一件新事,如今要發言。
[00:00:20.760 --> 00:00:27.760]  你們豈不知道嗎?我必在曠野開道路,在沙漠開江河。」
[00:00:27.760 --> 00:00:32.760]  在2025年第一個主日崇拜,首先要祝福大家新年快樂
[00:00:32.760 --> 00:00:36.760]  不過新的一年,我們發現一開始的新年
[00:00:36.760 --> 00:00:42.760]  不是我們預期所想的,天氣非常惡劣
[00:00:42.760 --> 00:00:46.760]  所以就令大家沒辦法有一個實體的崇拜
[00:00:46.760 --> 00:00:51.760]  就回到以前網絡崇拜的現象
[00:00:51.760 --> 00:00:56.760]  但無論如何,在新的一年,我們心裡不知道有沒有充滿期待
[00:00:56.760 --> 00:01:00.760]  期待著神在我們的生活當中做新事
[00:01:00.760 --> 00:01:05.760]  就讓我們在《以塞亞書》第43章第18至19節裡
[00:01:05.760 --> 00:01:14.760]  我們一起來看看上帝如何在我們心中做新的事
[00:01:14.760 --> 00:01:20.760]  《以塞亞書》通常讓我們看到一點背景都要知道
[00:01:20.760 --> 00:01:26.760]  第一個背景就是《以塞亞書》其實可以分為《以塞亞書》的1、2、3卷
[00:01:26.760 --> 00:01:30.760]  我們稱之為第一《以塞亞》、第二《以塞亞》和第三《以塞亞》
[00:01:30.760 --> 00:01:33.760]  所謂的第一《以塞亞》是第一章到第39章
[00:01:33.760 --> 00:01:37.760]  第一《以塞亞》主要是在公元前8世紀
[00:01:37.760 --> 00:01:43.760]  才知道《以塞亞》是實際歷史的長徑,由大國當時都未亡
[00:01:43.760 --> 00:01:50.760]  所以是強調神即將要來的審判,悔改和必須作出回應
[00:01:50.760 --> 00:01:55.760]  《以塞亞》警告以色列人因為罪要面臨他的後果
[00:01:55.760 --> 00:01:59.760]  而且預言將要來到的巴比倫會全面入侵
[00:01:59.760 --> 00:02:03.760]  甚至將以色列國,猶大國來解體
[00:02:03.760 --> 00:02:09.760]  當然《以塞亞》所說的是猶大國,將猶大國滅亡
[00:02:09.760 --> 00:02:13.760]  到了第二《以塞亞》主要是40章到第55章
[00:02:13.760 --> 00:02:18.760]  但是所說的時間,通常認為是寫在巴比倫流亡的時間
[00:02:18.760 --> 00:02:22.760]  即是被擄的時間,在公元前第6世紀
[00:02:22.760 --> 00:02:28.760]  所以和第一《以塞亞》大概的年份相差了150年
[00:02:28.760 --> 00:02:31.760]  時空一跳,跳了150年
[00:02:31.760 --> 00:02:35.760]  所以你看到寫法是非常不一樣的
[00:02:35.760 --> 00:02:39.760]  這裡說的是當時以色列人已經被擄
[00:02:39.760 --> 00:02:43.760]  而且是開始準備要回歸的階段
[00:02:43.760 --> 00:02:46.760]  所以主題就是神安慰和即將要來的救贖
[00:02:46.760 --> 00:02:51.760]  強調了神對以色列的愛,強調了以色列的拯救
[00:02:51.760 --> 00:02:56.760]  承諾他們會復興,帶回以色列人回到他們的故土
[00:02:56.760 --> 00:02:59.760]  當然最為人熟悉的就是在第二《以塞亞》書裡
[00:02:59.760 --> 00:03:03.760]  所說的受苦的僕人這段預言
[00:03:03.760 --> 00:03:07.760]  最後就是第三《以塞亞》,就是55章到66章
[00:03:07.760 --> 00:03:09.760]  它的時間的背景通常是說
[00:03:09.760 --> 00:03:14.760]  以色列人從巴比倫回到以色列的地方
[00:03:14.760 --> 00:03:18.760]  不是從巴比倫,而是從波斯回到以色列
[00:03:18.760 --> 00:03:23.760]  焦點是在於重建的困難和期待
[00:03:23.760 --> 00:03:28.760]  今天的經文,第43章就正正放在第二《以塞亞》裡
[00:03:28.760 --> 00:03:31.760]  第二《以塞亞》就是講到被擄回歸的時間
[00:03:31.760 --> 00:03:35.760]  先知以塞亞就去叫那些被擄的人要撿起包袱
[00:03:35.760 --> 00:03:37.760]  返回耶路撒冷那裡
[00:03:37.760 --> 00:03:39.760]  但是當然有人不願意
[00:03:39.760 --> 00:03:42.760]  神就吩咐先知跟他們說
[00:03:42.760 --> 00:03:45.760]  神要做一件新事
[00:03:45.760 --> 00:03:50.760]  而這件新事要有什麼提醒呢?
[00:03:50.760 --> 00:03:52.760]  今天有三件事想跟大家分享
[00:03:52.760 --> 00:03:55.760]  到底這件新事有什麼提醒
[00:03:55.760 --> 00:03:59.760]  第一件事就是要放下過去的障礙物
[00:03:59.760 --> 00:04:01.760]  這一段經文在第一部分裡面
[00:04:01.760 --> 00:04:03.760]  神就告訴以色列人
[00:04:03.760 --> 00:04:06.760]  你們不要記念從前的事
[00:04:06.760 --> 00:04:09.760]  也不要思想古時的事
[00:04:09.760 --> 00:04:12.760]  中文翻譯真的好像水蛇春那麼長
[00:04:12.760 --> 00:04:15.760]  但是原文其實只有六個字
