
[00:00:00.000 --> 00:00:04.760]  原因為平安從我們的父神並主耶穌基督歸於在座每一位和線上弟兄姊妹
[00:00:04.760 --> 00:00:09.640]  在使徒我們經常都會看到有耳可聽的就要聽
[00:00:09.640 --> 00:00:13.640]  原來是聖靈所講的說話透過約翰記下之後
[00:00:13.640 --> 00:00:18.940]  給當時的讀者看到聽到就要有耳可聽的都要聽
[00:00:18.940 --> 00:00:20.740]  我們就問一個問題
[00:00:20.740 --> 00:00:26.060]  有耳可聽的要聽的是約翰講還是約翰之前有人講過呢?
[00:00:26.560 --> 00:00:31.560]  原來我自己看回聖經的時候 原來耶穌都有講過有耳可聽的要聽
[00:00:31.560 --> 00:00:38.100]  是當時的肉身 道成肉身的主耶穌和當時的以色列人的一群群眾
[00:00:38.100 --> 00:00:41.000]  都講過一些聖經的真理的時候
[00:00:41.000 --> 00:00:44.160]  就告訴他們有耳可聽的都要聽 是不是?
[00:00:44.160 --> 00:00:45.900]  耶穌之前又怎樣呢?
[00:00:45.900 --> 00:00:48.560]  原來耶穌之前也有一些先知
[00:00:48.560 --> 00:00:52.040]  都是類似的說話 就是以塞亞先知書裡面都講到的
[00:00:52.040 --> 00:00:55.240]  有些人聽到又聽不明白 耳朵發沉
[00:00:55.240 --> 00:00:57.700]  都是講原來一脈相承
[00:00:57.700 --> 00:01:01.960]  無論是在舊約、在福音書、在新約裡面
[00:01:01.960 --> 00:01:05.160]  都提醒我們有耳可聽的就要聽
[00:01:05.160 --> 00:01:07.360]  不過究竟我們聽些什麼呢?
[00:01:07.360 --> 00:01:10.060]  從什麼媒體去聽這些呢?
[00:01:10.060 --> 00:01:14.440]  舊約的時候是用舊約的先知神的僕人去講說話
[00:01:14.440 --> 00:01:19.240]  在福音書的時候就是主耶穌親自講的說話
[00:01:19.240 --> 00:01:20.900]  到後來書信的時候是怎樣呢?
[00:01:20.900 --> 00:01:24.700]  就是仕途所寫下聖靈感動的說話
[00:01:24.700 --> 00:01:28.500]  今天呢 今天也透過神的工人
[00:01:28.500 --> 00:01:32.660]  過去聽季月堂的很多道 都成為了很多的鼓勵
[00:01:32.660 --> 00:01:34.900]  有耳可聽的都要聽 是不是?
[00:01:34.900 --> 00:01:37.360]  最重要現在也是講多新一句
[00:01:37.360 --> 00:01:39.360]  有網可以上的就快點上
[00:01:39.360 --> 00:01:43.760]  OK 今天我講的題目都是講一脈相承
[00:01:43.760 --> 00:01:46.860]  啟示錄裡面三章十六節
[00:01:46.860 --> 00:01:50.960]  上次講完都講過了 我不重複那麼多了
[00:01:50.960 --> 00:01:54.160]  啟示錄裡面有一段經文是說
[00:01:54.160 --> 00:02:00.060]  要將約翰這一封書信帶去七個教會 然後去分享
[00:02:00.060 --> 00:02:02.300]  那就不只是一個教會看一節
[00:02:02.300 --> 00:02:06.560]  其實整個啟示錄都是讓所有教會一起看的 是不是?
