
[00:00:00.000 --> 00:00:02.100]  好吧,我們先低頭祈禱
[00:00:02.100 --> 00:00:05.560]  且天母上帝,我們感謝禰
[00:00:05.560 --> 00:00:08.680]  禰照顧我們,讓我們今早
[00:00:08.680 --> 00:00:11.560]  在這個聖殿當中來敬拜禰
[00:00:11.560 --> 00:00:14.900]  主禰感謝禰給我們這麼好的福氣和恩典
[00:00:14.900 --> 00:00:17.900]  讓我們可以這麼平安的
[00:00:17.900 --> 00:00:20.540]  來到這個聖殿當中享受
[00:00:20.540 --> 00:00:24.240]  與禰同在,與禰敬拜禰的時間
[00:00:24.240 --> 00:00:25.820]  主懇求禰這個時候
[00:00:25.820 --> 00:00:28.120]  透過禰的本人對我們講說話
[00:00:28.120 --> 00:00:31.740]  禰透過禰自己的華語,聖經的信息
[00:00:31.740 --> 00:00:33.960]  讓我們再次的去思想
[00:00:33.960 --> 00:00:37.800]  主耶穌爲我們誕生所帶來的福氣
[00:00:37.800 --> 00:00:38.900]  主讓我們
[00:00:38.900 --> 00:00:41.700]  懇求禰與我們同在,感謝禰
[00:00:41.700 --> 00:00:45.680]  因爲禰要讓我們謙卑的在主禰面前領受
[00:00:45.680 --> 00:00:49.140]  聽我們禱告,奉主耶穌的聖命,Amen
[00:00:49.140 --> 00:00:54.260]  歷史上有很多偉人
[00:00:54.260 --> 00:00:55.880]  如果要數
[00:00:55.880 --> 00:01:00.620]  耶穌必然被列爲其中一位
[00:01:00.620 --> 00:01:02.720]  在一般人的心目當中
[00:01:02.720 --> 00:01:06.400]  耶穌是一個偉大的人物
[00:01:06.400 --> 00:01:08.460]  是不可否認的
[00:01:08.460 --> 00:01:11.840]  無論你是否信耶穌
[00:01:11.840 --> 00:01:13.900]  或者不信耶穌
[00:01:13.900 --> 00:01:18.000]  你都不能夠否認主耶穌是一個偉人
[00:01:18.000 --> 00:01:19.540]  但在基督徒的心目當中
[00:01:19.540 --> 00:01:24.820]  當然不是偉人這麼簡單
[00:01:24.820 --> 00:01:28.620]  一個人是否一個偉人呢
[00:01:28.620 --> 00:01:33.820]  其實我們是由他的言行思想去判斷的
[00:01:33.820 --> 00:01:35.420]  如果是這樣的話
[00:01:35.420 --> 00:01:37.660]  我想耶穌作爲一個偉人
[00:01:37.660 --> 00:01:40.560]  就有過之而無不及了
[00:01:40.560 --> 00:01:45.400]  無論聖經給我們的印象
[00:01:45.400 --> 00:01:46.400]  帶給我們的信息
[00:01:46.400 --> 00:01:51.740]  或者是歷史學家對主耶穌的評語
[00:01:51.740 --> 00:01:57.220]  都可以看得出耶穌是一個偉大的人物
[00:01:57.220 --> 00:02:00.320]  祂的素質是偉大的
[00:02:00.320 --> 00:02:02.880]  祂是服務社羣的
[00:02:02.880 --> 00:02:04.960]  祂是捨己爲人的
[00:02:04.960 --> 00:02:08.260]  祂是刻苦耐勞的
[00:02:08.260 --> 00:02:10.740]  祂是有愛心的
