
[00:00:00.000 --> 00:00:03.300]  歡迎大家來到我們的周六順帶
[00:00:03.300 --> 00:00:09.040]  三個星期前我們開始了一個新的港島系列
[00:00:09.040 --> 00:00:10.740]  港島系列的題目是
[00:00:10.740 --> 00:00:16.180]  「給香港的福音 Good news to Hong Kong」
[00:00:16.180 --> 00:00:20.080]  我們問香港需要一個怎樣的福音
[00:00:20.080 --> 00:00:23.660]  答案是香港需要耶穌基督的福音
[00:00:23.660 --> 00:00:27.480]  香港需要一個十字架的福音
[00:00:27.480 --> 00:00:32.120]  這個是一個呼召罪人離開世俗之城
[00:00:32.120 --> 00:00:33.560]  City of Man
[00:00:33.560 --> 00:00:37.920]  去奔跑前往上帝之城
[00:00:37.920 --> 00:00:40.560]  City of God的一個福音
[00:00:40.560 --> 00:00:43.160]  這個福音叫我們離開這個世界
[00:00:43.160 --> 00:00:47.200]  這個福音叫我們進入上帝的天國
[00:00:47.200 --> 00:00:51.540]  離開City of Man去到City of God
[00:00:51.540 --> 00:00:56.420]  這個福音呼召我們去拋棄地上的金錢
[00:00:56.420 --> 00:00:58.640]  情慾 權力的引誘
[00:00:58.640 --> 00:01:02.980]  叫我們去追求天上永恆的財寶
[00:01:02.980 --> 00:01:05.700]  這樣才是聖經給我們的福音
[00:01:05.700 --> 00:01:07.660]  這樣才是耶穌基督的福音
[00:01:07.660 --> 00:01:11.360]  這樣才是十字架的福音
[00:01:11.360 --> 00:01:14.380]  這個是香港人需要的福音
[00:01:14.380 --> 00:01:16.580]  這個也是2000年前
[00:01:16.580 --> 00:01:22.960]  使徒保羅堅持要傳給哥倫多人的福音
[00:01:22.960 --> 00:01:23.740]  保羅這麼說
[00:01:23.740 --> 00:01:29.160]  因為十字架的道路在那滅亡的人是愚絕
[00:01:29.160 --> 00:01:33.560]  在我們得救的人卻是上帝的大能
[00:01:33.560 --> 00:01:35.840]  這樣去傳福音
[00:01:35.840 --> 00:01:39.360]  儘管不會受到世人的歡迎
[00:01:39.360 --> 00:01:41.040]  仍然必須要傳
[00:01:41.040 --> 00:01:44.360]  因為它是唯一的好消息
[00:01:44.360 --> 00:01:46.220]  保羅繼續說
[00:01:46.220 --> 00:01:49.640]  猶太人要的是神蹟
[00:01:49.640 --> 00:01:53.600]  希臘人要求的是智慧 屬世的智慧
[00:01:53.600 --> 00:01:57.680]  我們卻要傳被釘十字架的基督
[00:01:57.680 --> 00:02:01.100]  對於猶太人來說是一個半腳石
[00:02:01.100 --> 00:02:03.980]  對於外邦人來說是愚絕
[00:02:03.980 --> 00:02:06.140]  但對於那蒙照的
[00:02:06.140 --> 00:02:09.540]  無論是猶太人或者希臘人
[00:02:09.540 --> 00:02:11.840]  基督總是上帝的大能
[00:02:11.840 --> 00:02:14.700]  上帝的智慧
[00:02:14.700 --> 00:02:15.620]  保羅說
[00:02:15.620 --> 00:02:19.520]  我知道當我們傳十字架的福音的時候
[00:02:19.520 --> 00:02:22.840]  對於尋求神蹟的猶太人來說
