
[00:00:00.000 --> 00:00:04.000]  今早我們一提的思想就是
[00:00:04.000 --> 00:00:08.000]  哥林多前書十二章這段經文
[00:00:08.000 --> 00:00:10.000]  記得上一次跟大家
[00:00:10.000 --> 00:00:13.000]  從之前的哥林多前書
[00:00:13.000 --> 00:00:16.000]  我們看到這個屬靈的人
[00:00:16.000 --> 00:00:20.000]  我們不應該做一個屬肉體的基督徒
[00:00:20.000 --> 00:00:23.000]  更加我們知道我們
[00:00:23.000 --> 00:00:26.000]  在重生得救之後有聖靈住在我們裏面
[00:00:26.000 --> 00:00:30.000]  我們應該活出一個屬乎聖靈
[00:00:30.000 --> 00:00:34.000]  與聖靈受他的管理
[00:00:34.000 --> 00:00:37.000]  以及被他充滿的生活
[00:00:37.000 --> 00:00:41.000]  以致我們能夠照著聖靈的感動
[00:00:41.000 --> 00:00:44.000]  過去的生活和侍奉著
[00:00:44.000 --> 00:00:47.000]  屬靈的人上個禮拜
[00:00:47.000 --> 00:00:49.000]  或者上一次跟大家分享過
[00:00:49.000 --> 00:00:52.000]  就是教會建造的觀念
[00:00:52.000 --> 00:00:57.000]  神叫我們一同建造神的家
[00:00:57.000 --> 00:01:00.000]  建造神自己的教會
[00:01:00.000 --> 00:01:03.000]  建造神的教會我們是與神同工
[00:01:03.000 --> 00:01:06.000]  好像跟神一起耕一塊田一樣
[00:01:06.000 --> 00:01:08.000]  如果大家還記得
[00:01:08.000 --> 00:01:13.000]  我們也是用一些神所預立的材料
[00:01:13.000 --> 00:01:17.000]  以致我們不是用一些草木和階
[00:01:17.000 --> 00:01:19.000]  不能經得起考驗的
[00:01:19.000 --> 00:01:23.000]  能夠照著神的心意來建立神的教會
[00:01:23.000 --> 00:01:26.000]  作成神的功
[00:01:26.000 --> 00:01:28.000]  亦都保守神的殿
[00:01:28.000 --> 00:01:30.000]  因為這是聖靈的殿
[00:01:30.000 --> 00:01:33.000]  所以讓我們彼此建立神的殿
[00:01:33.000 --> 00:01:36.000]  不是拆毀神的殿
[00:01:36.000 --> 00:01:42.000]  所以在《哥林多前書》提到這些教會的建造觀
[00:01:42.000 --> 00:01:49.000]  但在第十二至十四章補羅與這方面很有關係
[00:01:49.000 --> 00:01:54.000]  就是講到建造教會這方面需要有的恩賜觀念
[00:01:54.000 --> 00:01:57.000]  所以在這三章的經文裏面
[00:01:57.000 --> 00:01:59.000]  最主要是第十二章
[00:01:59.000 --> 00:02:01.000]  當然到了第十三章
[00:02:01.000 --> 00:02:04.000]  下一次我會和大家再分享
[00:02:04.000 --> 00:02:07.000]  這章經文裏面講到
[00:02:07.000 --> 00:02:11.000]  關乎屬靈恩賜的好幾方面很重要的真理
[00:02:11.000 --> 00:02:13.000]  讓我們能夠把握
[00:02:13.000 --> 00:02:15.000]  以致我們更新變化
