
[00:00:00.000 --> 00:00:03.980]  我們先來看第一節
[00:00:03.980 --> 00:00:08.000]  在第一節原文開始的時候有一個連接詞
[00:00:08.000 --> 00:00:13.420]  這個連接詞可以翻譯為「所以」
[00:00:13.420 --> 00:00:19.380]  即是說我們連這個連接詞來看的話
[00:00:19.380 --> 00:00:27.100]  即是說十一章所講的那麼多信心偉人的例子
[00:00:27.100 --> 00:00:31.400]  即是說十一節講的那麼多信心偉人的例子
[00:00:31.400 --> 00:00:38.320]  包括摩西、拉合、大衛等等
[00:00:38.320 --> 00:00:42.680]  他們這些生命的故事就好像雲彩一樣圍繞著我們
[00:00:42.680 --> 00:00:46.620]  這些許多的故事跟他們的生命像雲彩一樣圍繞著我們
[00:00:46.620 --> 00:00:52.480]  為了讓我們知道
[00:00:52.480 --> 00:00:58.160]  我們需要提出信心,就好像這班人一樣
[00:00:58.160 --> 00:01:02.260]  奔跑擺在我們前面的路程
[00:01:02.260 --> 00:01:07.160]  讓我們看這節經文之前
[00:01:07.160 --> 00:01:12.360]  有兩個字我們需要首先理解
[00:01:12.360 --> 00:01:16.320]  第一,就是這裡所講的見證人
[00:01:16.320 --> 00:01:24.300]  這裡所講的見證人不是指一班觀眾在我們周圍
[00:01:24.300 --> 00:01:31.860]  看著我們做事,然後見證我們做過些什麼
[00:01:31.860 --> 00:01:36.440]  雖然原文這個字也可以有這樣的解釋
[00:01:36.440 --> 00:01:40.980]  不過如果從上文下理來理解的話
[00:01:40.980 --> 00:01:45.340]  這個見證人更加合適的一個解法
[00:01:45.340 --> 00:01:50.700]  就是說他們是用他們的生命,他們的經歷
[00:01:50.700 --> 00:01:56.200]  向我們每一個人做一個見證
[00:01:56.200 --> 00:01:59.640]  這個見證就是說
[00:01:59.640 --> 00:02:05.860]  無論生命、生活裡面遇到什麼困難、解決不了的事情
[00:02:05.860 --> 00:02:11.680]  但憑著信心
[00:02:11.680 --> 00:02:16.320]  我們不會因為這些困難而被擊倒
[00:02:16.320 --> 00:02:20.760]  這班人的見證告訴我們
[00:02:20.760 --> 00:02:25.420]  信心的寶貴和力量
[00:02:25.420 --> 00:02:28.860]  第二個地方我們需要理解
[00:02:28.860 --> 00:02:35.340]  就是這個奔跑擺在前頭的路程
[00:02:35.340 --> 00:02:41.780]  就是說奔跑擺在我們前頭的路程的意思
[00:02:41.780 --> 00:02:49.020]  在希臘文裡面這個字就帶有增進或者賽跑的意思
[00:02:49.020 --> 00:02:53.920]  所以在《新譯本》裡面的翻譯
[00:02:53.920 --> 00:03:03.360]  這句翻譯就是奔那為我們預備的賽程
[00:03:03.360 --> 00:03:10.660]  所以第一節的意思就是說每一個信神的人
[00:03:10.660 --> 00:03:20.300]  我們生命的歷程並不是一個觀光團
[00:03:20.300 --> 00:03:22.400]  而是一個障礙賽
[00:03:22.400 --> 00:03:26.500]  我們每一個人的信徒的生命並不是一個觀光旅遊團
[00:03:26.500 --> 00:03:28.200]  而是一個障礙賽
[00:03:28.200 --> 00:03:34.760]  大家都去過觀光團,如果那個觀光團是自由行的話
[00:03:34.760 --> 00:03:40.980]  我們大概會找一些我們喜歡去的旅遊景點
[00:03:40.980 --> 00:03:46.020]  這裡看看,那裡看看,吃一下這裡的東西,吃一下那裡的東西
