
[00:00:00.000 --> 00:00:02.000]  大家好 大家平安
[00:00:02.000 --> 00:00:09.000]  我們今天講的經文是《馬太福音》第28章16至20節
[00:00:09.000 --> 00:00:12.000]  我想這段經文其實都非常不劃新
[00:00:12.000 --> 00:00:14.000]  因為大使命講了很多很多次
[00:00:14.000 --> 00:00:16.000]  所以今天都很想和大家
[00:00:16.000 --> 00:00:20.000]  由不同的角度去講這段經文
[00:00:20.000 --> 00:00:27.000]  今天就和大家從馬太生命的角度去看這本書的結語
[00:00:27.000 --> 00:00:32.000]  因為這段經文除了大家熟悉的大使命之外
[00:00:32.000 --> 00:00:36.000]  其實它也是馬太福音裏面的一個總結
[00:00:36.000 --> 00:00:38.000]  而這個總結
[00:00:38.000 --> 00:00:45.000]  正正就是我們怎樣可以從馬太的筆下去看這個總結
[00:00:45.000 --> 00:00:47.000]  要講這個總結
[00:00:47.000 --> 00:00:49.000]  首先要介紹這本書的成書
[00:00:49.000 --> 00:00:52.000]  這本書寫這本福音書的時候
[00:00:52.000 --> 00:00:54.000]  其實是主後50年寫的
[00:00:54.000 --> 00:00:57.000]  即是耶穌升天20年左右
[00:00:57.000 --> 00:00:59.000]  正在寫這個說話
[00:00:59.000 --> 00:01:06.000]  那時候正正羅馬皇帝頒佈了一個禦令
[00:01:06.000 --> 00:01:10.000]  特別是描述居住在亞歷山大城的居民
[00:01:10.000 --> 00:01:14.000]  長久以來因為希臘裔和猶太裔
[00:01:14.000 --> 00:01:20.000]  雙方的意識形態的差別彼此經常爆發流血衝突
[00:01:20.000 --> 00:01:24.000]  流血衝突我想在這個時代並不陌生
[00:01:24.000 --> 00:01:28.000]  通常見到很多不同國家都會爆發流血衝突
[00:01:28.000 --> 00:01:35.000]  沒錯 馬太正正也是在那個時代那個環境下寫成這本書
[00:01:35.000 --> 00:01:37.000]  寫這本書的時候
[00:01:37.000 --> 00:01:43.000]  其實做猶太裔的基督徒都很不容易
[00:01:43.000 --> 00:01:45.000]  為什麼寫這本書呢
[00:01:45.000 --> 00:01:47.000]  就是當很不容易的時候
[00:01:47.000 --> 00:01:49.000]  又要自立成為基督教
[00:01:49.000 --> 00:01:52.000]  又要面對猶太教的挑戰
[00:01:52.000 --> 00:01:57.000]  當身邊的同胞其實全部都是猶太人
[00:01:57.000 --> 00:02:00.000]  都遵守猶太規條的時候
[00:02:00.000 --> 00:02:02.000]  自己就很不一樣
[00:02:02.000 --> 00:02:06.000]  生活就被宗教領袖去挑戰
[00:02:06.000 --> 00:02:09.000]  在外族人的眼中也不是一件好事
[00:02:09.000 --> 00:02:13.000]  因為基督教的興起令到猶太人叛亂
[00:02:13.000 --> 00:02:15.000]  就好像剛才這裡這樣
[00:02:15.000 --> 00:02:18.000]  羅馬政府也開始留意著基督徒
[00:02:18.000 --> 00:02:20.000]  所以到了主考70年的時候
[00:02:20.000 --> 00:02:22.000]  尼祿開始逼迫基督徒
[00:02:22.000 --> 00:02:26.000]  很多基督徒因為這樣而殉道而死
[00:02:26.000 --> 00:02:30.000]  所以這個就是根基
[00:02:30.000 --> 00:02:33.000]  其實一直存在很多這些衝突
[00:02:33.000 --> 00:02:37.000]  大家都在受生活的壓力所困擾的時候
[00:02:37.000 --> 00:02:41.000]  其實生活在這麼多壓力和挑戰之下
[00:02:41.000 --> 00:02:43.000]  其實都很無奈
[00:02:43.000 --> 00:02:48.000]  馬太見到很多信徒被受壓力的時候
[00:02:48.000 --> 00:02:50.000]  開始有些動搖的時候
[00:02:50.000 --> 00:02:54.000]  他就在這個時間寫成這本書
[00:02:54.000 --> 00:02:59.000]  為了幫助一些跟隨耶穌的人
[00:02:59.000 --> 00:03:00.000]  但問題是
[00:03:00.000 --> 00:03:04.000]  為什麼在生活被受困擾的時候
[00:03:04.000 --> 00:03:06.000]  寫的結語不是安慰的說話
[00:03:06.000 --> 00:03:09.000]  而是一個使命呢?
[00:03:09.000 --> 00:03:13.000]  我們很自然看到他生活受壓力的時候
[00:03:13.000 --> 00:03:14.000]  就會說不要緊
[00:03:14.000 --> 00:03:16.000]  會說一些安慰的話
[00:03:16.000 --> 00:03:18.000]  令他覺得舒服一點
[00:03:18.000 --> 00:03:21.000]  但看來馬太福音最後說的結語
[00:03:21.000 --> 00:03:24.000]  並不是一個安慰說話這麼簡單
[00:03:24.000 --> 00:03:27.000]  而是我們經常看到的使命
[00:03:27.000 --> 00:03:28.000]  我們開始去看
[00:03:28.000 --> 00:03:32.000]  通常寫這本書的結尾的時候
[00:03:32.000 --> 00:03:37.000]  其實正正就是作者心目中想寫的目的
[00:03:37.000 --> 00:03:38.000]  他寫這個結語的時候
[00:03:38.000 --> 00:03:40.000]  正正就是第十六節
[00:03:40.000 --> 00:03:41.000]  他就說
[00:03:41.000 --> 00:03:44.000]  十一個門徒前往加利利
[00:03:44.000 --> 00:03:47.000]  來到耶穌給他們所指定的山上
[00:03:47.000 --> 00:03:49.000]  他們見到耶穌
[00:03:49.000 --> 00:03:51.000]  然後就跪拜他
[00:03:51.000 --> 00:03:53.000]  還有人懷疑
[00:03:53.000 --> 00:03:58.000]  相信是因為在耶穌之前
[00:03:58.000 --> 00:04:00.000]  其實早就約定了
[00:04:00.000 --> 00:04:03.000]  叫他們去加利利的山上
[00:04:03.000 --> 00:04:05.000]  復活了之後
[00:04:05.000 --> 00:04:07.000]  耶穌就在那裡等他們
[00:04:07.000 --> 00:04:09.000]  他們見到耶穌就跪拜他
[00:04:09.000 --> 00:04:10.000]  但還有人懷疑
[00:04:10.000 --> 00:04:12.000]  相信懷疑是因為
[00:04:12.000 --> 00:04:15.000]  可能還懷疑他們是否真的復活了
[00:04:15.000 --> 00:04:17.000]  耶穌就前來對他們說
[00:04:17.000 --> 00:04:22.000]  天上地上一切的權柄都賜給我了
