
[00:00:00.000 --> 00:00:05.000]  今日會同大家一齊
[00:00:05.000 --> 00:00:08.000]  嚟到分享創世紀幾章嘅聖經
[00:00:08.000 --> 00:00:10.000]  係好長呀
[00:00:10.000 --> 00:00:12.000]  但我嘗試用一個故仔嘅形式
[00:00:12.000 --> 00:00:15.000]  同大家嚟到分享
[00:00:15.000 --> 00:00:17.000]  最近講開
[00:00:17.000 --> 00:00:22.000]  安納女傳道做牧師嘅事
[00:00:22.000 --> 00:00:26.000]  似乎我哋嘅焦點擺咗係男女
[00:00:26.000 --> 00:00:29.000]  其實更加重要一樣嘢呢
[00:00:29.000 --> 00:00:31.000]  唔係性別呀
[00:00:31.000 --> 00:00:33.000]  我自己本身
[00:00:33.000 --> 00:00:34.000]  按著聖經嘅教導
[00:00:34.000 --> 00:00:37.000]  雖然我明明嘅知道
[00:00:37.000 --> 00:00:40.000]  神係希望嗰啲弟兄
[00:00:40.000 --> 00:00:43.000]  願意起身承擔責任
[00:00:43.000 --> 00:00:45.000]  做問責嘅弟兄
[00:00:45.000 --> 00:00:48.000]  因為呢個係一個問責
[00:00:48.000 --> 00:00:50.000]  因為呢個係神自己將來
[00:00:50.000 --> 00:00:54.000]  佢問到有關我哋喺牧養嘅裏面
[00:00:54.000 --> 00:00:55.000]  我哋喺家庭嘅裏面
[00:00:55.000 --> 00:00:57.000]  我哋喺機構嘅裏面
[00:00:57.000 --> 00:00:59.000]  呢個角色嘅時候
[00:00:59.000 --> 00:01:01.000]  佢要搵嘅係弟兄
[00:01:01.000 --> 00:01:03.000]  去承擔呢個責任
[00:01:03.000 --> 00:01:05.000]  但係另一方面嚟講呢
[00:01:05.000 --> 00:01:07.000]  聖經亦都有非常清楚教導
[00:01:07.000 --> 00:01:09.000]  畀我哋睇得見
[00:01:09.000 --> 00:01:11.000]  屬靈領袖嘅氣質
[00:01:11.000 --> 00:01:15.000]  係遠比佢係男係女更加重要
[00:01:15.000 --> 00:01:17.000]  最近我都係繼續不斷
[00:01:17.000 --> 00:01:19.000]  嚟到睇到好多有關
[00:01:19.000 --> 00:01:21.000]  一個屬靈嘅領袖
[00:01:21.000 --> 00:01:23.000]  到底有啲乜嘢嘅氣質呢
[00:01:23.000 --> 00:01:27.000]  一啲可以話
[00:01:27.000 --> 00:01:29.000]  整個世界都聞名嘅
[00:01:29.000 --> 00:01:31.000]  一啲嘅牧者
[00:01:31.000 --> 00:01:33.000]  包括到Maxwell
[00:01:33.000 --> 00:01:35.000]  Montgomery
[00:01:35.000 --> 00:01:37.000]  Sanders等等
[00:01:37.000 --> 00:01:39.000]  好多呢啲嘅人
[00:01:39.000 --> 00:01:41.000]  不約而同提出
[00:01:41.000 --> 00:01:43.000]  下列
[00:01:43.000 --> 00:01:45.000]  一啲屬靈領袖嘅氣質
[00:01:45.000 --> 00:01:47.000]  係非要不可嘅
[00:01:47.000 --> 00:01:49.000]  第一個
[00:01:49.000 --> 00:01:51.000]  佢嘅品格
[00:01:51.000 --> 00:01:53.000]  呢個係領導力嘅基石
[00:01:53.000 --> 00:01:55.000]  有人講咗句說話
[00:01:55.000 --> 00:01:57.000]  大嘅事
[00:01:57.000 --> 00:01:59.000]  話畀人哋聽
[00:01:59.000 --> 00:02:01.000]  你係邊個
[00:02:01.000 --> 00:02:03.000]  唯獨小嘅事
[00:02:03.000 --> 00:02:05.000]  話畀人聽
