
[00:00:00.000 --> 00:00:03.000]  感謝主 神的恩典
[00:00:03.000 --> 00:00:06.000]  今天在這裡跟大家一起分享
[00:00:06.000 --> 00:00:09.000]  原來主在這裡等候
[00:00:09.000 --> 00:00:14.000]  這幾天呢 我就有一位基督徒的作家的朋友
[00:00:14.000 --> 00:00:16.000]  他是海華老師
[00:00:16.000 --> 00:00:18.000]  我們就一起吃早餐
[00:00:18.000 --> 00:00:20.000]  吃早餐的時候呢
[00:00:20.000 --> 00:00:21.000]  我就跟他講到
[00:00:21.000 --> 00:00:23.000]  我23號講到我的題目是
[00:00:23.000 --> 00:00:26.000]  他在那裡等候
[00:00:26.000 --> 00:00:28.000]  他就說 哇 這是一個看見
[00:00:28.000 --> 00:00:30.000]  這是一個撒該的故事
[00:00:30.000 --> 00:00:32.000]  他撒該來尋求耶穌
[00:00:32.000 --> 00:00:35.000]  其實主早就在那裡
[00:00:35.000 --> 00:00:38.000]  那我們在教堂的時候呢
[00:00:38.000 --> 00:00:40.000]  我也沒有把我最近的事工
[00:00:40.000 --> 00:00:42.000]  我的生命 我的經歷
[00:00:42.000 --> 00:00:43.000]  我都沒有告訴他
[00:00:43.000 --> 00:00:44.000]  那在結束的時候
[00:00:44.000 --> 00:00:47.000]  我們兩個在一起安靜一段時間
[00:00:47.000 --> 00:00:48.000]  我們吃完早餐
[00:00:48.000 --> 00:00:49.000]  我們有一段安靜的時候
[00:00:49.000 --> 00:00:51.000]  我們都帶了聖經
[00:00:51.000 --> 00:00:52.000]  接著快結束的時候
[00:00:52.000 --> 00:00:54.000]  我們就開始禱告
[00:00:54.000 --> 00:00:56.000]  他本來也是想著說
[00:00:56.000 --> 00:00:58.000]  簡短的幾句就可以結束
[00:00:58.000 --> 00:01:01.000]  但是當他一開口的時候呢
[00:01:01.000 --> 00:01:04.000]  這個源源不斷的這個禱告的話語
[00:01:04.000 --> 00:01:07.000]  就從他的口中發出來
[00:01:07.000 --> 00:01:08.000]  這個禱告呢
[00:01:08.000 --> 00:01:11.000]  就讓我們彼此心裡面得滿足
[00:01:11.000 --> 00:01:13.000]  那在我送他回地鐵站的時候
[00:01:13.000 --> 00:01:15.000]  我們兩個就不約而同的
[00:01:15.000 --> 00:01:16.000]  講到一句話說
[00:01:16.000 --> 00:01:18.000]  原來主在那裡
[00:01:18.000 --> 00:01:20.000]  主在那個餐廳
[00:01:20.000 --> 00:01:21.000]  那個餐桌上
[00:01:21.000 --> 00:01:22.000]  當我們禱告的時候
[00:01:22.000 --> 00:01:24.000]  原來主在那裡
[00:01:24.000 --> 00:01:27.000]  他就把猶大書二十節送給我
[00:01:27.000 --> 00:01:28.000]  那段是什麼
[00:01:28.000 --> 00:01:31.000]  他說你要在真道上
[00:01:31.000 --> 00:01:33.000]  至聖的道上兼顧
[00:01:33.000 --> 00:01:34.000]  你要怎麼樣
[00:01:34.000 --> 00:01:36.000]  靠聖靈禱告
[00:01:36.000 --> 00:01:40.000]  你要常在主的愛中
[00:01:40.000 --> 00:01:41.000]  最後還有
[00:01:41.000 --> 00:01:43.000]  你要等候神的憐憫
[00:01:43.000 --> 00:01:44.000]  我就說
[00:01:44.000 --> 00:01:46.000]  哇 這真的是神在那裡
[00:01:46.000 --> 00:01:47.000]  那今天呢
[00:01:47.000 --> 00:01:49.000]  我們就來看撒該
[00:01:49.000 --> 00:01:51.000]  來看這個人
[00:01:51.000 --> 00:01:54.000]  最厲他怎樣的遇見耶穌
[00:01:54.000 --> 00:01:56.000]  我們低頭一起禱告
[00:01:56.000 --> 00:01:58.000]  哈利路亞在美主
[00:01:58.000 --> 00:02:01.000]  主啊 祢是那西在 金在 永在的上帝
[00:02:01.000 --> 00:02:03.000]  主啊 祢是憐憫人的上帝
[00:02:03.000 --> 00:02:05.000]  主啊 祢是以馬內利的神
[00:02:05.000 --> 00:02:08.000]  主啊 就今天 現在
