
[00:00:00.000 --> 00:00:01.240]  各位網友早安
[00:00:01.240 --> 00:00:04.180]  今年的主題是什麼?
[00:00:04.180 --> 00:00:07.020]  六
[00:00:07.020 --> 00:00:10.700]  六秦神恩,甲子更新
[00:00:10.700 --> 00:00:11.900]  六秦是什麼意思?
[00:00:11.900 --> 00:00:15.500]  六十,我們打得最爽的
[00:00:15.500 --> 00:00:18.120]  六十,秦,十年一個
[00:00:18.120 --> 00:00:20.040]  所以我們叫五秦節,六秦
[00:00:20.040 --> 00:00:21.400]  甲子呢?
[00:00:21.400 --> 00:00:25.220]  又六十,中國人我們天綱地之
[00:00:25.220 --> 00:00:27.600]  十和十二,一個甲子
[00:00:27.600 --> 00:00:29.060]  一個甲子的意思是什麼?
[00:00:29.060 --> 00:00:31.360]  一年我們用天綱地之甲
[00:00:31.360 --> 00:00:34.960]  今年是甲子的話,要再一次去回甲子年
[00:00:34.960 --> 00:00:37.580]  要六十年
[00:00:37.580 --> 00:00:41.760]  六秦神恩,甲子更新,意思是說
[00:00:41.760 --> 00:00:44.400]  在一個階段裡面,六十年
[00:00:44.400 --> 00:00:47.400]  這個階段裡面,我數算神的恩典
[00:00:47.400 --> 00:00:49.920]  但同樣地,等候著神
[00:00:49.920 --> 00:00:52.920]  在我們當中,那個更新的過程
[00:00:52.920 --> 00:00:55.600]  又讓我們去到另一個新階段裡面
[00:00:55.600 --> 00:00:58.940]  六十年這個階段,一點都不短
[00:00:59.100 --> 00:01:02.420]  一點都不短,甚至是長過摩西
[00:01:02.420 --> 00:01:03.940]  在抗疫的日子
[00:01:03.940 --> 00:01:05.340]  多久?
[00:01:05.340 --> 00:01:07.240]  四十年是不是?
[00:01:07.240 --> 00:01:10.500]  咦,無端端說回這件事,有什麼關係?
[00:01:10.500 --> 00:01:13.460]  剛剛我們讀了聖經,其實都有些相似的
[00:01:13.460 --> 00:01:16.660]  當然我們不是在抗疫飄泊了六十年,大家一直都有訂的
[00:01:16.660 --> 00:01:19.500]  而是意義在
[00:01:19.500 --> 00:01:22.500]  一個階段的開始,一個新階段
[00:01:22.500 --> 00:01:24.600]  一個新世代的彌臨
[00:01:24.600 --> 00:01:27.660]  如果你回頭看,第一章第一節,希望我們不要蓋上聖經
[00:01:27.660 --> 00:01:30.620]  你看到這件事,其實這個新的階段
