
[00:00:00.000 --> 00:00:09.800]  今日和大家分享的題目是「新人的生活模式」
[00:00:09.800 --> 00:00:13.000]  今年我們樂享盛宴
[00:00:13.000 --> 00:00:16.200]  特別是強調教會生活
[00:00:16.200 --> 00:00:21.200]  我們選的書卷都是環繞著教會的
[00:00:21.200 --> 00:00:27.200]  有雅各書、異忽所書和哥羅西書
[00:00:27.200 --> 00:00:33.000]  哥羅西書特別是寶羅寫給教會的一封書信
[00:00:33.000 --> 00:00:35.400]  「新人的生活模式」
[00:00:35.400 --> 00:00:38.800]  首先和大家分享一個故事
[00:00:38.800 --> 00:00:43.000]  這個故事是關於一個老人家
[00:00:43.000 --> 00:00:46.200]  這位老人家每天回家的時候
[00:00:46.200 --> 00:00:53.200]  都要穿著電筒照著路回家
[00:00:53.200 --> 00:01:01.200]  最初是很明亮的,然後電筒是用電池的
[00:01:01.200 --> 00:01:03.200]  所以就慢慢沒有電了
[00:01:03.200 --> 00:01:07.200]  所以他就買了兩塊新電
[00:01:07.200 --> 00:01:14.200]  正在用的舊電就覺得扔掉太可惜了
[00:01:14.200 --> 00:01:20.200]  所以老人家就想,將電筒打開
[00:01:20.200 --> 00:01:25.200]  將其中一塊新電放進去,繼續用
[00:01:25.200 --> 00:01:29.200]  直到有兩次更換的機會
[00:01:29.200 --> 00:01:36.200]  誰知換了一塊新電,一塊新電,一塊舊電
[00:01:36.200 --> 00:01:39.200]  照樣用,回家照樣開
[00:01:39.200 --> 00:01:43.200]  走著走著,都可以,初初
[00:01:43.200 --> 00:01:47.200]  但是過了兩三天,四五天
[00:01:47.200 --> 00:01:51.200]  很快就暗淡下來了
[00:01:51.200 --> 00:01:55.200]  那就沒辦法了,要換電了
[00:01:55.200 --> 00:01:57.200]  換了最後一塊
[00:01:57.200 --> 00:02:00.200]  一樣是這樣
[00:02:00.200 --> 00:02:05.200]  過了沒多久,又是暗淡,然後沒有電了
[00:02:05.200 --> 00:02:07.200]  這位老人家就跟兒子說
[00:02:07.200 --> 00:02:12.200]  兒子,你買回來的電是劣質的電
[00:02:12.200 --> 00:02:15.200]  因為用了沒多久就沒有電了
[00:02:15.200 --> 00:02:19.200]  兒子就問他,你怎樣用,是不是兩塊一起換了
[00:02:19.200 --> 00:02:26.200]  他說不是,我就留一塊用過的電,將新的放進去
[00:02:26.200 --> 00:02:30.200]  不行的時候,就將另一塊新的放進去
[00:02:30.200 --> 00:02:36.200]  哎呀,爸爸,你應該兩塊電一起換了
[00:02:36.200 --> 00:02:41.200]  這樣才能用得持久
[00:02:41.200 --> 00:02:43.200]  原來是這樣的
[00:02:43.200 --> 00:02:47.200]  一塊舊,一塊新
[00:02:47.200 --> 00:02:51.200]  原來是影響了它的持久能力
[00:02:51.200 --> 00:02:56.200]  另一方面,舊的電就成為新的電的電阻
[00:02:56.200 --> 00:03:00.200]  所以就用成這樣
[00:03:00.200 --> 00:03:05.200]  有時我們的生活都是這樣的
[00:03:05.200 --> 00:03:11.200]  將舊的習慣和新的習慣放在一起
[00:03:11.200 --> 00:03:14.200]  因為我們喜歡舊的東西和懷舊
[00:03:14.200 --> 00:03:19.200]  我們基督徒的生命,可不可以這樣
[00:03:19.200 --> 00:03:21.200]  是不可以的
[00:03:21.200 --> 00:03:23.200]  因為我們說,聖經裡面提醒我們
[00:03:23.200 --> 00:03:26.200]  若有人在基督裡,他就是新做的人
