
[00:00:00.000 --> 00:00:02.000]  好,我們開始的時候一起做一個祈禱
[00:00:02.000 --> 00:00:04.000]  我們是天父,我們感謝祢
[00:00:04.000 --> 00:00:08.000]  農曆新年來了又去了
[00:00:08.000 --> 00:00:10.000]  今天我們
[00:00:10.000 --> 00:00:15.000]  在這裡有機會去讀祢的話語
[00:00:15.000 --> 00:00:18.000]  求主祢幫助我們收拾我們的心情
[00:00:18.000 --> 00:00:22.000]  讓我們可以專心聆聽祢
[00:00:22.000 --> 00:00:24.000]  主我們期待
[00:00:24.000 --> 00:00:26.000]  祢的新年的來臨
[00:00:26.000 --> 00:00:30.000]  祢的新年,天國的降臨
[00:00:30.000 --> 00:00:32.000]  新天新地的來臨
[00:00:32.000 --> 00:00:37.000]  願我們在這裡所思想的是朝向天國的方向
[00:00:37.000 --> 00:00:44.000]  願我們的心是走向祢的國,祢的義
[00:00:44.000 --> 00:00:47.000]  祝福我們以下這段時間
[00:00:47.000 --> 00:00:50.000]  紀念我們的軟弱
[00:00:50.000 --> 00:00:53.000]  打開我們的腦袋,讓我們明白
[00:00:53.000 --> 00:00:57.000]  打開我們的心,讓我們可以愛慕,擁抱祢
[00:00:57.000 --> 00:01:00.000]  再次求主祢祝福我們
[00:01:00.000 --> 00:01:01.000]  這樣祈禱我們
[00:01:01.000 --> 00:01:03.000]  馮主耶穌基督明求,阿門
[00:01:03.000 --> 00:01:08.000]  好,我都說今天準備了太多東西
[00:01:08.000 --> 00:01:12.000]  我盡量希望我講得清楚
[00:01:12.000 --> 00:01:15.000]  大家也要打醒十二個精神
[00:01:15.000 --> 00:01:17.000]  尤其是去到最後
[00:01:17.000 --> 00:01:20.000]  我們會講迦太書是挺困難的
[00:01:20.000 --> 00:01:22.000]  不過是很重要很重要的東西
[00:01:22.000 --> 00:01:26.000]  我盡量前面可能會講快一點
[00:01:26.000 --> 00:01:28.000]  以致我們後面有足夠的時間
[00:01:28.000 --> 00:01:30.000]  如果你之前有和我們一起
[00:01:30.000 --> 00:01:33.000]  你都知道今天是第幾堂
[00:01:33.000 --> 00:01:35.000]  今天是第三堂
[00:01:35.000 --> 00:01:36.000]  但之前還有Overday
[00:01:36.000 --> 00:01:39.000]  你可以上網去聽前面的
[00:01:39.000 --> 00:01:42.000]  我們一月份的時候有啟航日,Overday
[00:01:42.000 --> 00:01:46.000]  然後我們第一次的聚會是講路加福音
[00:01:46.000 --> 00:01:49.000]  題目是給財主的福音
[00:01:49.000 --> 00:01:52.000]  路加福音寫給提一下菲羅大人
[00:01:52.000 --> 00:01:56.000]  是一個有錢有權勢的人
[00:01:56.000 --> 00:02:00.000]  而路加竟然就是專門和他講錢
[00:02:00.000 --> 00:02:05.000]  好像十字架要挑戰每一個世上的財主
[00:02:05.000 --> 00:02:09.000]  但最後十字架是要釋放我們的財主
[00:02:09.000 --> 00:02:12.000]  接著我們讀紹行傳
[00:02:12.000 --> 00:02:15.000]  我們的題目是復活聯林
[00:02:15.000 --> 00:02:20.000]  我們用復活這個主題去看路加福音
[00:02:20.000 --> 00:02:22.000]  再加仕途行傳
[00:02:22.000 --> 00:02:27.000]  所以我們頭兩次看了的都是路加的作品
[00:02:27.000 --> 00:02:29.000]  在整個新約聖經裏面27館裏面
[00:02:29.000 --> 00:02:31.000]  路加寫了兩本
[00:02:31.000 --> 00:02:33.000]  但這兩本都幾近
[00:02:33.000 --> 00:02:35.000]  所以我經常和弟兄姊妹說
[00:02:35.000 --> 00:02:37.000]  如果你讀完了仕途行傳
[00:02:37.000 --> 00:02:39.000]  之後的讀經就簡單很多
[00:02:39.000 --> 00:02:43.000]  因為你會發覺那些每一章都短了很多
[00:02:43.000 --> 00:02:46.000]  所以之前你會想為什麼這麼長
[00:02:46.000 --> 00:02:49.000]  你去到保羅書信就容易些
[00:02:49.000 --> 00:02:52.000]  你同一個時間可以看了三四章
[00:02:52.000 --> 00:02:55.000]  我在想我們看完兩本路加的作品
[00:02:55.000 --> 00:02:57.000]  可不可以用一個slide
[00:02:57.000 --> 00:03:02.000]  或者用一個題目將路加的東西去總結呢
[00:03:02.000 --> 00:03:04.000]  我就做了這個slide
[00:03:04.000 --> 00:03:08.000]  路加福音加仕途行傳叫什麼呢
[00:03:08.000 --> 00:03:11.000]  天降財神死裡復活
[00:03:11.000 --> 00:03:13.000]  路加真的想你發財
[00:03:13.000 --> 00:03:15.000]  不過就不是地上的財寶
[00:03:15.000 --> 00:03:17.000]  是天上的財寶
[00:03:17.000 --> 00:03:20.000]  而你怎樣可以執到天上的財寶
[00:03:20.000 --> 00:03:22.000]  就是你的眼睛要明亮
[00:03:22.000 --> 00:03:25.000]  你的心要為天國去跳動
[00:03:25.000 --> 00:03:27.000]  所以在路加福音裏面
[00:03:27.000 --> 00:03:30.000]  財主是悠悠愁愁地離開
[00:03:30.000 --> 00:03:35.000]  財主是看見不到今世的錢財
[00:03:35.000 --> 00:03:37.000]  其實是陰屍子
[00:03:37.000 --> 00:03:43.000]  他沒辦法放下他的錢財去追求永恆的財寶
[00:03:43.000 --> 00:03:47.000]  所以他是想我們要有真正的財寶
[00:03:47.000 --> 00:03:49.000]  要從死裡復活
[00:03:49.000 --> 00:03:52.000]  今天我們開始進入一個新的階段
[00:03:52.000 --> 00:03:57.000]  我們會連續四堂都會講保羅書信
[00:03:57.000 --> 00:03:59.000]  首先講下個禮拜是沒有堂
[00:03:59.000 --> 00:04:01.000]  因為下個禮拜我會出去港島
[00:04:01.000 --> 00:04:03.000]  我就決定不如我們停一個禮拜
[00:04:03.000 --> 00:04:04.000]  然後再開始
[00:04:04.000 --> 00:04:07.000]  今天是保羅書信的第一堂
[00:04:07.000 --> 00:04:09.000]  接著還有三堂
[00:04:09.000 --> 00:04:13.000]  保羅寫了十三本書
[00:04:13.000 --> 00:04:14.000]  在這箱藥膳機裏面
[00:04:14.000 --> 00:04:15.000]  差不多一半
[00:04:15.000 --> 00:04:18.000]  我就問我自己有什麼一句說話
[00:04:18.000 --> 00:04:21.000]  或者一張slide可以總結
[00:04:21.000 --> 00:04:24.000]  保羅書信對我們的意義
[00:04:24.000 --> 00:04:26.000]  如果你收到我的whatsapp
[00:04:26.000 --> 00:04:27.000]  你就知道了
[00:04:27.000 --> 00:04:30.000]  我用了這個圖畫或者這個題目
[00:04:30.000 --> 00:04:33.000]  來總結保羅書信對我們的意義
[00:04:34.000 --> 00:04:38.000]  題目就是量目來虹引導天路
[00:04:38.000 --> 00:04:40.000]  量目來虹引導天路
[00:04:40.000 --> 00:04:41.000]  我的中文是一般般的
[00:04:41.000 --> 00:04:44.000]  不過我的來虹是抄襲別人的
[00:04:44.000 --> 00:04:46.000]  C.S. Lewis有一句說話
[00:04:46.000 --> 00:04:48.000]  有一本書叫做School Tape Letter
[00:04:48.000 --> 00:04:52.000]  就是講一些外國人互相寫信的
[00:04:52.000 --> 00:04:55.000]  中文版叫做地獄來虹
[00:04:55.000 --> 00:04:56.000]  於是我抄襲他
[00:04:56.000 --> 00:04:58.000]  量目來虹
[00:04:58.000 --> 00:05:00.000]  保羅是一個良善的牧師
[00:05:00.000 --> 00:05:01.000]  是一個好牧師
[00:05:01.000 --> 00:05:06.000]  他來信給他的會友
[00:05:06.000 --> 00:05:08.000]  或者他所建立的教會
[00:05:08.000 --> 00:05:09.000]  但是他有一個目的
[00:05:09.000 --> 00:05:11.000]  他的目的是非常之非常之重要的
[00:05:11.000 --> 00:05:14.000]  他的目的是要引導他們走天路
