
[00:00:00.000 --> 00:00:04.220]  上周跟大家講的是撒米爾記下的第一章
[00:00:04.220 --> 00:00:12.180]  講到關乎大衛知道蘇羅已經死了
[00:00:12.180 --> 00:00:17.880]  但是發掘了一個方畫
[00:00:17.880 --> 00:00:20.800]  顯出了他的生命的正直
[00:00:20.800 --> 00:00:25.400]  特別是來表揚這種尊榮神的品格
[00:00:25.400 --> 00:00:31.620]  今天來到第二章 撒米爾記第二章記載了一件事蹟
[00:00:31.620 --> 00:00:36.880]  這件事蹟也很值得我們思想學習領受
[00:00:36.880 --> 00:00:42.320]  今天我給這個題目是 大家認不認識
[00:00:42.320 --> 00:00:54.060]  無釀玉白成干戈 知不知道是什麼意思
[00:00:54.060 --> 00:00:59.380]  有沒有聽過一句話叫做化干戈為玉白
[00:00:59.380 --> 00:01:06.060]  是什麼意思 化干戈為玉白
[00:01:06.060 --> 00:01:09.360]  什麼叫做玉白
[00:01:09.360 --> 00:01:14.160]  玉白其實就是我們的保育
[00:01:14.160 --> 00:01:17.680]  很多時候都是代表兩國之間
[00:01:17.680 --> 00:01:21.460]  大家和平友好 彼此送禮
[00:01:21.460 --> 00:01:27.100]  以保密為徵 結盟 立和約
[00:01:27.100 --> 00:01:36.560]  所以玉白通常表明和平 盟約 大家和好 善意
[00:01:36.560 --> 00:01:42.700]  干戈呢 干戈就是打仗
[00:01:42.700 --> 00:01:48.760]  所以在中國成語 化干戈為玉白是什麼意思
[00:01:48.760 --> 00:01:52.580]  本來大家在爭執 鬥爭
[00:01:52.580 --> 00:01:57.720]  但是大事化小 小事化無
[00:01:57.720 --> 00:01:59.960]  大家能夠和平相處
[00:01:59.960 --> 00:02:03.880]  所以化干戈為玉白 很好
[00:02:03.880 --> 00:02:09.480]  本來打仗 現在成為大家彼此和好 結盟
[00:02:09.480 --> 00:02:13.840]  但是在這張聖經裏面 我們看見就糟糕了
[00:02:13.840 --> 00:02:17.040]  所以給我們一個反面的學習
[00:02:17.040 --> 00:02:23.180]  他們本來和好 但是後來就變成爭戰
[00:02:23.180 --> 00:02:25.480]  所以讓我們得到尷尬
[00:02:25.480 --> 00:02:38.040]  所以這個題目叫做「毋讓玉白反而成為干戈」
[00:02:38.040 --> 00:02:40.340]  這幅圖是有意思的
[00:02:40.340 --> 00:02:44.440]  這幅圖是考古的地圖
[00:02:44.440 --> 00:02:47.960]  大家看到中文字有解釋
[00:02:47.960 --> 00:02:51.600]  就是雞片的一個詞者
[00:02:51.600 --> 00:02:55.720]  雞片我們讀舊約聖經都是很熟悉的
[00:02:55.720 --> 00:02:58.360]  特別約書亞記出現的時候
[00:02:58.360 --> 00:03:02.880]  就是記載這些雞片人來欺騙約書亞
[00:03:02.880 --> 00:03:06.960]  因為他們害怕伊斯蘭進去不單止滅
[00:03:06.960 --> 00:03:10.560]  其他迦南人也會滅了他們
[00:03:10.560 --> 00:03:14.880]  所以這個雞片其實是一個迦南的古代的大城
[00:03:14.880 --> 00:03:17.880]  如果大家記得約書亞記記載的艾城
[00:03:17.880 --> 00:03:19.320]  它是很近艾城的
[00:03:19.320 --> 00:03:23.080]  在西北大約九公里之近
[00:03:23.080 --> 00:03:30.400]  但是雞片出名的地方附近有一些橄欖和地下的泉水
[00:03:30.400 --> 00:03:34.560]  其實雞片這個字的意思是屬於山地
[00:03:34.560 --> 00:03:37.120]  山地不過能夠有泉水
[00:03:37.120 --> 00:03:39.120]  所以是一個很特別的地方
[00:03:39.120 --> 00:03:44.440]  有一個很優美同時也有水源的地方
[00:03:44.440 --> 00:03:48.360]  但是這個考古發現
[00:03:48.360 --> 00:03:52.840]  他們大概在鐵器早期時代發掘出來的
[00:03:52.840 --> 00:03:56.040]  就是有一個大的坑
[00:03:56.040 --> 00:04:00.720]  裡面有11公尺深
[00:04:00.720 --> 00:04:03.760]  但是你看到有樓梯
[00:04:03.760 --> 00:04:07.320]  樓梯下去下面有一條水道
[00:04:07.320 --> 00:04:11.000]  這條水道有12尺通道這麼長
[00:04:11.000 --> 00:04:12.760]  是一個儲水庫
[00:04:12.760 --> 00:04:16.600]  所以他們將這些水池儲在裡面
[00:04:16.600 --> 00:04:20.360]  考古後來發現這個就是在雞片地方的一個池
[00:04:20.360 --> 00:04:21.200]  一個井
[00:04:21.200 --> 00:04:22.920]  他們挖出來的一個井
[00:04:22.920 --> 00:04:26.120]  是有水可以儲水的
[00:04:26.120 --> 00:04:27.840]  所以這個叫做雞片池
[00:04:27.840 --> 00:04:31.240]  就是我們稍後會讀到的地方
[00:04:31.240 --> 00:04:34.960]  所以這個雞片池發生了什麼事呢
