
[00:00:00.000 --> 00:00:01.980]  今天正在發生什麼事情呢?
[00:00:01.980 --> 00:00:03.960]  香港
[00:00:03.960 --> 00:00:05.400]  疫情
[00:00:05.400 --> 00:00:08.020]  社會動盪問題
[00:00:08.020 --> 00:00:09.400]  經濟失業
[00:00:09.400 --> 00:00:10.600]  人心惶惶
[00:00:10.600 --> 00:00:11.280]  哇
[00:00:11.280 --> 00:00:14.160]  比當年九七回歸
[00:00:14.160 --> 00:00:16.500]  08年的金融海嘯
[00:00:16.500 --> 00:00:18.020]  更加深
[00:00:18.020 --> 00:00:19.760]  世界看遠一點
[00:00:19.760 --> 00:00:20.720]  世界外圍
[00:00:20.720 --> 00:00:24.420]  同樣都是疫情、政治、經濟
[00:00:24.420 --> 00:00:26.420]  這些問題所困擾
[00:00:26.420 --> 00:00:29.840]  如果我隨便去問一個市民
[00:00:29.840 --> 00:00:30.400]  問問他
[00:00:30.400 --> 00:00:32.560]  你現在的心情如何?
[00:00:32.560 --> 00:00:35.280]  我猜可能他說覺得很亂
[00:00:35.280 --> 00:00:36.800]  心亂如麻
[00:00:36.800 --> 00:00:37.720]  今時今日
[00:00:37.720 --> 00:00:39.080]  作為基督徒
[00:00:39.080 --> 00:00:42.680]  我們應該要做些什麼呢?
[00:00:42.680 --> 00:00:46.120]  或者我們不要想 doing(做)
[00:00:46.120 --> 00:00:47.600]  先做什麼
[00:00:47.600 --> 00:00:50.920]  我們嘗試去從基督徒 being(存在)
[00:00:50.920 --> 00:00:53.520]  你是誰這三個字
[00:00:53.520 --> 00:00:56.360]  開始一起去學習、去思想
[00:00:56.360 --> 00:00:57.040]  顧名思義
[00:00:57.040 --> 00:00:58.840]  基督徒三個字就是
[00:00:58.840 --> 00:01:00.320]  基督的門徒
[00:01:00.320 --> 00:01:02.000]  一個學師
[00:01:02.000 --> 00:01:03.520]  一個徒弟
[00:01:03.520 --> 00:01:04.360]  這樣的意思
[00:01:04.360 --> 00:01:05.840]  教會今年定了一個主題
[00:01:05.840 --> 00:01:07.920]  叫做尋主導作門徒
[00:01:07.920 --> 00:01:11.440]  相信大家一定是已經很熟悉
[00:01:11.440 --> 00:01:13.000]  也是耳熟能詳的了
[00:01:13.000 --> 00:01:14.160]  作門徒
[00:01:14.160 --> 00:01:15.960]  其實是一回什麼事呢?
[00:01:15.960 --> 00:01:19.680]  跟你有什麼關係呢?
[00:01:19.680 --> 00:01:21.760]  你可能會說
[00:01:21.760 --> 00:01:22.960]  做門徒
[00:01:22.960 --> 00:01:25.240]  我只是一個評訊徒而已
[00:01:25.240 --> 00:01:27.320]  這麼肅寧的事情
[00:01:27.320 --> 00:01:31.880]  給一些資深的弟兄姊妹去做吧
[00:01:31.880 --> 00:01:33.400]  又可能你會說
[00:01:33.400 --> 00:01:34.640]  我知道的
[00:01:34.640 --> 00:01:37.120]  我也很想做門徒的
[00:01:37.120 --> 00:01:39.360]  不過有時候怎麼做都做不到
[00:01:39.360 --> 00:01:40.160]  想做
[00:01:40.160 --> 00:01:43.080]  又總是差一點
[00:01:43.080 --> 00:01:44.160]  回到教會
[00:01:44.160 --> 00:01:48.040]  總是有一份壓力、負擔在
[00:01:48.040 --> 00:01:50.040]  又或者可能你會說
[00:01:50.040 --> 00:01:51.960]  這幾節的經文
[00:01:51.960 --> 00:01:53.440]  叫人去傳福音的嘛
[00:01:53.440 --> 00:01:54.400]  我聽過了
[00:01:54.400 --> 00:01:55.960]  我聽得多了
