
[00:00:00.000 --> 00:00:02.000]  我知道有些弟兄姊妹
[00:00:02.000 --> 00:00:04.000]  其實是想在講壇裏面
[00:00:04.000 --> 00:00:07.000]  聽到一些關於現在社會情況的訊息
[00:00:07.000 --> 00:00:09.000]  但是有些弟兄姊妹
[00:00:09.000 --> 00:00:12.000]  其實是很害怕聽到這些訊息
[00:00:12.000 --> 00:00:14.000]  祖宗堂的講道
[00:00:14.000 --> 00:00:16.000]  是按照次序去研讀
[00:00:16.000 --> 00:00:18.000]  若行福音的
[00:00:18.000 --> 00:00:20.000]  要發覺今天的經文
[00:00:20.000 --> 00:00:22.000]  實在是對於我們目前的情境
[00:00:22.000 --> 00:00:24.000]  有一些啟發
[00:00:24.000 --> 00:00:26.000]  所以想和大家一起學習
[00:00:26.000 --> 00:00:28.000]  讓我們一起先祈禱吧
[00:00:31.000 --> 00:00:33.000]  親愛的主耶穌基督
[00:00:33.000 --> 00:00:35.000]  求祢幫助我們
[00:00:35.000 --> 00:00:37.000]  從聖經的說話
[00:00:37.000 --> 00:00:39.000]  明白祢的心意
[00:00:39.000 --> 00:00:41.000]  求聖靈引導我們
[00:00:41.000 --> 00:00:44.000]  審查自己的光景
[00:00:44.000 --> 00:00:47.000]  願意回應祢的提醒
[00:00:47.000 --> 00:00:49.000]  奉主名求
[00:00:49.000 --> 00:00:51.000]  阿們
[00:00:51.000 --> 00:00:55.000]  Rosa Parks
[00:00:55.000 --> 00:00:57.000]  是五十年代美國
[00:00:57.000 --> 00:00:59.000]  阿拉巴馬州
[00:00:59.000 --> 00:01:01.000]  全哥馬利城
[00:01:01.000 --> 00:01:03.000]  一間百貨公司的女裁縫
[00:01:03.000 --> 00:01:05.000]  她屬於非洲裔
[00:01:05.000 --> 00:01:07.000]  是一位黑人
[00:01:07.000 --> 00:01:09.000]  她的工作時間很長
[00:01:09.000 --> 00:01:12.000]  1955年的12月1日
[00:01:12.000 --> 00:01:14.000]  下班離開了公司
[00:01:14.000 --> 00:01:16.000]  她上了一架巴士
[00:01:16.000 --> 00:01:18.000]  乘車回家
[00:01:18.000 --> 00:01:20.000]  五十年代的美國社會
[00:01:20.000 --> 00:01:22.000]  有種族分隔政策
[00:01:22.000 --> 00:01:24.000]  將巴士的座位
[00:01:24.000 --> 00:01:26.000]  分為兩部分
[00:01:26.000 --> 00:01:28.000]  前部分是給白人坐的
[00:01:28.000 --> 00:01:30.000]  後部分就給
[00:01:30.000 --> 00:01:32.000]  有色人種坐
[00:01:32.000 --> 00:01:34.000]  Rosa坐在
[00:01:34.000 --> 00:01:36.000]  有色人種那部分的第一排
[00:01:36.000 --> 00:01:38.000]  巴士繼續
[00:01:38.000 --> 00:01:40.000]  到不同的站去接載乘客
[00:01:40.000 --> 00:01:42.000]  司機發現
[00:01:42.000 --> 00:01:44.000]  咦 有幾位白人
[00:01:44.000 --> 00:01:46.000]  沒有座位
[00:01:46.000 --> 00:01:48.000]  站在那裡
[00:01:48.000 --> 00:01:50.000]  於是就要求坐在第一排
[00:01:50.000 --> 00:01:52.000]  有色人種座位的乘客
[00:01:52.000 --> 00:01:54.000]  讓座給白人
[00:01:54.000 --> 00:01:56.000]  當時是有
[00:01:56.000 --> 00:01:58.000]  四位黑人坐在第一排
[00:01:58.000 --> 00:02:00.000]  其餘三位黑人
[00:02:00.000 --> 00:02:02.000]  都站起來讓座
[00:02:02.000 --> 00:02:04.000]  Rosa拒絕
[00:02:04.000 --> 00:02:06.000]  司機再次要求
[00:02:06.000 --> 00:02:08.000]  你為什麼不站起來
[00:02:08.000 --> 00:02:10.000]  Rosa就回答
[00:02:10.000 --> 00:02:12.000]  我不覺得我要站在這裡
[00:02:12.000 --> 00:02:14.000]  最終
[00:02:14.000 --> 00:02:16.000]  司機就報警
