
[00:00:00.000 --> 00:00:04.800]  掃羅是以色列國的第一個王
[00:00:04.800 --> 00:00:07.180]  有很多人記得大魏
[00:00:07.180 --> 00:00:08.220]  但是不記得掃羅
[00:00:08.220 --> 00:00:09.740]  但是掃羅是第一個王
[00:00:09.740 --> 00:00:11.600]  大魏是第二個王
[00:00:11.600 --> 00:00:14.380]  我們今天要講掃羅這一個王
[00:00:14.380 --> 00:00:18.220]  從他身上去學習一些功課
[00:00:18.220 --> 00:00:20.920]  要看的經文
[00:00:20.920 --> 00:00:24.020]  其實我要從《撒姆爾基斯》上第八章開始講
[00:00:24.020 --> 00:00:25.420]  如果要揭開的話
[00:00:25.420 --> 00:00:27.120]  揭開第八章在這裏聽我講
[00:00:27.120 --> 00:00:29.480]  不揭開的話聽我講的內容都一樣
[00:00:29.780 --> 00:00:32.020]  第八章一開始的時候
[00:00:32.020 --> 00:00:33.860]  就是講撒姆爾
[00:00:33.860 --> 00:00:35.600]  他本身這個人
[00:00:35.600 --> 00:00:38.780]  自小已經在神的殿裏服侍神
[00:00:38.780 --> 00:00:40.720]  是仙姿
[00:00:40.720 --> 00:00:42.220]  是祭司
[00:00:42.220 --> 00:00:43.700]  又是侍司
[00:00:43.700 --> 00:00:46.020]  就是很多身份聚集於一身
[00:00:46.020 --> 00:00:49.620]  是很得神用的一個仙姿
[00:00:49.620 --> 00:00:52.740]  第八章一開始就說他年紀老邁了
[00:00:52.740 --> 00:00:53.980]  就是做了幾十年
[00:00:53.980 --> 00:00:54.860]  年紀老了
[00:00:54.860 --> 00:00:56.980]  他有兒子的
[00:00:56.980 --> 00:01:00.440]  但是他那兩個兒子不行他的道
[00:01:00.440 --> 00:01:02.040]  不行他的道
[00:01:02.040 --> 00:01:05.320]  竟且還是貪圖財利
[00:01:05.320 --> 00:01:06.980]  羞受賄賂
[00:01:06.980 --> 00:01:08.980]  屈枉正直
[00:01:08.980 --> 00:01:12.300]  那就是背道而馳
[00:01:12.300 --> 00:01:14.160]  是這樣交代了兩句
[00:01:14.160 --> 00:01:17.800]  意思就是他的兒子不能夠繼續他的工作
[00:01:17.800 --> 00:01:21.440]  那麼以色列人有什麼反應呢?
[00:01:21.440 --> 00:01:24.500]  你們看第五節的時候就會看到
[00:01:24.500 --> 00:01:26.500]  那些以色列人就跟撒姆爾講
[00:01:26.500 --> 00:01:27.980]  你年紀老邁了
[00:01:27.980 --> 00:01:30.100]  你兒子不行你的道
[00:01:30.100 --> 00:01:34.720]  現在求你爲我們立一個王治理我們
[00:01:34.720 --> 00:01:36.720]  像列國一樣
[00:01:36.720 --> 00:01:39.620]  這是他們跟撒姆爾講的話
[00:01:39.620 --> 00:01:41.600]  重要的是他們說
[00:01:41.600 --> 00:01:43.600]  你兩個兒子又不行你的道了
[00:01:43.600 --> 00:01:45.760]  就是沒有人後繼你
[00:01:45.760 --> 00:01:47.760]  現在求他爲他們立一個王
[00:01:47.760 --> 00:01:50.660]  像列國一樣
[00:01:50.660 --> 00:01:55.320]  原來他們周圍的列國都有王來治理他的
[00:01:55.880 --> 00:01:58.400]  以色列這一幫人沒有
[00:01:58.400 --> 00:02:01.840]  他們就覺得別人那樣挺好
[00:02:01.840 --> 00:02:03.840]  又想像別人那樣
[00:02:03.840 --> 00:02:07.320]  反正撒姆爾你兩個兒子又不行你的道了
[00:02:07.320 --> 00:02:10.020]  沒有人後繼你的職訓
[00:02:10.020 --> 00:02:12.600]  那你要爲我們立一個王
[00:02:12.600 --> 00:02:14.900]  這個就是客串的事實
[00:02:14.900 --> 00:02:16.160]  他們這樣跟撒姆爾講
[00:02:16.160 --> 00:02:19.240]  撒姆爾就有不開心
[00:02:19.240 --> 00:02:21.980]  有不開心但是到第七節
[00:02:21.980 --> 00:02:23.180]  神不跟他講
[00:02:23.180 --> 00:02:25.180]  因爲他祈禱的時候神不跟他講
[00:02:25.540 --> 00:02:28.520]  神說百姓向你所說的一切話
[00:02:28.520 --> 00:02:30.520]  你只管依從吧
[00:02:30.520 --> 00:02:32.520]  他們叫你立一個王,你立吧
[00:02:32.520 --> 00:02:36.260]  因爲他們不是厭棄你
[00:02:36.260 --> 00:02:38.260]  乃是厭棄我
[00:02:38.260 --> 00:02:39.600]  即是厭棄神
[00:02:39.600 --> 00:02:41.100]  神這樣講
[00:02:41.100 --> 00:02:44.000]  不要我作他們的王
[00:02:44.000 --> 00:02:47.340]  原來以色列人
[00:02:47.340 --> 00:02:50.360]  他們說撒姆爾你兩個兒子不行你的道
[00:02:50.360 --> 00:02:52.860]  那些是表面看到的藉口
[00:02:53.380 --> 00:02:59.040]  神說其實他們心裏面是厭棄我作他們的王
[00:02:59.040 --> 00:03:01.540]  神作他們的王他們厭棄
[00:03:01.540 --> 00:03:02.740]  他們不想
[00:03:02.740 --> 00:03:05.960]  他們想好像其他列國一樣
[00:03:05.960 --> 00:03:10.640]  這個就是他們真正的問題所在
[00:03:10.640 --> 00:03:11.820]  是神講出來的
[00:03:11.820 --> 00:03:12.920]  一定對的
[00:03:12.920 --> 00:03:17.140]  所以我們看到他們真正的原因
[00:03:17.140 --> 00:03:18.720]  厭棄神作他們的王
[00:03:18.720 --> 00:03:22.900]  想好像其他旁邊的列國一樣
[00:03:22.900 --> 00:03:25.020]  這個讓我有點反省
[00:03:25.020 --> 00:03:28.020]  很多時候我們都喜歡與別人一樣
[00:03:28.020 --> 00:03:30.880]  但我們喜歡與別人一樣就要留心
[00:03:30.880 --> 00:03:32.680]  你喜歡與別人一樣
[00:03:32.680 --> 00:03:38.380]  是否其實裏面有離開神的元素在裏面
[00:03:38.380 --> 00:03:39.380]  這個就很重要
[00:03:39.380 --> 00:03:41.240]  你們在說什麼
[00:03:41.240 --> 00:03:42.840]  你與別人一樣沒所謂的
[00:03:42.840 --> 00:03:46.180]  但是如果你與別人一樣
[00:03:46.180 --> 00:03:49.200]  是令你離開了神的
[00:03:49.200 --> 00:03:50.640]  就要小心
[00:03:50.640 --> 00:03:53.200]  很可能會在這些時候
[00:03:53.200 --> 00:03:55.180]  你會不知不覺
[00:03:55.180 --> 00:03:57.080]  好像那些以色列人一樣
[00:03:57.080 --> 00:03:58.480]  我們再看下去
[00:03:58.480 --> 00:03:59.620]  這是其中一個小節
[00:03:59.620 --> 00:04:02.260]  好了
[00:04:02.260 --> 00:04:03.380]  根據他們這樣做
[00:04:03.380 --> 00:04:04.380]  撒姆爾跟他們說
[00:04:04.380 --> 00:04:05.380]  你這樣是不好的
[00:04:05.380 --> 00:04:06.940]  其實在十九節那裏
[00:04:06.940 --> 00:04:10.060]  百姓竟然不肯聽
[00:04:10.060 --> 00:04:12.300]  撒姆爾跟他們說
[00:04:12.300 --> 00:04:16.300]  你這樣想找一個王是一件不好的事情
[00:04:16.300 --> 00:04:18.360]  但是十九至二十節那一刻
[00:04:18.360 --> 00:04:21.740]  這羣百姓怎樣跟撒姆爾說
[00:04:21.740 --> 00:04:25.540]  百姓竟不肯聽撒姆爾的話說
[00:04:25.540 --> 00:04:30.580]  不如我們定要一個王治理我們
[00:04:30.580 --> 00:04:32.880]  使我們像列國一樣
[00:04:32.880 --> 00:04:34.620]  有王治理我們
[00:04:34.620 --> 00:04:35.420]  統領我們
[00:04:35.420 --> 00:04:36.420]  爲我們爭權
[00:04:36.420 --> 00:04:40.120]  撒姆爾曉以大義跟他們說
[00:04:40.120 --> 00:04:42.120]  那個王其實是不好的
[00:04:42.120 --> 00:04:42.820]  不行
[00:04:42.820 --> 00:04:43.820]  我們是要的
[00:04:43.820 --> 00:04:44.820]  一意孤行
