
[00:00:00.000 --> 00:00:04.000]  順得對,靠得穩
[00:00:04.000 --> 00:00:09.000]  記得在一個禮拜前
[00:00:09.000 --> 00:00:12.000]  在旺角一個大型的商場
[00:00:12.000 --> 00:00:14.000]  俗稱為天梯裏面
[00:00:14.000 --> 00:00:16.000]  發生了意外
[00:00:16.000 --> 00:00:18.000]  由四樓到八樓
[00:00:18.000 --> 00:00:21.000]  總共有45米長的地方
[00:00:21.000 --> 00:00:23.000]  有百多人在電梯裏面
[00:00:23.000 --> 00:00:25.000]  突然之間
[00:00:25.000 --> 00:00:27.000]  電梯不知為何
[00:00:27.000 --> 00:00:29.000]  一個電梯向後轉
[00:00:29.000 --> 00:00:32.000]  而且是急速地向後退
[00:00:32.000 --> 00:00:34.000]  所以就有很多人
[00:00:34.000 --> 00:00:37.000]  因為這樣18人受傷
[00:00:37.000 --> 00:00:40.000]  甚至受嚴重的損傷
[00:00:40.000 --> 00:00:44.000]  究竟原因在哪裏呢
[00:00:44.000 --> 00:00:48.000]  機電署經過兩日的研究之後
[00:00:48.000 --> 00:00:51.000]  告訴我們原來出事的原因
[00:00:51.000 --> 00:00:54.000]  就是當時三合一的驅動那條鏈
[00:00:54.000 --> 00:00:56.000]  斷了
[00:00:56.000 --> 00:00:58.000]  不過應該不緊要
[00:00:58.000 --> 00:01:02.000]  因為有一個叫輔助後備的系統
[00:01:02.000 --> 00:01:04.000]  去煞停它
[00:01:04.000 --> 00:01:06.000]  但是結果就是說
[00:01:06.000 --> 00:01:09.000]  連那個系統都壞了
[00:01:09.000 --> 00:01:11.000]  所以在雙重失靈裏面
[00:01:11.000 --> 00:01:15.000]  釀成一次罕見的天梯意外
[00:01:15.000 --> 00:01:18.000]  一共有18個人人疊人受傷
[00:01:18.000 --> 00:01:23.000]  在人生裏面我們都搭了一條電梯
[00:01:23.000 --> 00:01:27.000]  這條電梯可能就是天梯
[00:01:27.000 --> 00:01:29.000]  帶你去走
[00:01:29.000 --> 00:01:31.000]  不過不知為何
[00:01:31.000 --> 00:01:33.000]  有時都會有雙重失靈
[00:01:33.000 --> 00:01:35.000]  有很多的東西出現
[00:01:35.000 --> 00:01:37.000]  不過我們經常問
[00:01:37.000 --> 00:01:40.000]  究竟我們有沒有好像那個鐘谷
[00:01:40.000 --> 00:01:42.000]  我們經常都聽到
[00:01:42.000 --> 00:01:44.000]  在搭電梯的時候
[00:01:44.000 --> 00:01:46.000]  地鐵裏面經常說
