
[00:00:00.000 --> 00:00:02.360]  大家早晨,兩位姐妹好
[00:00:02.360 --> 00:00:06.660]  我今日想同你分享一個訊息就叫做「國王與我」
[00:00:06.660 --> 00:00:10.040]  借題取義,以前有套戲叫做「國王與我」
[00:00:10.040 --> 00:00:13.260]  但今日我想同你分享一個訊息
[00:00:13.260 --> 00:00:17.060]  目的是講一個人生標竿的問題
[00:00:17.060 --> 00:00:19.360]  是講一個人生標竿的問題
[00:00:19.360 --> 00:00:22.340]  但你今日在這裏的時候,我想同你講
[00:00:22.340 --> 00:00:24.680]  你今日在這裏,在灣區住得來這裏
[00:00:24.680 --> 00:00:26.480]  你工作裏面的崗位
[00:00:26.480 --> 00:00:29.500]  和你現在訓練出來的兒女
[00:00:29.500 --> 00:00:32.740]  你一定人生已經有了一個標竿在這裏
[00:00:32.740 --> 00:00:36.780]  但我希望從主的訊息,從爾忽所書裏面的訊息
[00:00:36.780 --> 00:00:38.820]  我想再同你考慮一下
[00:00:38.820 --> 00:00:41.180]  你在神的角度,在祂的侍公之中
[00:00:41.180 --> 00:00:44.100]  有沒有在你人生的標竿裏面成為一份
[00:00:44.100 --> 00:00:48.720]  今日我的經文讀出是由爾忽所書
[00:00:48.720 --> 00:00:53.660]  爾忽所書是由二章十九節到二十二節由我讀出
[00:00:53.660 --> 00:00:57.320]  這樣來看,你們不再是外人和客裏
[00:00:57.320 --> 00:01:00.200]  而是與聖徒一同作角紋
[00:01:00.200 --> 00:01:04.940]  是神家裏的人,並且建造在使徒和先知的根基上
[00:01:04.940 --> 00:01:06.440]  基督
[00:01:06.440 --> 00:01:09.620]  基督耶穌自己是磚基石
[00:01:09.620 --> 00:01:12.680]  整座建築都靠著祂連接配合
[00:01:12.680 --> 00:01:16.220]  漸漸增長成為在主裏面的聖所
[00:01:16.220 --> 00:01:19.940]  你們在祂裏面,一同被建造
[00:01:19.940 --> 00:01:23.420]  成為神藉著聖靈居住的住所
[00:01:23.420 --> 00:01:25.300]  我今日讀的是新譯本
[00:01:26.620 --> 00:01:30.240]  我講一下我自己的觀察
[00:01:30.240 --> 00:01:34.580]  灣區的人的目的最多是甚麼呢?
[00:01:34.580 --> 00:01:37.160]  你猜猜,我會講甚麼呢?
[00:01:37.160 --> 00:01:41.700]  特別是南灣的標竿
[00:01:41.700 --> 00:01:46.500]  我覺得南灣家庭的標竿最重要的一件事就是培養兒童
[00:01:46.500 --> 00:01:47.960]  培養兒童
[00:01:47.960 --> 00:01:52.040]  我早上帶我女兒去上學的時候,她八點二十分鐘上學
[00:01:52.040 --> 00:01:55.020]  每天早上學校八點到八點十分的時候
[00:01:55.020 --> 00:01:57.160]  就是鬼影都沒有一隻
[00:01:57.160 --> 00:02:00.500]  接著一到八點十五分就開始有軍事行動
[00:02:00.500 --> 00:02:03.840]  這些軍事行動的動作吻合到不得了
[00:02:03.840 --> 00:02:06.200]  有沒有看過阿富汗撤兵?
[00:02:06.200 --> 00:02:09.160]  跟那些是相反的,沒有人跌的
[00:02:09.160 --> 00:02:11.400]  一架架車跌下來,一拍下來
[00:02:11.400 --> 00:02:13.860]  接著那些小孩就在車裏面好像忍者一樣跳出去
[00:02:13.860 --> 00:02:17.200]  拉著書包,好像趕飛機那樣
[00:02:17.200 --> 00:02:20.840]  接著我就去兒童部那邊,比較幼兒道那邊
