
[00:00:00.000 --> 00:00:02.000]  各位領子妹 主內平安
[00:00:02.000 --> 00:00:10.000]  今日要同大家討論一個難題
[00:00:10.000 --> 00:00:15.360]  今日去到傳道書7章15到29節
[00:00:15.360 --> 00:00:19.480]  第15節即是今日第一句經文就是這樣說
[00:00:19.480 --> 00:00:21.520]  在他道的日子裡
[00:00:21.520 --> 00:00:23.520]  我見過各樣的事情
[00:00:23.520 --> 00:00:26.080]  二人在他的意中滅亡
[00:00:26.080 --> 00:00:29.600]  惡人在他的惡中倒響長壽
[00:00:31.000 --> 00:00:35.000]  我想這個問題大家都不陌生 是吧
[00:00:35.000 --> 00:00:39.000]  你信了一段日子
[00:00:39.000 --> 00:00:41.000]  其實你都會問這個問題
[00:00:41.000 --> 00:00:43.000]  宗賢聖經說的
[00:00:43.000 --> 00:00:45.000]  神是賞賤佛惡
[00:00:45.000 --> 00:00:49.000]  但你見到世界不是所有惡人都被神去懲罰
[00:00:49.000 --> 00:00:53.000]  反而他們是可以享福的
[00:00:53.000 --> 00:00:57.000]  於是乎無論是你未信的朋友
[00:00:57.000 --> 00:00:59.000]  他都會問你
[00:00:59.000 --> 00:01:02.000]  如果你信你真是愛是公義的話
[00:01:02.000 --> 00:01:04.000]  為甚麼這個世界會這樣 是吧
[00:01:04.000 --> 00:01:07.000]  或者你自己都有這個疑問
[00:01:07.000 --> 00:01:13.000]  但我相信大家都已經懂得回答這個問題 是吧
[00:01:13.000 --> 00:01:16.000]  大家的答法都是那個
[00:01:16.000 --> 00:01:18.000]  很典型的答案就是
[00:01:18.000 --> 00:01:21.000]  我們用神救贖的方式
[00:01:21.000 --> 00:01:23.000]  即是用永生去回答
[00:01:23.000 --> 00:01:26.000]  這個世界是這樣的
[00:01:26.000 --> 00:01:27.000]  但不要緊
[00:01:27.000 --> 00:01:29.000]  死後有審判
[00:01:29.000 --> 00:01:32.000]  就是看誰笑到最後
[00:01:32.000 --> 00:01:37.000]  就是將我們的盼望放在來生
[00:01:37.000 --> 00:01:38.000]  即是死後
[00:01:38.000 --> 00:01:40.000]  變成像一幅圖畫一樣
[00:01:40.000 --> 00:01:42.000]  那我今世怎麼辦
[00:01:42.000 --> 00:01:44.000]  看誰笑到最後
[00:01:44.000 --> 00:01:46.000]  但現在我笑不出來 是吧
[00:01:46.000 --> 00:01:51.000]  所以如果我們用永生去回答這個問題
[00:01:51.000 --> 00:01:53.000]  二人在異中滅亡
[00:01:53.000 --> 00:01:55.000]  短命無福
[00:01:55.000 --> 00:01:57.000]  惡人倒響長壽
[00:01:57.000 --> 00:02:00.000]  我們就好像這幅圖畫一樣
[00:02:00.000 --> 00:02:02.000]  可能這一世就是這樣
[00:02:02.000 --> 00:02:05.000]  妒忌著那群有福的人
[00:02:05.000 --> 00:02:07.000]  然後就想
[00:02:07.000 --> 00:02:09.000]  既然盼望在來生
[00:02:09.000 --> 00:02:11.000]  那我躺平就可以了
[00:02:11.000 --> 00:02:14.000]  躺平是我們現在內地的術語
[00:02:14.000 --> 00:02:15.000]  即是說
[00:02:15.000 --> 00:02:17.000]  我都改變不了甚麼
[00:02:17.000 --> 00:02:19.000]  不如甚麼都不要做
[00:02:19.000 --> 00:02:21.000]  一種放棄的態度
[00:02:22.000 --> 00:02:26.000]  但是明顯的 傳道書提出了這個問題
[00:02:26.000 --> 00:02:29.000]  而用末世這個方法去解決
[00:02:29.000 --> 00:02:31.000]  這個信仰難題
[00:02:31.000 --> 00:02:34.000]  並不是傳道書的回答方法
[00:02:34.000 --> 00:02:36.000]  即是它是另一個回答方法
[00:02:36.000 --> 00:02:37.000]  大家是否有目的
[00:02:37.000 --> 00:02:40.000]  除了末世師在永生之外
[00:02:40.000 --> 00:02:42.000]  我怎樣可以解決這個問題呢
[00:02:42.000 --> 00:02:45.000]  傳道者用他一貫的方法
[00:02:45.000 --> 00:02:47.000]  你看之後的經文
[00:02:47.000 --> 00:02:48.000]  他繼續的
[00:02:48.000 --> 00:02:50.000]  日光之下所發生的事
[00:02:50.000 --> 00:02:53.000]  就用日光之下的觀察去解決
[00:02:53.000 --> 00:02:56.000]  就好像上兩次講道那樣說
[00:02:56.000 --> 00:02:58.000]  表面是福的 是否一定是福
[00:02:58.000 --> 00:03:00.000]  不一定
[00:03:00.000 --> 00:03:01.000]  上個星期就說
[00:03:01.000 --> 00:03:03.000]  表面是禍的禍
[00:03:03.000 --> 00:03:05.000]  都不一定是禍
[00:03:05.000 --> 00:03:09.000]  然後再加上他對神創造這個世界的理解
[00:03:09.000 --> 00:03:11.000]  去回答這次的問題
[00:03:11.000 --> 00:03:13.000]  最後他提出我們應該要怎樣生活
[00:03:13.000 --> 00:03:15.000]  很傳道書的風格
[00:03:15.000 --> 00:03:17.000]  我們對傳道書的印象
[00:03:17.000 --> 00:03:19.000]  其實他每一次討論完之後
[00:03:19.000 --> 00:03:22.000]  他都是只有一個應用
[00:03:22.000 --> 00:03:25.000]  就是鼓勵我們要享受
[00:03:25.000 --> 00:03:27.000]  要吃喝快樂
[00:03:27.000 --> 00:03:29.000]  但很老實
[00:03:29.000 --> 00:03:31.000]  你真的享受吃喝快樂的時候
[00:03:31.000 --> 00:03:33.000]  你一想到那個
[00:03:33.000 --> 00:03:35.000]  靠著那齣蕭尚偉的同時
[00:03:35.000 --> 00:03:37.000]  又或者某某用不法手段
[00:03:37.000 --> 00:03:39.000]  賺得比你更多的時候
[00:03:39.000 --> 00:03:43.000]  吃喝快樂都立刻變成背脊骨骼
[00:03:43.000 --> 00:03:48.000]  所以我很希望這次的講道
[00:03:48.000 --> 00:03:50.000]  是可以
[00:03:50.000 --> 00:03:52.000]  最少提供到一些理由
[00:03:52.000 --> 00:03:56.000]  讓我們起碼在今世
[00:03:56.000 --> 00:03:58.000]  面對著這個
[00:03:58.000 --> 00:04:00.000]  報應顛倒的世界
[00:04:00.000 --> 00:04:03.000]  可以活得豁達一點
[00:04:03.000 --> 00:04:07.000]  而傳道者他第一個
