
[00:00:00.000 --> 00:00:03.020]  有位姊妹問我一個問題
[00:00:03.020 --> 00:00:06.980]  她說《聖經》裏面「侍奉」這個字
[00:00:06.980 --> 00:00:08.980]  到底應該怎樣寫呢?
[00:00:08.980 --> 00:00:18.020]  那個「侍」字到底應該是「侍情」的「侍」
[00:00:18.020 --> 00:00:22.020]  還是「企人鞭」的「侍」呢?
[00:00:22.020 --> 00:00:26.020]  我現在做一個民意調查
[00:00:26.020 --> 00:00:29.020]  大家覺得應該用你們的右手邊
[00:00:29.020 --> 00:00:31.020]  「侍情」的「侍」的舉手
[00:00:31.020 --> 00:00:36.020]  「侍情」的「侍」,你們的右手邊
[00:00:36.020 --> 00:00:39.020]  「侍情」的「侍」,你們的…
[00:00:39.020 --> 00:00:42.020]  「侍情」的「侍」
[00:00:42.020 --> 00:00:46.020]  對了,你們的左手邊
[00:00:46.020 --> 00:00:48.020]  「侍情」的「侍」的舉手
[00:00:48.020 --> 00:00:55.020]  誰覺得應該用「企人鞭」的「侍」呢?
[00:00:55.020 --> 00:00:58.020]  好像「企人鞭」的多一點
[00:00:58.020 --> 00:01:03.020]  其實這個問題在基督教界有不同的意見
[00:01:03.020 --> 00:01:08.020]  一般來說,贊成用「企人鞭」的「侍」的人
[00:01:08.020 --> 00:01:13.020]  認為我們服侍人,是對人的
[00:01:13.020 --> 00:01:16.020]  所以應該用「企人鞭」的「侍」
[00:01:16.020 --> 00:01:18.020]  如果用「侍情」的「侍」
[00:01:18.020 --> 00:01:20.020]  就好像做完一件事
[00:01:20.020 --> 00:01:22.020]  做完交差就算了
[00:01:22.020 --> 00:01:25.020]  還有「企人鞭」的「侍」
[00:01:25.020 --> 00:01:29.020]  就像服人一樣去服侍
[00:01:29.020 --> 00:01:34.020]  這跟我們作為基督徒的侍奉態度很配合
[00:01:34.020 --> 00:01:37.020]  所以他們認為應該用「企人鞭」的「侍」
[00:01:37.020 --> 00:01:39.020]  我相信你們也有這個看法
[00:01:39.020 --> 00:01:42.020]  但是「侍情」的「侍」
[00:01:42.020 --> 00:01:44.020]  其實也不是無中生有
[00:01:44.020 --> 00:01:47.020]  根據一些古典的文獻
[00:01:47.020 --> 00:01:49.020]  孟子量位皇上
[00:01:49.020 --> 00:01:57.020]  明君濟民之產,必使養足以侍父母,苦足以畜妻子
[00:01:57.020 --> 00:02:03.020]  另外,在「逐之」字通鑑宋紀
[00:02:03.020 --> 00:02:05.020]  這個「妃」是指岳妃
[00:02:05.020 --> 00:02:09.020]  「妃侍親自孝,家無姬侍」
[00:02:09.020 --> 00:02:14.020]  這兩個字的「侍」字都是動詞
[00:02:14.020 --> 00:02:16.020]  是指「侍候」
[00:02:16.020 --> 00:02:19.020]  特別是「侍候父母」
[00:02:19.020 --> 00:02:21.020]  「侍候媽媽」
[00:02:21.020 --> 00:02:24.020]  到底哪一個才對呢?
