
[00:00:00.000 --> 00:00:05.500]  好,早晨,早晨,大家好
[00:00:05.500 --> 00:00:10.200]  那我們現在在讀什麼書啊,記不記得?
[00:00:10.200 --> 00:00:11.900]  Titus,對了
[00:00:11.900 --> 00:00:18.700]  上個星期Pastor Irene就幫我們分享了,對不對?
[00:00:18.700 --> 00:00:20.100]  Chapter 1
[00:00:20.100 --> 00:00:23.300]  那我先考考你們,下一個圖片,考考你們
[00:00:23.300 --> 00:00:25.700]  誰寫的?
[00:00:25.700 --> 00:00:27.400]  The letters of Titus
[00:00:27.400 --> 00:00:30.500]  誰寫的?有人知道嗎?
[00:00:30.500 --> 00:00:31.900]  Titus寫的
[00:00:31.900 --> 00:00:35.400]  OK,誰同意與Lucas的,舉手
[00:00:35.400 --> 00:00:36.700]  沒有人同意?
[00:00:36.700 --> 00:00:38.000]  Tim也同意,對不對?
[00:00:38.000 --> 00:00:39.700]  你同意?
[00:00:39.700 --> 00:00:41.900]  爲什麼你同意?
[00:00:41.900 --> 00:00:43.600]  Either Paul or Titus
[00:00:43.600 --> 00:00:46.100]  OK,好,所以
[00:00:46.100 --> 00:00:48.600]  Either Paul or Titus
[00:00:48.600 --> 00:00:52.200]  Titus寫信給他自己,對不對?
[00:00:52.200 --> 00:00:53.800]  這是你的想法
[00:00:53.800 --> 00:00:57.700]  OK,是Paul寫給Titus的
[00:00:57.700 --> 00:00:59.900]  爲什麼寫給Titus?
[00:00:59.900 --> 00:01:01.400]  知道Titus在哪裏嗎?
[00:01:01.400 --> 00:01:03.000]  其實他現在
[00:01:03.000 --> 00:01:04.500]  那我們看下一個圖片吧
[00:01:04.500 --> 00:01:07.000]  保羅是做什麼的,記不記得?
[00:01:07.000 --> 00:01:08.500]  有人知道保羅是做什麼的?
[00:01:08.500 --> 00:01:10.800]  他的工作是做什麼的?
[00:01:10.800 --> 00:01:12.100]  啊?
[00:01:12.100 --> 00:01:13.800]  什麼?宣教,對了
[00:01:13.800 --> 00:01:15.000]  他在哪裏宣教?
[00:01:15.000 --> 00:01:16.300]  我們可以看看
[00:01:16.300 --> 00:01:19.700]  他有很多不同的任務旅程,OK,在這
[00:01:19.700 --> 00:01:21.900]  紫色呢,不知道看不看得到
[00:01:21.900 --> 00:01:24.800]  紫色呢,就是他第一個旅程
[00:01:24.800 --> 00:01:27.200]  紅色是第二個旅程
[00:01:27.200 --> 00:01:32.300]  接着,淺紫色呢,就好像是
[00:01:32.300 --> 00:01:34.100]  第三個旅程
