
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹 各位朋友 午安
[00:00:02.000 --> 00:00:07.000]  很高興跟大家一齊分享母親節的一個訊息
[00:00:07.000 --> 00:00:11.000]  今天我選用了哈拿的詩歌
[00:00:11.000 --> 00:00:14.000]  今天這個講座有少少不同
[00:00:14.000 --> 00:00:17.000]  不是一個很進入進深的色經講座
[00:00:17.000 --> 00:00:20.000]  和你逐句逐句整個段落
[00:00:20.000 --> 00:00:25.000]  去細味整個詩歌裏面的細節的轉變
[00:00:25.000 --> 00:00:27.000]  我想透過哈拿的詩歌
[00:00:27.000 --> 00:00:35.000]  讓我們從另一個角度去思想母親節
[00:00:35.000 --> 00:00:36.000]  母親節一般來說
[00:00:36.000 --> 00:00:39.000]  我們都會說了很多媽媽好 媽媽有多好
[00:00:39.000 --> 00:00:45.000]  媽媽做到老這樣來讚她
[00:00:45.000 --> 00:00:46.000]  母親節的時候
[00:00:46.000 --> 00:00:48.000]  媽媽又一起和我去吃飯
[00:00:48.000 --> 00:00:49.000]  媽媽又給錢
[00:00:49.000 --> 00:00:52.000]  特別是小時候真的這樣的
[00:00:52.000 --> 00:00:54.000]  我們通常都會用這樣的角度來講
[00:00:54.000 --> 00:00:58.000]  今天我想從另一個思考方式
[00:00:58.000 --> 00:01:02.000]  可能我這個人有少少悲情的味道
[00:01:02.000 --> 00:01:04.000]  不知道是否做得安息禮拜多
[00:01:04.000 --> 00:01:12.000]  多多少少有時候自己的傷感都比較強烈
[00:01:12.000 --> 00:01:15.000]  我就用一個從生命的弔詭性
[00:01:15.000 --> 00:01:21.000]  矛盾性充滿了很多愛與恨
[00:01:21.000 --> 00:01:25.000]  生與死的矛盾來看人生
[00:01:25.000 --> 00:01:29.000]  用弔詭性來看母親這個角色
[00:01:29.000 --> 00:01:32.000]  可能我們會有一些新的發言
[00:01:32.000 --> 00:01:36.000]  或者可能會看我題目就是母親的眼淚
[00:01:36.000 --> 00:01:39.000]  你會問牧師用不用這樣
[00:01:39.000 --> 00:01:42.000]  母親節還要流眼淚
[00:01:42.000 --> 00:01:46.000]  還未付錢就流眼淚
[00:01:46.000 --> 00:01:49.000]  我想你和多些母親的難處
[00:01:49.000 --> 00:01:52.000]  從她的角色和遺憤的處境來考慮
[00:01:52.000 --> 00:01:57.000]  認識多些母親要面對甚麼挑戰
[00:01:57.000 --> 00:02:00.000]  我會從今天的分享從兩個方面
[00:02:00.000 --> 00:02:03.000]  一個是對母親的致敬
[00:02:03.000 --> 00:02:06.000]  另一個是作為對兒女的反省
[00:02:06.000 --> 00:02:10.000]  我希望透過我自己在這個主題的領袖
[00:02:10.000 --> 00:02:14.000]  和大家分享
[00:02:14.000 --> 00:02:21.000]  既是向我們的母親她們一生為了我們成長的困難
[00:02:21.000 --> 00:02:25.000]  和很多需要付出了無盡的眼淚
[00:02:25.000 --> 00:02:30.000]  我向每一位母親表達對她們的崇敬
[00:02:30.000 --> 00:02:34.000]  另一方面我也想提醒每一位為人子女
[00:02:34.000 --> 00:02:38.000]  我鼓勵你藉著深入認識
[00:02:38.000 --> 00:02:43.000]  作為母親她本身角色遺憤的苦與樂
[00:02:43.000 --> 00:02:45.000]  以致我們能夠多點諒解
[00:02:45.000 --> 00:02:48.000]  多點明白媽媽的用心
[00:02:48.000 --> 00:02:51.000]  開始的時候我會先用薩姆爾的
[00:02:51.000 --> 00:02:53.000]  媽媽哈拿這個感恩頌歌
[00:02:53.000 --> 00:02:56.000]  來鼓勵每一位為人母親
[00:02:56.000 --> 00:02:58.000]  在你們困難的時候
[00:02:58.000 --> 00:03:00.000]  在你們遇到難處
[00:03:00.000 --> 00:03:02.000]  憂傷無力的時候
[00:03:02.000 --> 00:03:04.000]  來將你的需要
[00:03:04.000 --> 00:03:06.000]  將你的難處仰望交託給
[00:03:06.000 --> 00:03:09.000]  這位創造生命的上帝
[00:03:09.000 --> 00:03:13.000]  讓你們和你渡過這個難關
[00:03:13.000 --> 00:03:18.000]  我們先一起來同心討告
[00:03:18.000 --> 00:03:19.000]  創造生命的主
[00:03:19.000 --> 00:03:22.000]  我們感謝祢賜人生命氣息
[00:03:22.000 --> 00:03:25.000]  祢又讓我們有母親
