
[00:00:00.000 --> 00:00:01.540]  好,弟兄姊妹都平安
[00:00:01.540 --> 00:00:04.860]  主要讓我們在神的家裡相聚
[00:00:04.860 --> 00:00:07.740]  讓我們一起祈禱,領受我們的訊息
[00:00:07.740 --> 00:00:11.240]  天父我們多謝禰,讓我們同心去禱告
[00:00:11.240 --> 00:00:13.500]  也讓我們去學習
[00:00:13.500 --> 00:00:17.040]  在黑暗中我們去歌唱讚美禰
[00:00:17.040 --> 00:00:18.300]  就如大衛一樣
[00:00:18.300 --> 00:00:21.700]  讓祂的詩歌成為我們生命的激勵
[00:00:21.700 --> 00:00:23.040]  多謝禰聽我們祈禱
[00:00:23.040 --> 00:00:25.240]  奉耶穌的名字而求
[00:00:25.240 --> 00:00:26.000]  阿們
[00:00:26.000 --> 00:00:28.040]  今天跟大家思想的題目叫
[00:00:28.040 --> 00:00:29.940]  「超越環境的起來」
[00:00:29.940 --> 00:00:31.800]  Joy beyond circumstances
[00:00:31.800 --> 00:00:36.800]  就是超越了我們周遭的不同的處境
[00:00:36.800 --> 00:00:41.000]  事實上「起來」是我們最近經常思考的題目
[00:00:41.000 --> 00:00:42.560]  藉著肥立祕書
[00:00:42.560 --> 00:00:45.360]  我們想想「起來」是什麼元素
[00:00:45.360 --> 00:00:46.400]  包含什麼
[00:00:46.400 --> 00:00:49.340]  怎樣在保羅生命裡經歷「起來」
[00:00:49.340 --> 00:00:54.060]  但不單止在新約裡的保羅經歷「起來」
[00:00:54.060 --> 00:00:55.160]  在舊約裡
[00:00:55.160 --> 00:00:56.700]  我們今天讀的經文
[00:00:56.700 --> 00:00:59.540]  大衛也同樣經歷了「起來」
[00:00:59.540 --> 00:01:01.600]  我們一起逐步去思考
[00:01:01.600 --> 00:01:03.400]  當然我們想想「起來之先」
[00:01:03.400 --> 00:01:04.800]  我們首先想想
[00:01:04.800 --> 00:01:06.200]  我們想一個問題就是
[00:01:06.200 --> 00:01:08.160]  我們會不會失落
[00:01:08.160 --> 00:01:09.000]  說的是什麼呢
[00:01:09.000 --> 00:01:11.760]  就是上星期跟大家說到
[00:01:11.760 --> 00:01:13.600]  現在是一個「加薪」的世代
[00:01:13.600 --> 00:01:16.000]  我們的薪勞不斷增加
[00:01:16.000 --> 00:01:17.000]  不斷增加
[00:01:17.000 --> 00:01:19.300]  越來越多的勞苦
[00:01:19.300 --> 00:01:20.900]  越來越繁忙
[00:01:20.900 --> 00:01:22.360]  就好像上一次說到
[00:01:22.360 --> 00:01:24.500]  使徒被耶穌差派
[00:01:24.500 --> 00:01:26.400]  兩個兩個去傳福的時候
[00:01:26.400 --> 00:01:28.400]  做得很辛苦很辛苦
[00:01:28.400 --> 00:01:32.340]  結果回來報告完之後
[00:01:32.340 --> 00:01:35.660]  就忙到連喫飯的時間都沒有
[00:01:35.660 --> 00:01:37.740]  今天我們的社會也是這樣
[00:01:37.740 --> 00:01:39.400]  可能這個社會催逼我們
[00:01:39.400 --> 00:01:41.740]  很繁忙很勞碌很辛苦
[00:01:41.740 --> 00:01:44.360]  這個就是一個「加薪」的世代
[00:01:44.360 --> 00:01:48.200]  但同時間今天也要想想一個叫「失落」的世代
[00:01:48.200 --> 00:01:50.060]  「失落」的世代就是說
[00:01:50.060 --> 00:01:51.360]  有一些「樂」
[00:01:51.360 --> 00:01:52.160]  有一些「樂」
[00:01:52.160 --> 00:01:53.640]  我們的「joy」
[00:01:53.640 --> 00:01:55.240]  我們的「happiness」等等
[00:01:55.240 --> 00:01:58.340]  我們不知不覺就消失了
[00:01:58.340 --> 00:01:59.960]  減退了
[00:01:59.960 --> 00:02:03.040]  不知你有沒有這種的體會
[00:02:03.040 --> 00:02:06.400]  有一首歌是一首很出名的詩歌
[00:02:06.400 --> 00:02:08.640]  叫做「Sing Hallelujah to the Lord」
[00:02:08.640 --> 00:02:11.640]  就是1974年的一個作品
[00:02:11.640 --> 00:02:14.240]  誰知道誰會唱這首歌
[00:02:14.240 --> 00:02:17.440]  只有這麼少人會唱
[00:02:17.440 --> 00:02:19.240]  我以為每個人都會唱
[00:02:19.240 --> 00:02:20.800]  這首歌就是這樣唱
[00:02:20.800 --> 00:02:40.640]  Sing Hallelujah to the Lord
[00:02:40.640 --> 00:02:42.940]  真的沒聽過
[00:02:42.940 --> 00:02:44.040]  有聽過
[00:02:44.040 --> 00:02:45.840]  這首歌很棒的
