
[00:00:00.000 --> 00:00:03.000]  我們一同在神的面前禱告
[00:00:03.000 --> 00:00:08.000]  感謝天父讓我們今天還活著全流
[00:00:08.000 --> 00:00:12.000]  以致我們用嘴唇歌頌讚美
[00:00:12.000 --> 00:00:15.000]  求主教導我們用心靈敬拜
[00:00:15.000 --> 00:00:18.000]  以致主啊,你在我們中間
[00:00:18.000 --> 00:00:21.000]  在我們每個人身上得著榮耀
[00:00:21.000 --> 00:00:24.000]  求你順聽我們在你面前的禱告
[00:00:24.000 --> 00:00:28.000]  感恩祈禱奉靠耶穌明治祈求
[00:00:28.000 --> 00:00:33.000]  2017年1月1號你在哪裏?
[00:00:33.000 --> 00:00:35.000]  在這裏
[00:00:35.000 --> 00:00:38.000]  2016年1月1號在哪裏?
[00:00:38.000 --> 00:00:40.000]  2016啊
[00:00:40.000 --> 00:00:43.000]  你都還沒聽清楚就回答了
[00:00:43.000 --> 00:00:45.000]  忘記了
[00:00:45.000 --> 00:00:49.000]  要想一想,看看手機
[00:00:49.000 --> 00:00:53.000]  過去的365天是怎樣過的?
[00:00:53.000 --> 00:00:55.000]  不知道
[00:00:55.000 --> 00:00:59.000]  過了,就這樣過了
[00:00:59.000 --> 00:01:03.000]  如果那356天裏面
[00:01:03.000 --> 00:01:06.000]  很愚蠢的,那又怎樣?
[00:01:06.000 --> 00:01:07.000]  又過了
[00:01:07.000 --> 00:01:10.000]  很開心的,又過了
[00:01:10.000 --> 00:01:12.000]  感謝神
[00:01:12.000 --> 00:01:16.000]  面對2017年,即將來臨的日子
[00:01:16.000 --> 00:01:20.000]  你會怎樣過?
[00:01:20.000 --> 00:01:24.000]  不知道啊
[00:01:24.000 --> 00:01:27.000]  不知道啊
[00:01:27.000 --> 00:01:30.000]  可不可以知道啊?可以
[00:01:30.000 --> 00:01:33.000]  一切都在神的恩典裏面
[00:01:33.000 --> 00:01:37.000]  一切都在祂的計劃裏面
[00:01:37.000 --> 00:01:39.000]  在我們的信仰
[00:01:39.000 --> 00:01:41.000]  我們的生命
[00:01:41.000 --> 00:01:44.000]  我們的教會
[00:01:44.000 --> 00:01:47.000]  我們應該有一個底線
[00:01:47.000 --> 00:01:49.000]  底線就是
[00:01:49.000 --> 00:01:51.000]  我們生活的重點
[00:01:51.000 --> 00:01:54.000]  如果只是放在自己身上
[00:01:54.000 --> 00:01:58.000]  那你可能會失望,會沮喪
[00:01:58.000 --> 00:02:01.000]  但如果這個底線,基線
[00:02:01.000 --> 00:02:04.000]  放在神
[00:02:04.000 --> 00:02:06.000]  是祂的計劃
[00:02:06.000 --> 00:02:08.000]  是祂的角度
[00:02:08.000 --> 00:02:10.000]  和是祂的榮耀
[00:02:10.000 --> 00:02:12.000]  大家明白聖經裏面有時候說
[00:02:12.000 --> 00:02:15.000]  先求他的國和他的義
[00:02:15.000 --> 00:02:19.000]  你就知道神的意念高於我們的意念
[00:02:19.000 --> 00:02:22.000]  神的計劃,神的角度
[00:02:22.000 --> 00:02:25.000]  和神的榮耀
[00:02:25.000 --> 00:02:27.000]  原來我們的信仰
[00:02:27.000 --> 00:02:31.000]  不是說你生活得怎樣過
[00:02:31.000 --> 00:02:35.000]  這是我們渴求,我們想的
[00:02:35.000 --> 00:02:38.000]  任何人都覺得我沒辦法
[00:02:38.000 --> 00:02:41.000]  那就求天,天幫我
[00:02:41.000 --> 00:02:44.000]  其實天每個人都幫的
[00:02:44.000 --> 00:02:47.000]  不過人有一個極限
[00:02:47.000 --> 00:02:49.000]  就是生老病死
[00:02:49.000 --> 00:02:51.000]  走不掉的
[00:02:51.000 --> 00:02:53.000]  在這個極限裏面
