
[00:00:00.000 --> 00:00:03.080]  今年最受歡迎一句賀詞
[00:00:03.080 --> 00:00:05.440]  今年最受歡迎的一句賀詞
[00:00:05.440 --> 00:00:07.680]  應該就是身體健康
[00:00:07.680 --> 00:00:09.680]  應該就是身體健康
[00:00:09.680 --> 00:00:10.680]  百毒不侵
[00:00:10.680 --> 00:00:12.040]  百毒不侵
[00:00:12.040 --> 00:00:13.800]  聽起來就好像很舒服
[00:00:13.800 --> 00:00:14.680]  聽起來好像很舒服
[00:00:14.680 --> 00:00:15.680]  都挺有趣
[00:00:15.680 --> 00:00:16.680]  也蠻可愛
[00:00:16.680 --> 00:00:18.480]  有些生意的人
[00:00:18.480 --> 00:00:19.400]  有一些做生意的人
[00:00:19.400 --> 00:00:22.400]  在過年的時候都喜歡送揮春
[00:00:22.400 --> 00:00:25.680]  在過年的時候都喜歡送揮春
[00:00:25.680 --> 00:00:32.480]  今年教會也送出了一些揮春
[00:00:32.480 --> 00:00:35.880]  聽說台灣人都很懂得做生意
[00:00:35.880 --> 00:00:38.080]  聽說台灣人都很懂得做生意
[00:00:38.080 --> 00:00:39.080]  在過年的時候
[00:00:39.080 --> 00:00:39.880]  在過年的時候
[00:00:39.880 --> 00:00:42.280]  出了一些特別版的新春車票
[00:00:42.280 --> 00:00:45.080]  過年的時候出了一些特別版的新春車票
[00:00:45.080 --> 00:00:49.080]  其中一張車票叫做永康道保安
[00:00:49.080 --> 00:00:52.080]  其中一張車票叫做永康道保安
[00:00:52.080 --> 00:00:55.480]  票面大概是二三十塊台幣
[00:00:55.480 --> 00:00:57.280]  票面大概是二三十塊台幣
[00:00:57.280 --> 00:00:59.680]  過年前就會賣這張車票
[00:00:59.680 --> 00:01:01.680]  過年前就會賣這張車票
[00:01:01.680 --> 00:01:03.680]  早上七點就開始賣
[00:01:03.680 --> 00:01:05.080]  早上七點就開始賣
[00:01:05.080 --> 00:01:06.080]  只是賣一天
[00:01:06.080 --> 00:01:06.880]  只是賣一天
[00:01:06.880 --> 00:01:08.280]  半夜就有人去排隊
