
[00:00:00.000 --> 00:00:04.120]  今日很想和大家講一個很重要的訊息
[00:00:04.120 --> 00:00:05.120]  我覺得很重要
[00:00:05.120 --> 00:00:08.120]  因為是一個神蹟的訊息
[00:00:08.120 --> 00:00:11.080]  其實這個經文不是我揀選的
[00:00:11.080 --> 00:00:12.280]  似乎是師班
[00:00:12.280 --> 00:00:15.080]  似乎是一些敬拜隊和我揀選
[00:00:15.080 --> 00:00:17.000]  當我和他們溝通的時候
[00:00:17.000 --> 00:00:18.000]  問我講什麼道
[00:00:18.000 --> 00:00:19.320]  我說未知的
[00:00:19.320 --> 00:00:20.680]  他們告訴我
[00:00:20.680 --> 00:00:22.280]  我就問他們揀什麼歌
[00:00:22.280 --> 00:00:23.680]  他們說揀的是神蹟的歌
[00:00:23.680 --> 00:00:25.000]  關於神蹟的歌
[00:00:25.000 --> 00:00:27.760]  師班就獻師兄一首關於神蹟的歌
[00:00:27.760 --> 00:00:30.600]  詳清的他們說是一首神蹟的歌
[00:00:30.600 --> 00:00:33.360]  於是我思想和禱告
[00:00:33.360 --> 00:00:35.360]  因為我們講到列王記上
[00:00:35.360 --> 00:00:37.360]  之前有兩次講到所羅門
[00:00:37.360 --> 00:00:39.360]  其實都是充滿很多的神蹟
[00:00:39.360 --> 00:00:41.680]  但這個神蹟也是很重要
[00:00:41.680 --> 00:00:42.960]  對於侍奉的人
[00:00:42.960 --> 00:00:44.960]  對於神的國度來講
[00:00:44.960 --> 00:00:46.760]  都是很重要的基礎
[00:00:46.760 --> 00:00:48.360]  大家知不知道在舊約聖經裏面
[00:00:48.360 --> 00:00:51.760]  有兩個很著重神蹟的時代
[00:00:51.760 --> 00:00:53.360]  知不知道有兩個什麼時代
[00:00:53.360 --> 00:00:55.360]  第一就是摩西的時代
[00:00:55.360 --> 00:00:58.560]  因為當以色列人被
[00:00:58.560 --> 00:01:00.960]  埃及裏面去一種酬勞
[00:01:00.960 --> 00:01:03.360]  一種成為了奴隸的裏面
[00:01:03.360 --> 00:01:05.960]  神用很多的神蹟騎士釋放他們
[00:01:05.960 --> 00:01:07.360]  所以有十災
[00:01:07.360 --> 00:01:08.560]  有很多的
[00:01:08.560 --> 00:01:10.560]  很特別的過紅海
[00:01:10.560 --> 00:01:12.360]  很多的神蹟騎士
[00:01:12.360 --> 00:01:14.360]  但第二個時代就是列王記
[00:01:14.360 --> 00:01:15.560]  這個時候
[00:01:15.560 --> 00:01:18.560]  因為這個時候當
[00:01:18.560 --> 00:01:21.160]  以色列分為南國和北國裏面
[00:01:21.160 --> 00:01:23.560]  很多的王出現很多的問題
[00:01:23.560 --> 00:01:27.360]  大家都知道這個時候大概是主前第九世紀
[00:01:27.360 --> 00:01:29.760]  即是耶穌基督來之前九百年左右
[00:01:29.760 --> 00:01:31.160]  是很多很多的問題
[00:01:31.160 --> 00:01:33.160]  其中一個王叫做阿哈王
[00:01:33.160 --> 00:01:34.160]  在聖經記載裏面
